Year,Relationship to the victim,Offence type,Offence category,Threat type,Age,Ethnicity,Ethnicity type,Marital status,Employment status,Occupation,Highest qualification,Disability status,Disability severity,Hours out of home on an average weekday,Structure of household,Household income,Tenure,Accommodation type,Output area classification,Area type,Level of physical disorder,Employment deprivation index,Region,Value
2014,,Sexual,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,,0.680376363
2014,,Sexual,,,,,,,,,,,,,,,,,Urbanites,,,,,1.828420628
2014,,Sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,,0
2014,,Sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,,0
2014,,Sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,,0
2014,,Sexual,,,,,,,,,,,,,,,,,,Urban,,,,0
2014,,Sexual,,,,,,,,,,,,,,,,,,Rural,,,,7.254940946
2014,,Sexual,,,,,,,,,,,,,,,,,,,High,,,8.704179101
2014,,Sexual,,,,,,,,,,,,,,,,,,,Not high,,,4.089898363
2014,,Sexual,,,,,,,,,,,,,,,,,,,,Other output areas,,4.858155778
2014,,Sexual,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,,4.344934252
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,5.360961486
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,2.345470682
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,3.738158625
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,6.621052143
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,11.62569136
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,8.833880373
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,10.19013378
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,3.916396517
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,8.609546329
2014,,Sexual,,,,,,,,,,,,,,,,,,,,,,6.09376708
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,5.552021803
2014,,Stalking,,,16-19,,,,,,,,,,,,,,,,,,,9.071950684
2014,,Stalking,,,20-24,,,,,,,,,,,,,,,,,,,6.571544769
2014,,Stalking,,,25-34,,,,,,,,,,,,,,,,,,,4.217431
2014,,Stalking,,,35-44,,,,,,,,,,,,,,,,,,,6.83961136
2014,,Stalking,,,45-54,,,,,,,,,,,,,,,,,,,3.543974286
2014,,Stalking,,,55-59,,,,,,,,,,,,,,,,,,,4.134797823
2014,,Stalking,,,,White,,,,,,,,,,,,,,,,,,4.616091127
2014,,Stalking,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,,,,,,,,,,6.071364206
2014,,Stalking,,,,White,Irish,,,,,,,,,,,,,,,,,6.433888003
2014,,Stalking,,,,White,Gypsy/Irish traveller,,,,,,,,,,,,,,,,,7.184339391
2014,,Stalking,,,,White,Any other white background,,,,,,,,,,,,,,,,,3.732347903
2014,,Stalking,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,,,,5.717277582
2014,,Stalking,,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,,,,,,,,,,,,5.065894753
2014,,Stalking,,,,Mixed/multiple ethnic groups,White and Black African,,,,,,,,,,,,,,,,,2.364460834
2014,,Stalking,,,,Mixed/multiple ethnic groups,White and Asian,,,,,,,,,,,,,,,,,3.13206003
2014,,Stalking,,,,Mixed/multiple ethnic groups,Any other Mixed/Multiple ethnic background,,,,,,,,,,,,,,,,,8.478629684
2014,,Stalking,,,,Asian/Asian British,,,,,,,,,,,,,,,,,,8.924801154
2014,,Stalking,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,,,,7.520725752
2014,,Stalking,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,,,,3.730535972
2014,,Stalking,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,,,,,4.461207426
2014,,Stalking,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,,,,,5.098447152
2014,,Stalking,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,,,,4.151784309
2014,,Stalking,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,,,,4.749034035
2014,,Stalking,,,,Black/African/Caribbean/Black British,African,,,,,,,,,,,,,,,,,3.436343995
2014,,Stalking,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,,,,,,,,,,12.15844496
2014,,Stalking,,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,,,,,,,,,,,,5.913174653
2014,,Stalking,,,,Other ethnic group,,,,,,,,,,,,,,,,,North East,5.279680772
2014,,Stalking,,,,Other ethnic group,Other ethnic group - Arab,,,,,,,,,,,,,,,,North West,6.028126183
2014,,Stalking,,,,Other ethnic group,Any other ethnic group,,,,,,,,,,,,,,,,Yorkshire and the Humber,4.250096058
2014,,Stalking,,,,,,Married,,,,,,,,,,,,,,,East Midlands,4.685673157
2014,,Stalking,,,,,,Cohabiting,,,,,,,,,,,,,,,West Midlands,3.242962199
2014,,Stalking,,,,,,Single,,,,,,,,,,,,,,,East of England,3.97990146
2014,,Stalking,,,,,,Separated,,,,,,,,,,,,,,,London,3.388656087
2014,,Stalking,,,,,,Divorced,,,,,,,,,,,,,,,South East,6.40502026
2014,,Stalking,,,,,,Widowed,,,,,,,,,,,,,,,South West,5.185946158
2014,,Stalking,,,,,,,Employed,,,,,,,,,,,,,,Wales,4.228419321
2014,,Stalking,,,,,,,Unemployed,,,,,,,,,,,,,,,3.13029972
2014,,Stalking,,,,,,,Inactive,,,,,,,,,,,,,,,3.597350948
2014,,Stalking,,,,,,,Student,,,,,,,,,,,,,,,5.515083249
2014,,Stalking,,,,,,,Looking after family/home,,,,,,,,,,,,,,,4.893049509
2014,,Stalking,,,,,,,Long-term/temporarily sick/ill,,,,,,,,,,,,,,,4.67668573
2014,,Stalking,,,,,,,Retired,,,,,,,,,,,,,,,3.316096467
2014,,Stalking,,,,,,,Other inactive,,,,,,,,,,,,,,,4.652852082
2014,,Stalking,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,,4.218691443
2014,,Stalking,,,,,,,,Intermediate occupations,,,,,,,,,,,,,,4.600833427
2014,,Stalking,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,,2.800205857
2014,,Stalking,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,,5.269533702
2014,,Stalking,,,,,,,,Full-time students,,,,,,,,,,,,,,5.566984187
2014,,Stalking,,,,,,,,Not classified,,,,,,,,,,,,,,4.340843004
2014,,Stalking,,,,,,,,,Degree or diploma,,,,,,,,,,,,,4.296131334
2014,,Stalking,,,,,,,,,Apprenticeship or A/AS level,,,,,,,,,,,,,6.665300806
2014,,Stalking,,,,,,,,,O level/GCSE,,,,,,,,,,,,,4.179747263
2014,,Stalking,,,,,,,,,Other,,,,,,,,,,,,,5.356279341
2014,,Stalking,,,,,,,,,No qualifications,,,,,,,,,,,,,4.422744444
2014,,Stalking,,,,,,,,,,,,Less than 3 hours,,,,,,,,,,2.747272025
2014,,Stalking,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,,4.596236038
2014,,Stalking,,,,,,,,,,,,7 hours or longer,,,,,,,,,,3.740391105
2014,,Stalking,,,,,,,,,,,,,No children,,,,,,,,,4.709034619
2014,,Stalking,,,,,,,,,,,,,Adults and child(ren),,,,,,,,,4.952178104
2014,,Stalking,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,,5.250366448
2014,,Stalking,,,,,,,,,,,,,,"Under £10,000",,,,,,,,4.309043134
2014,,Stalking,,,,,,,,,,,,,,"£10,000 - £20,000",,,,,,,,3.217057155
2014,,Stalking,,,,,,,,,,,,,,"£20,000 - £30,000",,,,,,,,4.275717154
2014,,Stalking,,,,,,,,,,,,,,"£30,000 - £40,000",,,,,,,,4.385044639
2014,,Stalking,,,,,,,,,,,,,,"£40,000 - £50,000",,,,,,,,5.826445135
2014,,Stalking,,,,,,,,,,,,,,"Over £50,000",,,,,,,,2.731577752
2014,,Stalking,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,3.993132526
2014,,Stalking,,,,,,,,,,,,,,,Owner occupiers,,,,,,,4.330281205
2014,,Stalking,,,,,,,,,,,,,,,Social renters,,,,,,,3.049015858
2014,,Stalking,,,,,,,,,,,,,,,Private renters,,,,,,,2.573715053
2014,,Stalking,,,,,,,,,,,,,,,,Houses,,,,,,2.122543468
2014,,Stalking,,,,,,,,,,,,,,,,Detached,,,,,,1.028938225
2014,,Stalking,,,,,,,,,,,,,,,,Semi-detached,,,,,,2.969125534
2014,,Stalking,,,,,,,,,,,,,,,,Terraced,,,,,,2.955579988
2014,,Stalking,,,,,,,,,,,,,,,,Flats/maisonettes,,,,,,6.812376052
2014,,Stalking,,,,,,,,,,,,,,,,,Cosmopolitans,,,,,2.80611124
2014,,Stalking,,,,,,,,,,,,,,,,,Ethnicity central,,,,,3.266225479
2014,,Stalking,,,,,,,,,,,,,,,,,Hard-pressed living,,,,,0.560538103
2014,,Stalking,,,,,,,,,,,,,,,,,,Urban,,,,1.525265455
2014,,Stalking,,,,,,,,,,,,,,,,,,Rural,,,,0
2014,,Stalking,,,,,,,,,,,,,,,,,,,High,,,0
2014,,Stalking,,,,,,,,,,,,,,,,,,,Not high,,,0
2014,,Stalking,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,,0
2014,,Stalking,,,,,,,,,,,,,,,,,,,,Other output areas,,3.60360439
2014,,Stalking,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,,3.57027888
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,3.849019381
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,0.43489307
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,0
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,0.833846042
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,1.210348931
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,2.755027823
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,4.069349638
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,10.20579334
2014,,Stalking,,,,,,,,,,,,,,,,,,,,,,7.589299152
2014,Family abuse,Non-sexual,,,,,,,,,,Long-standing illness or disability,Does not limit activities,,,,,,,,,,,7.412110665
2014,Family abuse,Non-sexual,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,,3.870585673
2014,Family abuse,Non-sexual,,,,,,,,,,Long-standing illness or disability,Limits activities,,,,,,,,,,,6.07573944
2014,Family abuse,Non-sexual,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,,4.241111085
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.992432462
2014,Family abuse,Non-sexual,,,16-19,,,,,,,,,,,,,,,,,,,0.484365786
2014,Family abuse,Non-sexual,,,20-24,,,,,,,,,,,,,,,,,,,4.32587449
2014,Family abuse,Non-sexual,,,25-34,,,,,,,,,,,,,,,,,,,2.336547797
2014,Family abuse,Non-sexual,,,35-44,,,,,,,,,,,,,,,,,,,1.841654864
2014,Family abuse,Non-sexual,,,45-54,,,,,,,,,,,,,,,,,,,2.333378897
2014,Family abuse,Non-sexual,,,55-59,,,,,,,,,,,,,,,,,,,1.587340054
2014,Family abuse,Non-sexual,,,,White,,,,,,,,,,,,,,,,,North East,8.641573591
2014,Family abuse,Non-sexual,,,,White,Irish,,,,,,,,,,,,,,,,Yorkshire and the Humber,2.347311852
2014,Family abuse,Non-sexual,,,,White,Gypsy/Irish traveller,,,,,,,,,,,,,,,,East Midlands,4.536187025
2014,Family abuse,Non-sexual,,,,White,Any other white background,,,,,,,,,,,,,,,,West Midlands,2.384770992
2014,Family abuse,Non-sexual,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,,,East of England,3.201779604
2014,Family abuse,Non-sexual,,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,,,,,,,,,,,London,1.34450964
2014,Family abuse,Non-sexual,,,,Mixed/multiple ethnic groups,White and Black African,,,,,,,,,,,,,,,,South East,4.329511755
2014,Family abuse,Non-sexual,,,,Mixed/multiple ethnic groups,White and Asian,,,,,,,,,,,,,,,,South West,3.978989216
2014,Family abuse,Non-sexual,,,,Mixed/multiple ethnic groups,Any other Mixed/Multiple ethnic background,,,,,,,,,,,,,,,,Wales,5.471825469
2014,Family abuse,Non-sexual,,,,Asian/Asian British,,,,,,,,,,,,,,,,,,2.434448145
2014,Family abuse,Non-sexual,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,,,,1.817744831
2014,Family abuse,Non-sexual,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,,,,2.813353414
2014,Family abuse,Non-sexual,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,,,,,2.994233772
2014,Family abuse,Non-sexual,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,,,,,3.404222447
2014,Family abuse,Non-sexual,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,,,,1.662801256
2014,Family abuse,Non-sexual,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,,,,2.605085351
2014,Family abuse,Non-sexual,,,,Black/African/Caribbean/Black British,African,,,,,,,,,,,,,,,,,4.059774414
2014,Family abuse,Non-sexual,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,,,,,,,,,,2.248630235
2014,Family abuse,Non-sexual,,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,,,,,,,,,,,,2.688434069
2014,Family abuse,Non-sexual,,,,Other ethnic group,,,,,,,,,,,,,,,,,,1.483882769
2014,Family abuse,Non-sexual,,,,Other ethnic group,Other ethnic group - Arab,,,,,,,,,,,,,,,,,2.107207924
2014,Family abuse,Non-sexual,,,,Other ethnic group,Any other ethnic group,,,,,,,,,,,,,,,,,1.734060033
2014,Family abuse,Non-sexual,,,,,,Married,,,,,,,,,,,,,,,,5.044237085
2014,Family abuse,Non-sexual,,,,,,Cohabiting,,,,,,,,,,,,,,,,1.944053094
2014,Family abuse,Non-sexual,,,,,,Single,,,,,,,,,,,,,,,,2.490065875
2014,Family abuse,Non-sexual,,,,,,Separated,,,,,,,,,,,,,,,,4.489934657
2014,Family abuse,Non-sexual,,,,,,Divorced,,,,,,,,,,,,,,,,2.626916925
2014,Family abuse,Non-sexual,,,,,,Widowed,,,,,,,,,,,,,,,,2.517532425
2014,Family abuse,Non-sexual,,,,,,,Employed,,,,,,,,,,,,,,,2.346854653
2014,Family abuse,Non-sexual,,,,,,,Unemployed,,,,,,,,,,,,,,,2.955042312
2014,Family abuse,Non-sexual,,,,,,,Inactive,,,,,,,,,,,,,,,3.463726501
2014,Family abuse,Non-sexual,,,,,,,Student,,,,,,,,,,,,,,,1.80594116
2014,Family abuse,Non-sexual,,,,,,,Looking after family/home,,,,,,,,,,,,,,,4.203582827
2014,Family abuse,Non-sexual,,,,,,,Long-term/temporarily sick/ill,,,,,,,,,,,,,,,3.669287528
2014,Family abuse,Non-sexual,,,,,,,Retired,,,,,,,,,,,,,,,2.283554114
2014,Family abuse,Non-sexual,,,,,,,Other inactive,,,,,,,,,,,,,,,3.03117173
2014,Family abuse,Non-sexual,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,,2.302949018
2014,Family abuse,Non-sexual,,,,,,,,Intermediate occupations,,,,,,,,,,,,,,2.670242092
2014,Family abuse,Non-sexual,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,,2.984353938
2014,Family abuse,Non-sexual,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,,2.85208947
2014,Family abuse,Non-sexual,,,,,,,,Full-time students,,,,,,,,,,,,,,2.075256372
2014,Family abuse,Non-sexual,,,,,,,,Not classified,,,,,,,,,,,,,,3.899344538
2014,Family abuse,Non-sexual,,,,,,,,,Degree or diploma,,,,,,,,,,,,,2.668476543
2014,Family abuse,Non-sexual,,,,,,,,,Apprenticeship or A/AS level,,,,,,,,,,,,,3.014245082
2014,Family abuse,Non-sexual,,,,,,,,,O level/GCSE,,,,,,,,,,,,,2.791176619
2014,Family abuse,Non-sexual,,,,,,,,,Other,,,,,,,,,,,,,2.399397426
2014,Family abuse,Non-sexual,,,,,,,,,No qualifications,,,,,,,,,,,,,2.818198315
2014,Family abuse,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,,1.603681775
2014,Family abuse,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,,3.150754426
2014,Family abuse,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,,3.785170377
2014,Family abuse,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,,2.446697834
2014,Family abuse,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,,2.876077448
2014,Family abuse,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,,2.393151822
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,"Under £10,000",,,,,,,,3.293988247
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,"£10,000 - £20,000",,,,,,,,2.938491762
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,"£20,000 - £30,000",,,,,,,,1.961183417
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,"£30,000 - £40,000",,,,,,,,4.899949752
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,"£40,000 - £50,000",,,,,,,,10.30068436
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,"Over £50,000",,,,,,,,7.199094641
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,5.073825231
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,,4.255900779
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,,3.583228074
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,,2.315538545
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,,4.806041019
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,,5.03606167
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,,3.251141541
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,Flats/maisonettes,,,,,,2.32085015
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,Rural residents,,,,,13.03609634
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,Cosmopolitans,,,,,5.415769573
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,,2.984538604
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,,2.086350603
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,,2.361950461
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,Rural,,,,3.928643054
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,High,,,5.928475843
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,Not high,,,7.276382639
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,,8.893819689
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,Other output areas,,5.585499242
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.290151106
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.156747644
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,3.297417025
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,8.510833093
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,9.417232137
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,9.139117305
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,1.680858089
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,4.441975368
2014,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,4.417945995
2014,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,10.85764127
2014,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,4.357623481
2014,Partner abuse,Non-sexual,,,,,,,,,,Long-standing illness or disability,Does not limit activities,,,,,,,,,,,5.563472524
2014,Partner abuse,Non-sexual,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,,4.622240704
2014,Partner abuse,Non-sexual,,,,,,,,,,Long-standing illness or disability,Limits activities,,,,,,,,,,,7.837379144
2014,Partner abuse,Non-sexual,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,,5.724471389
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,3.165551419
2014,Partner abuse,Non-sexual,,,16-19,,,,,,,,,,,,,,,,,,,2.564554642
2014,Partner abuse,Non-sexual,,,20-24,,,,,,,,,,,,,,,,,,,3.326799508
2014,Partner abuse,Non-sexual,,,25-34,,,,,,,,,,,,,,,,,,North East,3.688764675
2014,Partner abuse,Non-sexual,,,35-44,,,,,,,,,,,,,,,,,,North West,1.795115684
2014,Partner abuse,Non-sexual,,,45-54,,,,,,,,,,,,,,,,,,Yorkshire and the Humber,3.24034847
2014,Partner abuse,Non-sexual,,,55-59,,,,,,,,,,,,,,,,,,East Midlands,4.065917839
2014,Partner abuse,Non-sexual,,,,White,,,,,,,,,,,,,,,,,West Midlands,3.416781981
2014,Partner abuse,Non-sexual,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,,,,,,,,,East of England,2.244026753
2014,Partner abuse,Non-sexual,,,,White,Irish,,,,,,,,,,,,,,,,London,2.911280594
2014,Partner abuse,Non-sexual,,,,White,Gypsy/Irish traveller,,,,,,,,,,,,,,,,South East,4.148036948
2014,Partner abuse,Non-sexual,,,,White,Any other white background,,,,,,,,,,,,,,,,South West,2.306262191
2014,Partner abuse,Non-sexual,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,,,Wales,4.378179164
2014,Partner abuse,Non-sexual,,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,,,,,,,,,,,,2.999753474
2014,Partner abuse,Non-sexual,,,,Mixed/multiple ethnic groups,White and Black African,,,,,,,,,,,,,,,,,4.599852604
2014,Partner abuse,Non-sexual,,,,Mixed/multiple ethnic groups,White and Asian,,,,,,,,,,,,,,,,,9.660329937
2014,Partner abuse,Non-sexual,,,,Mixed/multiple ethnic groups,Any other Mixed/Multiple ethnic background,,,,,,,,,,,,,,,,,6.589385114
2014,Partner abuse,Non-sexual,,,,Asian/Asian British,,,,,,,,,,,,,,,,,,5.410436537
2014,Partner abuse,Non-sexual,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,,,,3.966779944
2014,Partner abuse,Non-sexual,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,,,,2.955364374
2014,Partner abuse,Non-sexual,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,,,,,2.095098694
2014,Partner abuse,Non-sexual,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,,,,,4.682370686
2014,Partner abuse,Non-sexual,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,,,,4.800314528
2014,Partner abuse,Non-sexual,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,,,,6.668940438
2014,Partner abuse,Non-sexual,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,,,,,,,,,,3.22745942
2014,Partner abuse,Non-sexual,,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,,,,,,,,,,,,3.045564487
2014,Partner abuse,Non-sexual,,,,Other ethnic group,,,,,,,,,,,,,,,,,,4.91974162
2014,Partner abuse,Non-sexual,,,,,,Cohabiting,,,,,,,,,,,,,,,,4.558624377
2014,Partner abuse,Non-sexual,,,,,,Single,,,,,,,,,,,,,,,,6.618950247
2014,Partner abuse,Non-sexual,,,,,,Separated,,,,,,,,,,,,,,,,3.112406315
2014,Partner abuse,Non-sexual,,,,,,Divorced,,,,,,,,,,,,,,,,0.622279294
2014,Partner abuse,Non-sexual,,,,,,Widowed,,,,,,,,,,,,,,,,3.105388943
2014,Partner abuse,Non-sexual,,,,,,,Employed,,,,,,,,,,,,,,,5.178523027
2014,Partner abuse,Non-sexual,,,,,,,Unemployed,,,,,,,,,,,,,,,3.579424589
2014,Partner abuse,Non-sexual,,,,,,,Inactive,,,,,,,,,,,,,,,1.221615206
2014,Partner abuse,Non-sexual,,,,,,,Student,,,,,,,,,,,,,,,5.669235277
2014,Partner abuse,Non-sexual,,,,,,,Long-term/temporarily sick/ill,,,,,,,,,,,,,,,4.732109457
2014,Partner abuse,Non-sexual,,,,,,,Other inactive,,,,,,,,,,,,,,,4.365333533
2014,Partner abuse,Non-sexual,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,,2.151101098
2014,Partner abuse,Non-sexual,,,,,,,,Intermediate occupations,,,,,,,,,,,,,,3.583439503
2014,Partner abuse,Non-sexual,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,,8.055955584
2014,Partner abuse,Non-sexual,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,,6.988160255
2014,Partner abuse,Non-sexual,,,,,,,,Full-time students,,,,,,,,,,,,,,7.902953309
2014,Partner abuse,Non-sexual,,,,,,,,Not classified,,,,,,,,,,,,,,3.090502576
2014,Partner abuse,Non-sexual,,,,,,,,,Degree or diploma,,,,,,,,,,,,,4.234257378
2014,Partner abuse,Non-sexual,,,,,,,,,Apprenticeship or A/AS level,,,,,,,,,,,,,4.542768111
2014,Partner abuse,Non-sexual,,,,,,,,,O level/GCSE,,,,,,,,,,,,,5.826912935
2014,Partner abuse,Non-sexual,,,,,,,,,Other,,,,,,,,,,,,,9.004077373
2014,Partner abuse,Non-sexual,,,,,,,,,No qualifications,,,,,,,,,,,,,4.08449797
2014,Partner abuse,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,,8.696126179
2014,Partner abuse,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,,0.879109944
2014,Partner abuse,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,,2.558579685
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,,4.445798565
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,,4.073204871
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,,3.912268849
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,"Under £10,000",,,,,,,,3.344582337
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,"£10,000 - £20,000",,,,,,,,9.269444607
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,"£30,000 - £40,000",,,,,,,,4.503105778
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,"£40,000 - £50,000",,,,,,,,5.483646506
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,"Over £50,000",,,,,,,,4.196247269
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,3.868895325
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,,4.406755882
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,,8.002325462
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,,9.239895877
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,,4.065207252
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,,3.977462986
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,,3.835731822
2014,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,Terraced,,,,,,4.279990046
