Year,Country,Age of child,Sex,Region,Health board,Birthweight (grams),Type of registration,National statistics socio-economic classification (NS-SEC),GeoCode,Value
2010,England and Wales,,,,,,Joint registration,Lower supervisory and technical occupations (5),K04000001,2.4
2011,England and Wales,,,,,,Joint registration,Lower supervisory and technical occupations (5),K04000001,2.8
2012,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Lower supervisory and technical occupations (5),K04000001,3.6
2013,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Lower supervisory and technical occupations (5),K04000001,3.2
2014,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Lower supervisory and technical occupations (5),K04000001,3.7
2015,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Lower supervisory and technical occupations (5),K04000001,4.1
2008,England and Wales,,,,,,Joint registration,Semi-routine occupations (6),K04000001,4.1
2009,England and Wales,,,,,,Joint registration,Semi-routine occupations (6),K04000001,3.6
2010,England and Wales,,,,,,Joint registration,Semi-routine occupations (6),K04000001,3.8
2011,England and Wales,,,,,,Joint registration,Semi-routine occupations (6),K04000001,3.5
2012,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Semi-routine occupations (6),K04000001,3.7
2013,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Semi-routine occupations (6),K04000001,3.3
2014,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Semi-routine occupations (6),K04000001,3.3
2015,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Semi-routine occupations (6),K04000001,3.2
2008,England and Wales,,,,,,Joint registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,3.9
2009,England and Wales,,,,,,Joint registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,3.5
2010,England and Wales,,,,,,Joint registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,3.4
2011,England and Wales,,,,,,Joint registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,3.4
2012,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Routine occupations (7),K04000001,5.3
2013,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,5.5
2014,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,5.2
2015,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,6.0
2008,England and Wales,,,,,,Joint registration,Not classified,K04000001,3.7
2009,England and Wales,,,,,,Joint registration,Not classified,K04000001,3.4
2010,England and Wales,,,,,,Joint registration,Not classified,K04000001,2.7
2011,England and Wales,,,,,,Joint registration,Not classified,K04000001,4.6
2013,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Not classified,K04000001,3.4
2014,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Not classified,K04000001,3.6
2015,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Not classified,K04000001,4.5
2012,England and Wales,,,,,,"Inside a marriage or civil partnership, and have joint registration (same address)",Not classified,K04000001,2.9
2008,England and Wales,,,,,,Sole registration,,K04000001,4.1
2009,England and Wales,,,,,,Sole registration,,K04000001,3.6
2010,England and Wales,,,,,,Sole registration,,K04000001,2.8
2011,England and Wales,,,,,,Sole registration,,K04000001,3.2
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,,K04000001,3.3
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,,K04000001,3.3
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,,K04000001,3.1
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,,K04000001,3.3
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,"Higher professional occupations (1. Lower managerial, administrative and professional occupations (2))",K04000001,2.8
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,"Higher professional occupations (1. Lower managerial, administrative and professional occupations (2))",K04000001,2.0
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,"Higher professional occupations (1. Lower managerial, administrative and professional occupations (2))",K04000001,2.1
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,"Higher professional occupations (1. Lower managerial, administrative and professional occupations (2))",K04000001,1.5
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,"Lower managerial, administrative and professional occupations (2)",K04000001,1.4
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,"Lower managerial, administrative and professional occupations (2)",K04000001,1.7
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,"Lower managerial, administrative and professional occupations (2)",K04000001,1.9
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,"Lower managerial, administrative and professional occupations (2)",K04000001,1.9
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Intermediate occupations (3),K04000001,1.5
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Intermediate occupations (3),K04000001,1.9
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Intermediate occupations (3),K04000001,0.8
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Intermediate occupations (3),K04000001,1.6
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Small employers and own account workers (4),K04000001,2.9
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Small employers and own account workers (4),K04000001,2.4
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Small employers and own account workers (4),K04000001,3.7
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Small employers and own account workers (4),K04000001,3.2
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,2.4
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,3.6
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,3.7
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,2.8
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.8
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.8
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.7
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.4
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (7),K04000001,4.6
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,4.1
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,3.4
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,4.7
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,1.1
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,0.9
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,1.1
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,1.0
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,2.4
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,3.6
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,3.7
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Lower supervisory and technical occupations (5),K04000001,2.8
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.8
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.8
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.7
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Semi-routine occupations (6),K04000001,2.4
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (7),K04000001,4.6
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,4.1
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,3.4
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Routine occupations (Routine occupations (7)) and never worked and long-term unemployed (8),K04000001,4.7
2012,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,1.1
2013,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,0.9
2014,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,1.1
2015,England and Wales,,,,,,Joint registration (different address) and sole registration,Not classified,K04000001,1.0
