Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Value
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Water passenger transport services,-4.5042898
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Air passenger transport services,0.058590384
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Transport equipment rental services,24.9201278
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,-1.890189019
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Cultural activities,1.649862511
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Sport and recreation activities,-1.126927639
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Exhibitions and conferences,-22.6343679
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Other consumption products,4.336805418
2013,Growth rate (%),Inbound,Tourists (overnight visitors),,2.378067563
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,-10.77348066
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Railway passenger transport services,-5.483028721
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Road passenger transport services,-13.7254902
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Water passenger transport services,-13.4502924
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Air passenger transport services,-0.078740157
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Transport equipment rental services,8.333333333
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,-18.18181818
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Cultural activities,-9.523809524
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Sport and recreation activities,-12.5
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Exhibitions and conferences,-30.76923077
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),Other consumption products,-8.655804481
2013,Growth rate (%),Inbound,Excursionists (same-day visitors),,-3.481592537
2013,Growth rate (%),Inbound,,Accommodation services for visitors,1.739822401
2013,Growth rate (%),Inbound,,Food and beverage serving activities,1.731889649
2013,Growth rate (%),Inbound,,Railway passenger transport services,-2.834285714
2013,Growth rate (%),Inbound,,Road passenger transport services,0.342530923
2013,Growth rate (%),Inbound,,Water passenger transport services,-5.178492728
2013,Growth rate (%),Inbound,,Air passenger transport services,0.04569827
2013,Growth rate (%),Inbound,,Transport equipment rental services,24.76265823
2013,Growth rate (%),Inbound,,Travel agencies and other reservation services,-2.049910873
2013,Growth rate (%),Inbound,,Cultural activities,1.497277677
2013,Growth rate (%),Inbound,,Sport and recreation activities,-1.233842538
2013,Growth rate (%),Inbound,,Exhibitions and conferences,-22.71364318
2013,Growth rate (%),Inbound,,Other consumption products,4.211692718
2013,Growth rate (%),Inbound,,,2.237071004
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Accommodation services for visitors,2.525536386
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Food and beverage serving activities,-1.18807349
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Railway passenger transport services,-11.25457038
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Road passenger transport services,4.138449962
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Water passenger transport services,-62.36178682
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Air passenger transport services,100.2148997
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Transport equipment rental services,-11.2457586
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,0.241952451
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Cultural activities,-1.846574718
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Sport and recreation activities,-13.48099058
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Exhibitions and conferences,-32.6987682
2013,Growth rate (%),Domestic,Tourists (overnight visitors),Other consumption products,-9.242786172
2013,Growth rate (%),Domestic,Tourists (overnight visitors),,-2.37319568
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,-4.897543375
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Railway passenger transport services,3.003139458
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Road passenger transport services,-19.85751099
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Water passenger transport services,-76.04611443
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Air passenger transport services,-25.44882473
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Transport equipment rental services,-7.870221651
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,-36.64772727
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Cultural activities,-30.70157165
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Sport and recreation activities,70.14443104
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Exhibitions and conferences,-70.45826514
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),Other consumption products,8.400985037
2013,Growth rate (%),Domestic,Excursionists (same-day visitors),,-0.488988552
2013,Growth rate (%),Domestic,,Accommodation services for visitors,2.525536386
2013,Growth rate (%),Domestic,,Food and beverage serving activities,-4.239406099
2013,Growth rate (%),Domestic,,Railway passenger transport services,-0.779756667
2013,Growth rate (%),Domestic,,Road passenger transport services,-15.83396417
2013,Growth rate (%),Domestic,,Water passenger transport services,-72.72531496
2013,Growth rate (%),Domestic,,Air passenger transport services,17.36424649
2013,Growth rate (%),Domestic,,Transport equipment rental services,-9.21561051
2013,Growth rate (%),Domestic,,Travel agencies and other reservation services,-8.979012151
2013,Growth rate (%),Domestic,,Cultural activities,-25.83257979
2013,Growth rate (%),Domestic,,Sport and recreation activities,54.88685911
2013,Growth rate (%),Domestic,,Exhibitions and conferences,-63.08400965
2013,Growth rate (%),Domestic,,Other consumption products,3.768285457
2013,Growth rate (%),Domestic,,,-1.069023301
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Accommodation services for visitors,10.25723993
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Food and beverage serving activities,5.250431779
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Railway passenger transport services,5.7976299
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Road passenger transport services,5.543556515
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Water passenger transport services,12.18366815
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Air passenger transport services,2.388061594
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Travel agencies and other reservation services,0
2013,Growth rate (%),Outbound,Tourists (overnight visitors),Other consumption products,8.720741639
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),Food and beverage serving activities,3.03030303
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),Railway passenger transport services,68.29268293
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),Road passenger transport services,2.564102564
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),Water passenger transport services,-60.42296073
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),Air passenger transport services,-12.16617211
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),Other consumption products,5.421686747
2013,Growth rate (%),Outbound,Excursionists (same-day visitors),,-0.27184466
2013,Growth rate (%),Outbound,,Accommodation services for visitors,10.25723993
2013,Growth rate (%),Outbound,,Food and beverage serving activities,5.220676627
2013,Growth rate (%),Outbound,,Railway passenger transport services,10.95867492
2013,Growth rate (%),Outbound,,Road passenger transport services,5.526918671
2013,Growth rate (%),Outbound,,Water passenger transport services,6.461686284
2013,Growth rate (%),Outbound,,Air passenger transport services,2.264741563
2013,Growth rate (%),Outbound,,Travel agencies and other reservation services,0
2013,Growth rate (%),Outbound,,Other consumption products,8.703845174
2013,Growth rate (%),Outbound,,,4.161028032
2013,Growth rate (%),,Tourists (overnight visitors),Accommodation services for visitors,2.750893695
2013,Growth rate (%),,Tourists (overnight visitors),Food and beverage serving activities,0.107638913
2013,Growth rate (%),,Tourists (overnight visitors),Railway passenger transport services,-4.423225012
2013,Growth rate (%),,Tourists (overnight visitors),Road passenger transport services,4.154035231
2013,Growth rate (%),,Tourists (overnight visitors),Water passenger transport services,-12.65946408
2013,Growth rate (%),,Tourists (overnight visitors),Air passenger transport services,3.755373695
2013,Growth rate (%),,Tourists (overnight visitors),Transport equipment rental services,-2.826329491
2013,Growth rate (%),,Tourists (overnight visitors),Travel agencies and other reservation services,0.046743825
2013,Growth rate (%),,Tourists (overnight visitors),Cultural activities,-1.459854015
2013,Growth rate (%),,Tourists (overnight visitors),Sport and recreation activities,-11.89752167
2013,Growth rate (%),,Tourists (overnight visitors),Exhibitions and conferences,-28.41969746
2013,Growth rate (%),,Tourists (overnight visitors),Other consumption products,0.558912855
2013,Growth rate (%),,Tourists (overnight visitors),,1.304238876
2013,Growth rate (%),,Excursionists (same-day visitors),Food and beverage serving activities,-4.901138809
2013,Growth rate (%),,Excursionists (same-day visitors),Railway passenger transport services,4.230359761
2013,Growth rate (%),,Excursionists (same-day visitors),Road passenger transport services,-19.78278905
2013,Growth rate (%),,Excursionists (same-day visitors),Water passenger transport services,-73.93730074
2013,Growth rate (%),,Excursionists (same-day visitors),Air passenger transport services,-17.79112754
2013,Growth rate (%),,Excursionists (same-day visitors),Transport equipment rental services,-7.839050978
2013,Growth rate (%),,Excursionists (same-day visitors),Travel agencies and other reservation services,-36.61572396
2013,Growth rate (%),,Excursionists (same-day visitors),Cultural activities,-30.69642589
2013,Growth rate (%),,Excursionists (same-day visitors),Sport and recreation activities,70.11870014
2013,Growth rate (%),,Excursionists (same-day visitors),Exhibitions and conferences,-70.38801906
2013,Growth rate (%),,Excursionists (same-day visitors),Other consumption products,8.352390501
2013,Growth rate (%),,Excursionists (same-day visitors),,-0.504247929
2013,Growth rate (%),,,Accommodation services for visitors,2.750893695
2013,Growth rate (%),,,Food and beverage serving activities,-3.673046727
2013,Growth rate (%),,,Railway passenger transport services,0.817051078
2013,Growth rate (%),,,Road passenger transport services,-8.304043042
2013,Growth rate (%),,,Water passenger transport services,-42.0033081
2013,Growth rate (%),,,Air passenger transport services,2.740095156
2013,Growth rate (%),,,Transport equipment rental services,-5.518250689
2013,Growth rate (%),,,Travel agencies and other reservation services,-3.842553903
2013,Growth rate (%),,,Cultural activities,-25.26517078
2013,Growth rate (%),,,Sport and recreation activities,53.40697819
2013,Growth rate (%),,,Exhibitions and conferences,-57.93149636
2013,Growth rate (%),,,Other consumption products,4.615603029
2013,Growth rate (%),,,,0.458458925
