Year,Units,Manufacturing category,Manufacturing subcategory,Manufacturing description,Value
2007,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.191827652
2007,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.271103961
2007,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.367076164
2007,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.239054849
2007,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.239054849
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.702920497
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.702920497
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.09071825
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.216404475
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.070869985
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.106888749
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.138178957
2007,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.11961499
2007,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.916697996
2007,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0.916697996
2007,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,0.954176192
2007,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.614654091
2007,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.342616095
2007,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.177933866
2007,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.167542715
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.381672812
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.262989522
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.13490983
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.143432909
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,1.117048726
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",0.942092101
2007,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,0.196731341
2007,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products",,,0.533918351
2007,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,0.533918351
2007,Percentage (%) of gross domestic product,Manufacture of electrical equipment,,,0.355517468
2007,Percentage (%) of gross domestic product,Manufacture of electrical equipment,Manufacture of electrical equipment,,0.355517468
2007,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,,,0.72644653
2007,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,Manufacture of machinery and equipment N.E.C.,,0.72644653
2007,Percentage (%) of gross domestic product,Manufacture of transport equipment,,,1.001636898
2007,Percentage (%) of gross domestic product,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,0.665383924
2007,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,,0.390427065
2007,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.061879888
2007,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,0.303736845
2007,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,0.02761244
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,,,0.891654154
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,Manufacture of furniture,,0.234851687
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,Other manufacturing,,0.30426224
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,,0.357619049
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.015820235
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.129072105
2007,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,0.226095099
2008,Percentage (%) of gross domestic product,,,,10.23132885
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.445966872
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.141840339
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.170480046
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.180349325
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.019679812
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.055690932
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.089880934
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.203083915
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.398413396
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.048230227
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.244558385
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.189689893
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.059861877
2008,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.064796517
2008,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.437890512
2008,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.23586402
2008,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.175532177
2008,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.033426308
2008,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,0.797825469
2008,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.180231834
2008,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.268056668
2008,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.354706589
2008,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.232515515
2008,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.232515515
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.703714844
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.703714844
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.091408323
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.221412576
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.068967462
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.102511262
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.137934924
2008,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.119723754
2008,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.939872592
2008,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0.939872592
2008,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,0.913848243
2008,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.586517155
2008,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.329622171
2008,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.162725613
2008,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.171184995
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.33017908
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.25448641
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.127713171
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.142105869
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,1.074047791
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",0.908678621
2008,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,0.182052951
2008,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products",,,0.50321574
2008,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,0.50321574
2008,Percentage (%) of gross domestic product,Manufacture of electrical equipment,,,0.349830695
2008,Percentage (%) of gross domestic product,Manufacture of electrical equipment,Manufacture of electrical equipment,,0.349830695
2008,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,,,0.726566924
2008,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,Manufacture of machinery and equipment N.E.C.,,0.726566924
2008,Percentage (%) of gross domestic product,Manufacture of transport equipment,,,0.978116049
2008,Percentage (%) of gross domestic product,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,0.636157279
2008,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,,0.3887791
2008,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.064679025
2008,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,0.293787289
2008,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,0.034307494
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,,,0.866029237
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,Manufacture of furniture,,0.227345892
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,Other manufacturing,,0.286032855
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,,0.357056417
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.016683781
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.127184459
2008,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,0.225759758
2009,Percentage (%) of gross domestic product,,,,9.692106574
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.489577135
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.173044297
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.17487595
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.172358424
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.020877045
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.05894695
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.092841446
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.207419579
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.414900561
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.055508378
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.251261373
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.190103912
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.066008303
2009,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.07055213
2009,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.416312831
2009,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.2298317
2009,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.160200616
2009,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.031929598
2009,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,0.773801519
2009,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.158297121
2009,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.257954308
2009,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.361172872
2009,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.22903346
2009,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.22903346
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.639513
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.639513
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.080867846
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.1718672
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.076999453
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.085227465
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.135332372
2009,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.125814896
2009,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,1.044527666
2009,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,1.044527666
2009,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,0.82458186
2009,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.528557648
2009,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.298111917
2009,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.139446378
2009,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.164130413
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.122877987
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.201095062
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.091306369
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.12311316
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,0.921046087
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",0.77521379
2009,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,0.162963754
2009,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products",,,0.503996419
2009,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,0.503996419
2009,Percentage (%) of gross domestic product,Manufacture of electrical equipment,,,0.283927807
2009,Percentage (%) of gross domestic product,Manufacture of electrical equipment,Manufacture of electrical equipment,,0.283927807
2009,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,,,0.604574652
2009,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,Manufacture of machinery and equipment N.E.C.,,0.604574652
2009,Percentage (%) of gross domestic product,Manufacture of transport equipment,,,0.894090138
2009,Percentage (%) of gross domestic product,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,0.470777357
2009,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,,0.432032018
2009,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.067174961
2009,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,0.328567841
2009,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,0.040587431
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,,,0.861976332
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,Manufacture of furniture,,0.209752896
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,Other manufacturing,,0.295410182
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,,0.360865857
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.017806891
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.144420026
2009,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,0.21742828
2010,Percentage (%) of gross domestic product,,,,9.942449927
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.523522508
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.209563723
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.194725541
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.182976939
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.020846237
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.061875969
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.087542144
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.232501814
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.384691391
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.056272789
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.255637521
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.201413206
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.056393288
2010,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.066695908
2010,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.421081932
2010,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.235514275
2010,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.16231145
2010,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.030666863
2010,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,0.765225585
2010,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.158214502
2010,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.263771169
2010,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.345770383
2010,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.221114707
2010,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.221114707
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.62388087
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.62388087
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.089952114
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.158937493
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.061213227
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.09657953
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.132126581
2010,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.106942399
2010,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.953624956
2010,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0.953624956
2010,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,0.809629274
2010,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.506093608
2010,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.305041897
2010,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.141886958
2010,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.169300362
2010,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.167991748
2010,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.228465114
2010,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.093928564
2010,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.144598174
