Year,Units,Country,Region,Age group,Sex,GeoCode,Value
2010,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.20227520648278
2011,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.32036024445159
2012,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.18504004089282
2013,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.16626588801099
2014,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.28045479155387
2015,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.2203575337468
2016,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.2202707647274
2017,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.26598465473145
2008,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.5109926715523
2009,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.53183870465514
2010,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.52423250740221
2011,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.52364104213573
2012,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.50230022150281
2013,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.4335279972518
2014,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.48222342537448
2015,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.50054724553082
2016,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.4156604463959
2017,Percentage of total public sector employees,England,West Midlands,,,E12000005,8.42162952137376
2008,Percentage of total public sector employees,England,East of England,,,E12000006,7.5616255829447
2009,Percentage of total public sector employees,England,East of England,,,E12000006,7.55098863459442
2010,Percentage of total public sector employees,England,East of England,,,E12000006,7.58921614461586
2011,Percentage of total public sector employees,England,East of England,,,E12000006,7.71952396268896
2012,Percentage of total public sector employees,England,East of England,,,E12000006,7.68444368716987
2013,Percentage of total public sector employees,England,East of England,,,E12000006,7.48883545173479
2014,Percentage of total public sector employees,England,East of England,,,E12000006,7.6520483667208
2015,Percentage of total public sector employees,England,East of England,,,E12000006,7.69792046698285
2016,Percentage of total public sector employees,England,East of England,,,E12000006,7.75704354189535
2017,Percentage of total public sector employees,England,East of England,,,E12000006,7.81877968578735
2008,Percentage of total public sector employees,England,London,,,E12000007,12.2085276482345
2009,Percentage of total public sector employees,England,London,,,E12000007,12.6420675696714
2010,Percentage of total public sector employees,England,London,,,E12000007,12.9499766245909
2011,Percentage of total public sector employees,England,London,,,E12000007,12.8980379543261
2012,Percentage of total public sector employees,England,London,,,E12000007,13.0005111603339
2013,Percentage of total public sector employees,England,London,,,E12000007,13.2600480934386
2014,Percentage of total public sector employees,England,London,,,E12000007,13.3910846417614
2015,Percentage of total public sector employees,England,London,,,E12000007,13.5534476468442
2016,Percentage of total public sector employees,England,London,,,E12000007,13.5748261983168
2017,Percentage of total public sector employees,England,London,,,E12000007,13.609791742784
2008,Percentage of total public sector employees,England,South East,,,E12000008,11.342438374417
2009,Percentage of total public sector employees,England,South East,,,E12000008,11.3965436711816
2010,Percentage of total public sector employees,England,South East,,,E12000008,11.4071996259934
2011,Percentage of total public sector employees,England,South East,,,E12000008,11.5792859440334
2012,Percentage of total public sector employees,England,South East,,,E12000008,11.5011075140569
2013,Percentage of total public sector employees,England,South East,,,E12000008,11.5080728272071
2014,Percentage of total public sector employees,England,South East,,,E12000008,11.6044035372676
2015,Percentage of total public sector employees,England,South East,,,E12000008,11.7657789128055
2016,Percentage of total public sector employees,England,South East,,,E12000008,11.8002195389681
2017,Percentage of total public sector employees,England,South East,,,E12000008,11.7464377055169
2008,Percentage of total public sector employees,England,South West,,,E12000009,8.47768154563624
2009,Percentage of total public sector employees,England,South West,,,E12000009,8.56297680211739
2010,Percentage of total public sector employees,England,South West,,,E12000009,8.58656693158796
2011,Percentage of total public sector employees,England,South West,,,E12000009,8.5558057253136
2012,Percentage of total public sector employees,England,South West,,,E12000009,8.28079741012097
2013,Percentage of total public sector employees,England,South West,,,E12000009,8.21023703194778
2014,Percentage of total public sector employees,England,South West,,,E12000009,8.04908861216387
2015,Percentage of total public sector employees,England,South West,,,E12000009,8.09923385625684
2016,Percentage of total public sector employees,England,South West,,,E12000009,8.14123673618734
2017,Percentage of total public sector employees,England,South West,,,E12000009,8.16587504567044
2008,Percentage of total public sector employees,Wales,,,,W92000004,5.82944703530979
2009,Percentage of total public sector employees,Wales,,,,W92000004,5.63599564066635
2010,Percentage of total public sector employees,Wales,,,,W92000004,5.59451457067165
2011,Percentage of total public sector employees,Wales,,,,W92000004,5.61273721453843
2012,Percentage of total public sector employees,Wales,,,,W92000004,5.89538251831657
2013,Percentage of total public sector employees,Wales,,,,W92000004,5.94297492270697
2014,Percentage of total public sector employees,Wales,,,,W92000004,5.88341454611081
2015,Percentage of total public sector employees,Wales,,,,W92000004,5.58190441444728
2016,Percentage of total public sector employees,Wales,,,,W92000004,5.56165386022685
2017,Percentage of total public sector employees,Wales,,,,W92000004,5.59006211180124
2008,Percentage of total public sector employees,Scotland,,,,S92000003,10.2265156562291
2009,Percentage of total public sector employees,Scotland,,,,S92000003,10.166588821423
2010,Percentage of total public sector employees,Scotland,,,,S92000003,10.0670095059996
2011,Percentage of total public sector employees,Scotland,,,,S92000003,9.93888710196204
2012,Percentage of total public sector employees,Scotland,,,,S92000003,10.2402453569603
2013,Percentage of total public sector employees,Scotland,,,,S92000003,10.3057368601855
2014,Percentage of total public sector employees,Scotland,,,,S92000003,10.1606208265656
2015,Percentage of total public sector employees,Scotland,,,,S92000003,10.2152499087924
2016,Percentage of total public sector employees,Scotland,,,,S92000003,10.2451518477863
2017,Percentage of total public sector employees,Scotland,,,,S92000003,10.211910851297
2008,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.74750166555629
2009,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.62758835435154
2010,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.56864578463456
2011,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.60244451592151
2012,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.76554779349122
2013,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.79594641016832
2014,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.88016603501172
2015,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.90368478657424
2016,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.82363702890596
2017,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.81804895871392
2000,Percentage of total population,,,,,,100.0
2000,Percentage of total population,,,16 to 17,,,2.45714160047882
2000,Percentage of total population,,,16 to 17,Male,,1.25711575395639
2000,Percentage of total population,,,16 to 17,Female,,1.20002584652243
2000,Percentage of total population,,,18 to 24,,,8.38346899219705
2000,Percentage of total population,,,18 to 24,Male,,4.20792423470646
2000,Percentage of total population,,,18 to 24,Female,,4.17554475749058
2000,Percentage of total population,,,25 to 34,,,14.6822766982307
2000,Percentage of total population,,,25 to 34,Male,,7.28948011723996
2000,Percentage of total population,,,25 to 34,Female,,7.39279658099076
2000,Percentage of total population,,,35 to 49,,,21.0810605191567
2000,Percentage of total population,,,35 to 49,Male,,10.44501445291
2000,Percentage of total population,,,35 to 49,Female,,10.6360460662467
2000,Percentage of total population,,,50 to 64,,,17.2801239138665
2000,Percentage of total population,,,50 to 64,Male,,8.53181138865366
2000,Percentage of total population,,,50 to 64,Female,,8.74831252521288
2000,Percentage of total population,,,65 and over,,,15.8064509829277
2000,Percentage of total population,,,65 and over,Male,,6.58489746258304
2000,Percentage of total population,,,65 and over,Female,,9.22155352034475
2000,Percentage of total population,Great Britain,,,,K03000001,97.1420335184563
2000,Percentage of total population,England,,,,E92000001,83.6077448883704
2000,Percentage of total population,England,North East,,,E12000001,4.3192239114636
2000,Percentage of total population,England,North West,,,E12000002,11.503949194092
2000,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.42068322955524
2000,Percentage of total population,England,East Midlands,,,E12000004,7.07820432559044
2000,Percentage of total population,England,West Midlands,,,E12000005,8.94885063214871
2000,Percentage of total population,England,East of England,,,E12000006,9.12774864477699
2000,Percentage of total population,England,London,,,E12000007,12.2893455353146
2000,Percentage of total population,England,South East,,,E12000008,13.5695907002785
2000,Percentage of total population,England,South West,,,E12000009,8.35014871515018
2000,Percentage of total population,Wales,,,,W92000004,4.93643105546278
2000,Percentage of total population,Scotland,,,,S92000003,8.59785757462312
2000,Percentage of total population,Northern Ireland,,,,N92000002,2.85796648154363
2001,Percentage of total population,,,,,,100.0
2001,Percentage of total population,,,16 to 17,,,2.52713378725254
2001,Percentage of total population,,,16 to 17,Male,,1.29848559917836
2001,Percentage of total population,,,16 to 17,Female,,1.22864818807417
2001,Percentage of total population,,,18 to 24,,,8.47447032646752
2001,Percentage of total population,,,18 to 24,Male,,4.25636377612673
2001,Percentage of total population,,,18 to 24,Female,,4.21810655034079
2001,Percentage of total population,,,25 to 34,,,14.3360897031543
2001,Percentage of total population,,,25 to 34,Male,,7.13007605634603
2001,Percentage of total population,,,25 to 34,Female,,7.20601364680834
2001,Percentage of total population,,,35 to 49,,,21.318335373042
2001,Percentage of total population,,,35 to 49,Male,,10.5645057934448
2001,Percentage of total population,,,35 to 49,Female,,10.7538295795971
2001,Percentage of total population,,,50 to 64,,,17.4196136431272
2001,Percentage of total population,,,50 to 64,Male,,8.59866294083184
2001,Percentage of total population,,,50 to 64,Female,,8.82095070229541
2001,Percentage of total population,,,65 and over,,,15.8557939253175
2001,Percentage of total population,,,65 and over,Male,,6.64561929981715
2001,Percentage of total population,,,65 and over,Female,,9.21017462550041
2001,Percentage of total population,Great Britain,,,,K03000001,97.1430353003812
2001,Percentage of total population,England,,,,E92000001,83.6528895768065
2001,Percentage of total population,England,North East,,,E12000001,4.29700626339214
2001,Percentage of total population,England,North West,,,E12000002,11.4576881003669
2001,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.41886159217455
2001,Percentage of total population,England,East Midlands,,,E12000004,7.08747799300242
2001,Percentage of total population,England,West Midlands,,,E12000005,8.93327283453106
2001,Percentage of total population,England,East of England,,,E12000006,9.13582720935775
2001,Percentage of total population,England,London,,,E12000007,12.387124690102
2001,Percentage of total population,England,South East,,,E12000008,13.5730665476449
2001,Percentage of total population,England,South West,,,E12000009,8.36256434623467
2001,Percentage of total population,Wales,,,,W92000004,4.92316616022434
2001,Percentage of total population,Scotland,,,,S92000003,8.56697956335031
2001,Percentage of total population,Northern Ireland,,,,N92000002,2.85696469961877
2002,Percentage of total population,,,,,,100.0
2002,Percentage of total population,,,16 to 17,,,2.5573952437197
2002,Percentage of total population,,,16 to 17,Male,,1.31373049110515
2002,Percentage of total population,,,16 to 17,Female,,1.24366475261454
2002,Percentage of total population,,,18 to 24,,,8.6394079191584
2002,Percentage of total population,,,18 to 24,Male,,4.34710784145525
2002,Percentage of total population,,,18 to 24,Female,,4.29230007770314
2002,Percentage of total population,,,25 to 34,,,13.9412745179339
2002,Percentage of total population,,,25 to 34,Male,,6.93643062471939
2002,Percentage of total population,,,25 to 34,Female,,7.00484389321459
2002,Percentage of total population,,,35 to 49,,,21.5765988822126
2002,Percentage of total population,,,35 to 49,Male,,10.69349213351
2002,Percentage of total population,,,35 to 49,Female,,10.8831067487026
2002,Percentage of total population,,,50 to 64,,,17.5253303352373
2002,Percentage of total population,,,50 to 64,Male,,8.64505091047811
2002,Percentage of total population,,,50 to 64,Female,,8.88027942475919
2002,Percentage of total population,,,65 and over,,,15.8843029786386
2002,Percentage of total population,,,65 and over,Male,,6.69528623416524
2002,Percentage of total population,,,65 and over,Female,,9.18901674447341
2002,Percentage of total population,Great Britain,,,,K03000001,97.1405463800236
2002,Percentage of total population,England,,,,E92000001,83.6834843136716
2002,Percentage of total population,England,North East,,,E12000001,4.27957723787096
2002,Percentage of total population,England,North West,,,E12000002,11.4289608791962
2002,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.42256208077943
2002,Percentage of total population,England,East Midlands,,,E12000004,7.11143747253147
2002,Percentage of total population,England,West Midlands,,,E12000005,8.92981141274612
2002,Percentage of total population,England,East of England,,,E12000006,9.15122723185654
2002,Percentage of total population,England,London,,,E12000007,12.4258180362366
2002,Percentage of total population,England,South East,,,E12000008,13.5519249616238
2002,Percentage of total population,England,South West,,,E12000009,8.38216500083036
2002,Percentage of total population,Wales,,,,W92000004,4.92351161092629
2002,Percentage of total population,Scotland,,,,S92000003,8.53355045542561
2002,Percentage of total population,Northern Ireland,,,,N92000002,2.8594536199764
2003,Percentage of total population,,,,,,100.0
2003,Percentage of total population,,,16 to 17,,,2.55649117316458
2003,Percentage of total population,,,16 to 17,Male,,1.30403173806072
2003,Percentage of total population,,,16 to 17,Female,,1.25245943510386
2003,Percentage of total population,,,18 to 24,,,8.82988219561986
2003,Percentage of total population,,,18 to 24,Male,,4.44771707712279
2003,Percentage of total population,,,18 to 24,Female,,4.38216511849707
2003,Percentage of total population,,,25 to 34,,,13.6050304089789
2003,Percentage of total population,,,25 to 34,Male,,6.7697283258409
2003,Percentage of total population,,,25 to 34,Female,,6.83530208313805
2003,Percentage of total population,,,35 to 49,,,21.7763630030131
2003,Percentage of total population,,,35 to 49,Male,,10.7982888110001
2003,Percentage of total population,,,35 to 49,Female,,10.9780741920129
2003,Percentage of total population,,,50 to 64,,,17.603419856061
2003,Percentage of total population,,,50 to 64,Male,,8.68252653040842
2003,Percentage of total population,,,50 to 64,Female,,8.9208933256526
2003,Percentage of total population,,,65 and over,,,15.9121397505447
2003,Percentage of total population,,,65 and over,Male,,6.74407296639104
2003,Percentage of total population,,,65 and over,Female,,9.16806678415368
2003,Percentage of total population,Great Britain,,,,K03000001,97.1411478395622
2003,Percentage of total population,England,,,,E92000001,83.7161493042652
2003,Percentage of total population,England,North East,,,E12000001,4.25989804727836
2003,Percentage of total population,England,North West,,,E12000002,11.4269641718042
2003,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.42822825999215
2003,Percentage of total population,England,East Midlands,,,E12000004,7.13500698613882
2003,Percentage of total population,England,West Midlands,,,E12000005,8.92986767099741
2003,Percentage of total population,England,East of England,,,E12000006,9.1791405092391
2003,Percentage of total population,England,London,,,E12000007,12.3997835425463
2003,Percentage of total population,England,South East,,,E12000008,13.5619998315801
2003,Percentage of total population,England,South West,,,E12000009,8.39526028468863
2003,Percentage of total population,Wales,,,,W92000004,4.92603190970011
2003,Percentage of total population,Scotland,,,,S92000003,8.49896662559685
2003,Percentage of total population,Northern Ireland,,,,N92000002,2.85885216043781
2004,Percentage of total population,,,,,,100.0
2004,Percentage of total population,,,16 to 17,,,2.58483835060617
2004,Percentage of total population,,,16 to 17,Male,,1.31093449240775
2004,Percentage of total population,,,16 to 17,Female,,1.27390385819842
2004,Percentage of total population,,,18 to 24,,,8.98817561808298
2004,Percentage of total population,,,18 to 24,Male,,4.53687654006571
2004,Percentage of total population,,,18 to 24,Female,,4.45129907801727
2004,Percentage of total population,,,25 to 34,,,13.357441833047
2004,Percentage of total population,,,25 to 34,Male,,6.64541586436406
2004,Percentage of total population,,,25 to 34,Female,,6.71202596868302
2004,Percentage of total population,,,35 to 49,,,21.927584960118
2004,Percentage of total population,,,35 to 49,Male,,10.8636921704095
2004,Percentage of total population,,,35 to 49,Female,,11.0638927897085
2004,Percentage of total population,,,50 to 64,,,17.6778526315536
2004,Percentage of total population,,,50 to 64,Male,,8.71810386338938
2004,Percentage of total population,,,50 to 64,Female,,8.95974876816427
2004,Percentage of total population,,,65 and over,,,15.929166001394
2004,Percentage of total population,,,65 and over,Male,,6.78841583013574
2004,Percentage of total population,,,65 and over,Female,,9.14075017125834
2004,Percentage of total population,Great Britain,,,,K03000001,97.1408980936295
2004,Percentage of total population,England,,,,E92000001,83.7269311659225
2004,Percentage of total population,England,North East,,,E12000001,4.23767568784069
2004,Percentage of total population,England,North West,,,E12000002,11.4100541574693
2004,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.44565180621755
2004,Percentage of total population,England,East Midlands,,,E12000004,7.15838189072546
2004,Percentage of total population,England,West Midlands,,,E12000005,8.91800423430289
2004,Percentage of total population,England,East of England,,,E12000006,9.18854137399399
2004,Percentage of total population,England,London,,,E12000007,12.3981399012022
2004,Percentage of total population,England,South East,,,E12000008,13.566389688643
2004,Percentage of total population,England,South West,,,E12000009,8.40409242552722
2004,Percentage of total population,Wales,,,,W92000004,4.93311767047819
2004,Percentage of total population,Scotland,,,,S92000003,8.48084925722886
2004,Percentage of total population,Northern Ireland,,,,N92000002,2.85910190637041
2005,Percentage of total population,,,,,,100.0
2005,Percentage of total population,,,16 to 17,,,2.58798910358709
2005,Percentage of total population,,,16 to 17,Male,,1.31371952085498
2005,Percentage of total population,,,16 to 17,Female,,1.27426958273211
2005,Percentage of total population,,,18 to 24,,,9.095790468307
2005,Percentage of total population,,,18 to 24,Male,,4.57021565922033
2005,Percentage of total population,,,18 to 24,Female,,4.52557480908666
2005,Percentage of total population,,,25 to 34,,,13.2957298988387
2005,Percentage of total population,,,25 to 34,Male,,6.60918139913485
2005,Percentage of total population,,,25 to 34,Female,,6.68654849970394
2005,Percentage of total population,,,35 to 49,,,22.0375501570217
2005,Percentage of total population,,,35 to 49,Male,,10.9280516421589
2005,Percentage of total population,,,35 to 49,Female,,11.1094985148628
2005,Percentage of total population,,,50 to 64,,,17.7223628793114
2005,Percentage of total population,,,50 to 64,Male,,8.74798777672642
2005,Percentage of total population,,,50 to 64,Female,,8.97437510258507
2005,Percentage of total population,,,65 and over,,,15.9152898776752
2005,Percentage of total population,,,65 and over,Male,,6.81981722030766
2005,Percentage of total population,,,65 and over,Female,,9.09547265736756
2005,Percentage of total population,Great Britain,,,,K03000001,97.1401435009086
2005,Percentage of total population,England,,,,E92000001,83.7664125348872
2005,Percentage of total population,England,North East,,,E12000001,4.21617096215739
2005,Percentage of total population,England,North West,,,E12000002,11.3717074372858
2005,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.45577054950636
2005,Percentage of total population,England,East Midlands,,,E12000004,7.16582891482329
2005,Percentage of total population,England,West Midlands,,,E12000005,8.90646453272952
2005,Percentage of total population,England,East of England,,,E12000006,9.2076665400499
2005,Percentage of total population,England,London,,,E12000007,12.44595476001
2005,Percentage of total population,England,South East,,,E12000008,13.5779691867727
2005,Percentage of total population,England,South West,,,E12000009,8.41887965155208
2005,Percentage of total population,Wales,,,,W92000004,4.91499418108033
2005,Percentage of total population,Scotland,,,,S92000003,8.45873678494111
2005,Percentage of total population,Northern Ireland,,,,N92000002,2.85985649909135
2006,Percentage of total population,,,,,,100.0
2006,Percentage of total population,,,16 to 17,,,2.57216906414376
2006,Percentage of total population,,,16 to 17,Male,,1.31623969309583
2006,Percentage of total population,,,16 to 17,Female,,1.25592937104792
2006,Percentage of total population,,,18 to 24,,,9.19056149789369
2006,Percentage of total population,,,18 to 24,Male,,4.60968141041553
2006,Percentage of total population,,,18 to 24,Female,,4.58088008747816
2006,Percentage of total population,,,25 to 34,,,13.1978318139192
2006,Percentage of total population,,,25 to 34,Male,,6.56236967664411
2006,Percentage of total population,,,25 to 34,Female,,6.63546213727517
2006,Percentage of total population,,,35 to 49,,,22.1216633706833
2006,Percentage of total population,,,35 to 49,Male,,10.9659010847917
2006,Percentage of total population,,,35 to 49,Female,,11.1557622858915
2006,Percentage of total population,,,50 to 64,,,17.8590297638385
2006,Percentage of total population,,,50 to 64,Male,,8.81470415136077
2006,Percentage of total population,,,50 to 64,Female,,9.04432561247775
2006,Percentage of total population,,,65 and over,,,15.8716398408622
2006,Percentage of total population,,,65 and over,Male,,6.83703358572262
2006,Percentage of total population,,,65 and over,Female,,9.03460625513967
2006,Percentage of total population,Great Britain,,,,K03000001,97.1343135778682
2006,Percentage of total population,England,,,,E92000001,83.7870186967916
2006,Percentage of total population,England,North East,,,E12000001,4.19643445902134
2006,Percentage of total population,England,North West,,,E12000002,11.3462399888523
2006,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.44034778135858
2006,Percentage of total population,England,East Midlands,,,E12000004,7.1788370134631
2006,Percentage of total population,England,West Midlands,,,E12000005,8.90314339831641
2006,Percentage of total population,England,East of England,,,E12000006,9.21677515702014
2006,Percentage of total population,England,London,,,E12000007,12.4908620039167
2006,Percentage of total population,England,South East,,,E12000008,13.5973365278322
2006,Percentage of total population,England,South West,,,E12000009,8.41704236701072
2006,Percentage of total population,Wales,,,,W92000004,4.90845300826357
2006,Percentage of total population,Scotland,,,,S92000003,8.43884187281297
2006,Percentage of total population,Northern Ireland,,,,N92000002,2.86568642213177
2007,Percentage of total population,,,,,,100.0
2007,Percentage of total population,,,16 to 17,,,2.60726046503473
2007,Percentage of total population,,,16 to 17,Male,,1.33769467331332
2007,Percentage of total population,,,16 to 17,Female,,1.26956579172141
2007,Percentage of total population,,,18 to 24,,,9.27474688748974
2007,Percentage of total population,,,18 to 24,Male,,4.66589719430699
2007,Percentage of total population,,,18 to 24,Female,,4.60884969318275
2007,Percentage of total population,,,25 to 34,,,13.1268875142033
2007,Percentage of total population,,,25 to 34,Male,,6.53411846150647
2007,Percentage of total population,,,25 to 34,Female,,6.59276905269689
2007,Percentage of total population,,,35 to 49,,,22.1150139658825
2007,Percentage of total population,,,35 to 49,Male,,10.9529391955113
2007,Percentage of total population,,,35 to 49,Female,,11.1620747703712
2007,Percentage of total population,,,50 to 64,,,17.9435991165881
2007,Percentage of total population,,,50 to 64,Male,,8.85067819434654
2007,Percentage of total population,,,50 to 64,Female,,9.09292092224157
2007,Percentage of total population,,,65 and over,,,15.8889790819577
2007,Percentage of total population,,,65 and over,Male,,6.88217165702515
2007,Percentage of total population,,,65 and over,Female,,9.00680742493261
2007,Percentage of total population,Great Britain,,,,K03000001,97.1270228717572
2007,Percentage of total population,England,,,,E92000001,83.7930007913524
2007,Percentage of total population,England,North East,,,E12000001,4.17821860489578
2007,Percentage of total population,England,North West,,,E12000002,11.3003612660497
2007,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.4217480449599
2007,Percentage of total population,England,East Midlands,,,E12000004,7.18336667668258
2007,Percentage of total population,England,West Midlands,,,E12000005,8.89107345471209
2007,Percentage of total population,England,East of England,,,E12000006,9.21986184560025
2007,Percentage of total population,England,London,,,E12000007,12.546622727104
2007,Percentage of total population,England,South East,,,E12000008,13.6195645482258
2007,Percentage of total population,England,South West,,,E12000009,8.43218362312217
2007,Percentage of total population,Wales,,,,W92000004,4.90271420434832
2007,Percentage of total population,Scotland,,,,S92000003,8.43130787605651
2007,Percentage of total population,Northern Ireland,,,,N92000002,2.87297712824272
2008,Percentage of total population,,,,,,100.0
2008,Percentage of total population,,,16 to 17,,,2.60836398012078
2008,Percentage of total population,,,16 to 17,Male,,1.32879469081892
2008,Percentage of total population,,,16 to 17,Female,,1.27956928930185
2008,Percentage of total population,,,18 to 24,,,9.30099347545471
2008,Percentage of total population,,,18 to 24,Male,,4.6705335287533
2008,Percentage of total population,,,18 to 24,Female,,4.6304599467014
2008,Percentage of total population,,,25 to 34,,,13.1521124269156
2008,Percentage of total population,,,25 to 34,Male,,6.56294313455995
2008,Percentage of total population,,,25 to 34,Female,,6.58916929235569
2008,Percentage of total population,,,35 to 49,,,21.986558827242
2008,Percentage of total population,,,35 to 49,Male,,10.8909886637133
2008,Percentage of total population,,,35 to 49,Female,,11.0955701635286
2008,Percentage of total population,,,50 to 64,,,18.0050029946409
2008,Percentage of total population,,,50 to 64,Male,,8.8870006184676
2008,Percentage of total population,,,50 to 64,Female,,9.11800237617336
2008,Percentage of total population,,,65 and over,,,16.0029510978398
2008,Percentage of total population,,,65 and over,Male,,6.97353438738742
2008,Percentage of total population,,,65 and over,Female,,9.02941671045241
2008,Percentage of total population,Great Britain,,,,K03000001,97.1222202359312
2008,Percentage of total population,England,,,,E92000001,83.8121831194641
2008,Percentage of total population,England,North East,,,E12000001,4.15586418764613
2008,Percentage of total population,England,North West,,,E12000002,11.2554552640366
2008,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.40886091518324
2008,Percentage of total population,England,East Midlands,,,E12000004,7.18352319234096
2008,Percentage of total population,England,West Midlands,,,E12000005,8.89017253751518
2008,Percentage of total population,England,East of England,,,E12000006,9.23326062990785
2008,Percentage of total population,England,London,,,E12000007,12.6361765826905
2008,Percentage of total population,England,South East,,,E12000008,13.629707032434
2008,Percentage of total population,England,South West,,,E12000009,8.41916277770952
2008,Percentage of total population,Wales,,,,W92000004,4.89434226044958
2008,Percentage of total population,Scotland,,,,S92000003,8.41569485601751
2008,Percentage of total population,Northern Ireland,,,,N92000002,2.87777976406874
2009,Percentage of total population,,,,,,100.0
2009,Percentage of total population,,,16 to 17,,,2.55387662730419
2009,Percentage of total population,,,16 to 17,Male,,1.29838851563092
2009,Percentage of total population,,,16 to 17,Female,,1.25548811167326
2009,Percentage of total population,,,18 to 24,,,9.30758876504754
2009,Percentage of total population,,,18 to 24,Male,,4.66898057943203
2009,Percentage of total population,,,18 to 24,Female,,4.63860818561551
2009,Percentage of total population,,,25 to 34,,,13.1843156508608
2009,Percentage of total population,,,25 to 34,Male,,6.58210409729214
2009,Percentage of total population,,,25 to 34,Female,,6.60221155356866
2009,Percentage of total population,,,35 to 49,,,21.8205171093588
2009,Percentage of total population,,,35 to 49,Male,,10.8047951954631
2009,Percentage of total population,,,35 to 49,Female,,11.0157219138957
2009,Percentage of total population,,,50 to 64,,,18.067424015932
2009,Percentage of total population,,,50 to 64,Male,,8.91878518262771
2009,Percentage of total population,,,50 to 64,Female,,9.14863883330432
2009,Percentage of total population,,,65 and over,,,16.1768862517391
2009,Percentage of total population,,,65 and over,Male,,7.09346856046064
2009,Percentage of total population,,,65 and over,Female,,9.08341769127854
2009,Percentage of total population,Great Britain,,,,K03000001,97.1196289730215
2009,Percentage of total population,England,,,,E92000001,83.8354859613527
2009,Percentage of total population,England,North East,,,E12000001,4.1365578161404
2009,Percentage of total population,England,North West,,,E12000002,11.2208504122502
2009,Percentage of total population,England,Yorkshire and The Humber,,,E12000003,8.38950084649194
2009,Percentage of total population,England,East Midlands,,,E12000004,7.18216847841502
2009,Percentage of total population,England,West Midlands,,,E12000005,8.87883689182895
2009,Percentage of total population,England,East of England,,,E12000006,9.2377097730975
2009,Percentage of total population,England,London,,,E12000007,12.7570382280665
2009,Percentage of total population,England,South East,,,E12000008,13.6377380671265
2009,Percentage of total population,England,South West,,,E12000009,8.39508544793563
2009,Percentage of total population,Wales,,,,W92000004,4.88089990174506
2009,Percentage of total population,Scotland,,,,S92000003,8.40324310992368
2009,Percentage of total population,Northern Ireland,,,,N92000002,2.88037102697849
2010,Percentage of total population,,,,,,100.0
2010,Percentage of total population,,,16 to 17,,,2.50914858153008
2010,Percentage of total population,,,16 to 17,Male,,1.28509240105586
2010,Percentage of total population,,,16 to 17,Female,,1.22405618047422
2010,Percentage of total population,,,18 to 24,,,9.35209827185245
2010,Percentage of total population,,,18 to 24,Male,,4.71051884197339
2010,Percentage of total population,,,18 to 24,Female,,4.64157942987906
2010,Percentage of total population,,,25 to 34,,,13.2599795001409
2010,Percentage of total population,,,25 to 34,Male,,6.60799067474389
2010,Percentage of total population,,,25 to 34,Female,,6.65198882539708
2010,Percentage of total population,,,35 to 49,,,21.5669045952214
2010,Percentage of total population,,,35 to 49,Male,,10.6758238949681
2010,Percentage of total population,,,35 to 49,Female,,10.8910807002533
2010,Percentage of total population,,,50 to 64,,,18.1358678443611
2010,Percentage of total population,,,50 to 64,Male,,8.95410725038789
2010,Percentage of total population,,,50 to 64,Female,,9.18176059397328
2010,Percentage of total population,,,65 and over,,,16.3524792184304
2010,Percentage of total population,,,65 and over,Male,,7.21305009399699
2010,Percentage of total population,,,65 and over,Female,,9.13942912443345
2010,Percentage of total population,Great Britain,,,,K03000001,97.1242054743113
2010,Percentage of total population,England,,,,E92000001,83.8797136801185
