Year,Tourism sector,Tourism subsector (upper),Tourism subsector (middle),Tourism subsector (lower),Value
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,103.3
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,8.2
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,148.6
2015,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,266.1
2015,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,164.1
2015,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,102
2015,food and beverage serving activities,,,,1534.1
2015,food and beverage serving activities,Restaurants and mobile food service activities,,,901.4
2015,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,430.9
2015,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,284.5
2015,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,186
2015,food and beverage serving activities,Other food services activities,,,112.1
2015,food and beverage serving activities,Beverage serving activities,,,520.6
2015,food and beverage serving activities,Beverage serving activities,Licensed clubs,,87.3
2015,food and beverage serving activities,Beverage serving activities,Public houses and bars,,433.3
2015,Railway passenger transport,,,,68.7
2015,Railway passenger transport,Passenger rail transport; interurban,,,49.3
2015,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,19.4
2015,Road passenger transport,,,,222.4
2015,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,119.2
2015,Road passenger transport,Taxi operation,,,39.7
2015,Road passenger transport,Other passenger land transport,,,63.5
2015,Water passenger transport,,,,10.1
2015,Water passenger transport,Sea and coastal passenger water transport,,,8.1
2015,Water passenger transport,Inland passenger water transport,,,2
2015,Air passenger transport,,,,72.7
2015,Air passenger transport,Scheduled passenger air transport,,,58.7
2015,Air passenger transport,Non-scheduled passenger air transport,,,14
2015,Renting and leasing of motor vehicles,,,,39.8
2015,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,31.7
2015,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,8.1
2015,Travel agencies and other reservation service activities,,,,87.7
2015,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,87
2015,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,58.9
2015,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,28.1
2015,Travel agencies and other reservation service activities,Activities of tourist guides,,,0.7
2015,Cultural activities,,,,158.3
2015,Cultural activities,Creative; arts and entertainment activities,,,95.4
2015,Cultural activities,Creative; arts and entertainment activities,Performing arts,,45
2015,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,7.5
2015,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,26.4
2015,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,16.5
2015,Cultural activities,Museums activities,,,28.5
2015,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,13.9
2015,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,20.5
2015,Sport and recreational activities,,,,359.5
2015,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,12.3
2015,Sport and recreational activities,Gambling and betting activities,,,92.6
2015,Sport and recreational activities,Operation of sports facilities,,,145.4
2015,Sport and recreational activities,Activities of racehorse owners,,,1.1
2015,Sport and recreational activities,Other sports activities,,,35.3
2015,Sport and recreational activities,Amusement and recreation activities,,,72.8
2015,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,17.3
2015,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,55.5
2016,,,,,3709
2016,Accommodation,,,,1006.3
2016,Accommodation,Accommodation,,,476.3
2016,Accommodation,Accommodation,Hotels and similar accommodation,,384.8
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,,44.3
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,25.8
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.7
2016,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,15.8
2016,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,37.7
2016,Accommodation,Accommodation,Other accommodation,,9.6
2016,Accommodation,Real estate activities,,,530
2016,Accommodation,Real estate activities,Buying and selling of own real estate,,10
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,264.5
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,104.8
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,8.6
2016,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,151.1
2016,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,255.5
2016,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,158.1
2016,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,97.3
2016,food and beverage serving activities,,,,1633.4
2016,food and beverage serving activities,Restaurants and mobile food service activities,,,967.6
2016,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,456.8
2016,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,309.6
2016,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,201.2
2016,food and beverage serving activities,Other food services activities,,,127.4
2016,food and beverage serving activities,Beverage serving activities,,,538.4
2016,food and beverage serving activities,Beverage serving activities,Licensed clubs,,87
2016,food and beverage serving activities,Beverage serving activities,Public houses and bars,,451.4
2016,Railway passenger transport,,,,69.7
2016,Railway passenger transport,Passenger rail transport; interurban,,,50.3
2016,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,19.4
2016,Road passenger transport,,,,237.8
2016,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,119.6
2016,Road passenger transport,Taxi operation,,,49.1
2016,Road passenger transport,Other passenger land transport,,,69.1
2016,Water passenger transport,,,,7.7
2016,Water passenger transport,Sea and coastal passenger water transport,,,6.3
2016,Water passenger transport,Inland passenger water transport,,,1.4
2016,Air passenger transport,,,,73.6
2016,Air passenger transport,Scheduled passenger air transport,,,60.5
2016,Air passenger transport,Non-scheduled passenger air transport,,,13.1
2016,Renting and leasing of motor vehicles,,,,41.7
2016,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,33.9
2016,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,7.8
2016,Travel agencies and other reservation service activities,,,,89.5
2016,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,88.4
2016,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,59.7
2016,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,28.7
2016,Travel agencies and other reservation service activities,Activities of tourist guides,,,1.1
2016,Cultural activities,,,,175.5
2016,Cultural activities,Creative; arts and entertainment activities,,,102
2016,Cultural activities,Creative; arts and entertainment activities,Performing arts,,47.8
2016,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,8.6
2016,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,27.6
2016,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,18
2016,Cultural activities,Museums activities,,,31.5
2016,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,16.3
2016,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,25.7
2016,Sport and recreational activities,,,,373.8
2016,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,8
2016,Sport and recreational activities,Gambling and betting activities,,,92.7
2016,Sport and recreational activities,Operation of sports facilities,,,162.7
2016,Sport and recreational activities,Activities of racehorse owners,,,1.3
2016,Sport and recreational activities,Other sports activities,,,40.9
2016,Sport and recreational activities,Amusement and recreation activities,,,68.2
2016,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,17.3
2016,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,50.9
