Year,Units,Employment status,Industry,Sex,Age group,Value
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.45
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,16 to 19,0.39
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,20 to 24,0.33
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,25 to 34,0.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,35 to 44,0.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,45 to 54,0.52
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,55 to 59,0.78
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,60 to 64,0.79
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,65+,0.95
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,,0.88
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,16 to 19,0.82
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,20 to 24,0.65
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,25 to 34,0.59
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,35 to 44,0.62
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,45 to 54,1.01
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,55 to 59,1.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,60 to 64,1.4
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Male,65+,1.8
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Female,,0.02
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Female,45 to 54,0.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,Female,55 to 59,0.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,8.55
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,16 to 19,15.89
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,20 to 24,7.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,25 to 34,23.38
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,45 to 54,5.45
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,55 to 59,9.41
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",Male,,12.51
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",Male,20 to 24,9.6
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",Male,25 to 34,37.07
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",Male,45 to 54,8.44
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,11.11
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,25 to 34,4.84
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,35 to 44,7.86
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,45 to 54,16.87
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,Male,,12.84
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,Male,25 to 34,5.98
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,Male,35 to 44,9.18
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,Male,45 to 54,18.95
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.03
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,16 to 19,1.95
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,20 to 24,0.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,25 to 34,0.17
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,35 to 44,1.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,45 to 54,1.57
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,55 to 59,1.7
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,60 to 64,1.22
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,,1.36
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,16 to 19,2.48
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,20 to 24,0.72
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,25 to 34,0.24
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,35 to 44,1.38
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,45 to 54,2.03
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,55 to 59,2.23
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,Male,60 to 64,1.5
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,,1.86
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,25 to 34,4.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",,55 to 59,4.98
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,,1.68
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Male,25 to 34,5.29
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Water supply; sewerage, waste management and remediation activities",Female,,2.72
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,1.92
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,16 to 19,2.11
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,20 to 24,3.47
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,25 to 34,1.29
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,35 to 44,0.34
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,45 to 54,1.61
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,55 to 59,5.17
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,60 to 64,5.12
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,,2.3
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,16 to 19,2.23
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,20 to 24,3.92
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,25 to 34,1.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,35 to 44,0.43
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,45 to 54,1.96
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,55 to 59,6.4
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,Male,60 to 64,6.1
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,0.18
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,0.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,0.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,45 to 54,0.34
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,0.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,60 to 64,0.5
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,0.33
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,0.17
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,0.42
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,45 to 54,0.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,0.8
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,60 to 64,1.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,,0.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,45 to 54,0.2
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,,0.67
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,20 to 24,1.22
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,35 to 44,0.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,45 to 54,0.94
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,55 to 59,0.85
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,,65+,3.47
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,,0.85
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,20 to 24,1.79
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,35 to 44,0.4
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,45 to 54,1.16
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,55 to 59,1.03
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Transportation and storage,Male,65+,4.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,0.25
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,0.07
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,0.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,0.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,55 to 59,0.66
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,60 to 64,0.52
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,65+,2.12
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,0.41
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,25 to 34,0.13
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,0.55
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,45 to 54,0.18
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,55 to 59,1.15
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,60 to 64,0.87
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,65+,3.52
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Female,,0.05
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Female,45 to 54,0.24
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,,0.05
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,25 to 34,0.11
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,,35 to 44,0.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,,0.16
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,25 to 34,0.36
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Public administration and defence; compulsory social security; education; human health and social work activities,Male,35 to 44,0.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,,0.16
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,45 to 54,0.44
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,,0.35
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,45 to 54,0.99
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,16 to 19,3.64
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,25 to 34,0.58
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,35 to 44,1.03
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,45 to 54,0.92
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,55 to 59,1.46
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,60 to 64,1.25
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,65+,5.39
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,,1.85
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,16 to 19,5.68
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,25 to 34,0.84
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,35 to 44,1.55
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,45 to 54,1.38
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,55 to 59,1.8
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,60 to 64,1.74
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Male,65+,6.93
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Female,,0.15
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Female,55 to 59,0.68
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,Female,65+,1.13
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,11.59
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,25 to 34,5.69
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,35 to 44,9.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,55 to 59,8.51
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,60 to 64,20.58
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,65+,24.88
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,,14.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,25 to 34,6.42
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,35 to 44,11.68
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,55 to 59,5.43
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,60 to 64,32.05
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Male,65+,33.35
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",Female,,2.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.58
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,25 to 34,4
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,35 to 44,2.22
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,45 to 54,1.81
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,,2.07
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,25 to 34,5.62
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,35 to 44,3.16
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,Male,45 to 54,2.35
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Water supply; sewerage, waste management and remediation activities",,,19.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.79
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,25 to 34,0.59
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,35 to 44,1.82
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,45 to 54,4.82
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,55 to 59,3.78
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,65+,17.57
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,,2.88
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,25 to 34,0.59
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,35 to 44,1.88
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,45 to 54,5.05
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,55 to 59,3.97
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,Male,65+,19.3
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,0.7
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,1.26
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,0.74
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,1.54
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,65+,2.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,1.08
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,2.07
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,1.14
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,2.3
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,65+,3.1
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,,,0.4
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Transportation and storage,,65+,6.04
