Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2012,Multilateral,,,,,Sub Saharan Africa,Burkina Faso,,44429.65
2012,Multilateral,,,,,Sub Saharan Africa,Burundi,,24653.36
2012,Multilateral,,,,,Sub Saharan Africa,Cameroon,,27414.38
2012,Multilateral,,,,,Sub Saharan Africa,Cape Verde,,2175.67
2012,Multilateral,,,,,Sub Saharan Africa,Central African Republic,,11769.59
2012,Multilateral,,,,,Sub Saharan Africa,Chad,,12434.71
2012,Multilateral,,,,,Sub Saharan Africa,Comoros,,3899.45
2012,Multilateral,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,87541.15
2012,Multilateral,,,,,Sub Saharan Africa,"Congo, Republic",,7330.8
2012,Multilateral,,,,,Sub Saharan Africa,Ivory Coast,,45054.23
2012,Multilateral,,,,,Sub Saharan Africa,Djibouti,,2383.41
2012,Multilateral,,,,,Sub Saharan Africa,Equatorial Guinea,,-34.18
2012,Multilateral,,,,,Sub Saharan Africa,Eritrea,,4118.57
2012,Multilateral,,,,,Sub Saharan Africa,Ethiopia,,128056.27
2012,Multilateral,,,,,Sub Saharan Africa,Gabon,,616.21
2012,Multilateral,,,,,Sub Saharan Africa,Gambia,,6906.05
2012,Multilateral,,,,,Sub Saharan Africa,Ghana,,72225.34
2012,Multilateral,,,,,Sub Saharan Africa,Guinea,,33947.42
2012,Multilateral,,,,,Sub Saharan Africa,Guinea-Bissau,,3288.15
2012,Multilateral,,,,,Sub Saharan Africa,Kenya,,63417.1
2012,Multilateral,,,,,Sub Saharan Africa,Lesotho,,4499.39
2012,Multilateral,,,,,Sub Saharan Africa,Liberia,,14966.14
2012,Multilateral,,,,,Sub Saharan Africa,Madagascar,,13912.95
2012,Multilateral,,,,,Sub Saharan Africa,Malawi,,40078.1
2012,Multilateral,,,,,Sub Saharan Africa,Mali,,20013.09
2012,Multilateral,,,,,Sub Saharan Africa,Mauritania,,9782.74
2012,Multilateral,,,,,Sub Saharan Africa,Mauritius,,5964.72
2012,Multilateral,,,,,Sub Saharan Africa,Mayotte,,0
2012,Multilateral,,,,,Sub Saharan Africa,Mozambique,,49148.92
2012,Multilateral,,,,,Sub Saharan Africa,Namibia,,2970.18
2012,Multilateral,,,,,Sub Saharan Africa,Niger,,34483.38
2012,Multilateral,,,,,Sub Saharan Africa,Nigeria,,83568.67
2012,Multilateral,,,,,Sub Saharan Africa,Rwanda,,31434.83
2012,Multilateral,,,,,Sub Saharan Africa,Sao Tome and Principe,,1782.98
2012,Multilateral,,,,,Sub Saharan Africa,Senegal,,29808.15
2012,Multilateral,,,,,Sub Saharan Africa,Seychelles,,1032.16
2012,Multilateral,,,,,Sub Saharan Africa,Sierra Leone,,19196.69
2012,Multilateral,,,,,Sub Saharan Africa,Somalia,,14733.2
2012,Multilateral,,,,,Sub Saharan Africa,South Africa,,21788.27
2012,Multilateral,,,,,Sub Saharan Africa,South Sudan,,6895.21
2012,Multilateral,,,,,Sub Saharan Africa,St. Helena,,0
2012,Multilateral,,,,,Sub Saharan Africa,Sudan,,22458.61
2012,Multilateral,,,,,Sub Saharan Africa,Swaziland,,1697.44
2012,Multilateral,,,,,Sub Saharan Africa,Tanzania,,91910.67
2012,Multilateral,,,,,Sub Saharan Africa,Togo,,9885.95
2012,Multilateral,,,,,Sub Saharan Africa,Uganda,,53042.22
2012,Multilateral,,,,,Sub Saharan Africa,Zambia,,23201.17
2012,Multilateral,,,,,Sub Saharan Africa,Zimbabwe,,17198.81
2012,Multilateral,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,47003.72
2012,Multilateral,,,,,Middle East,,,116192.93
2012,Multilateral,,,,,Middle East,Iran,,1497.36
2012,Multilateral,,,,,Middle East,Iraq,,13203.55
2012,Multilateral,,,,,Middle East,Jordan,,19858.33
2012,Multilateral,,,,,Middle East,Lebanon,,10747.47
2012,Multilateral,,,,,Middle East,Oman,,0
2012,Multilateral,,,,,Middle East,Syria,,6275.49
2012,Multilateral,,,,,Middle East,West Bank and Gaza Strip,,48183.65
2012,Multilateral,,,,,Middle East,Yemen,,12742
2012,Multilateral,,,,,Middle East,Middle East (Country Unspecifed),,3685.09
2012,Multilateral,,,,,South and Central Asia,,,310729.7
2012,Multilateral,,,,,South and Central Asia,Afghanistan,,51431.46
2012,Multilateral,,,,,South and Central Asia,Armenia,,9415.64
2012,Multilateral,,,,,South and Central Asia,Azerbaijan,,5565.04
2012,Multilateral,,,,,South and Central Asia,Bangladesh,,69267.27
2012,Multilateral,,,,,South and Central Asia,Bhutan,,6096.9
2012,Multilateral,,,,,South and Central Asia,Burma,,10412.08
2012,Multilateral,,,,,South and Central Asia,Georgia,,22027.88
2012,Multilateral,,,,,South and Central Asia,India,,-2853.06
2012,Multilateral,,,,,South and Central Asia,Kazakhstan,,2295.1
2012,Multilateral,,,,,South and Central Asia,Kyrgyz Republic,,11812.39
2012,Multilateral,,,,,South and Central Asia,Maldives,,2033.04
2012,Multilateral,,,,,South and Central Asia,Nepal,,22310.23
2012,Multilateral,,,,,South and Central Asia,Pakistan,,63145.77
2012,Multilateral,,,,,South and Central Asia,Sri Lanka,,14265.7
2012,Multilateral,,,,,South and Central Asia,Tajikistan,,7466.27
2012,Multilateral,,,,,South and Central Asia,Turkmenistan,,571.29
2012,Multilateral,,,,,South and Central Asia,Uzbekistan,,10748.07
2012,Multilateral,,,,,South and Central Asia,Unspecified South Asia Region,,489.26
2012,Multilateral,,,,,South and Central Asia,Unspecified Central Asia Region,,1880.29
2012,Multilateral,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,2349.1
2012,Multilateral,,,,,Far East Asia,,,130448.48
2012,Multilateral,,,,,Far East Asia,Cambodia,,11613.49
2012,Multilateral,,,,,Far East Asia,China,,-52656.79
2012,Multilateral,,,,,Far East Asia,Indonesia,,6089.55
2012,Multilateral,,,,,Far East Asia,"Korea, Democratic Republic",,2163.56
2012,Multilateral,,,,,Far East Asia,Laos,,9113.83
2012,Multilateral,,,,,Far East Asia,Malaysia,,583.67
2012,Multilateral,,,,,Far East Asia,Mongolia,,5069.16
2012,Multilateral,,,,,Far East Asia,Philippines,,2032.89
2012,Multilateral,,,,,Far East Asia,Thailand,,3421.95
2012,Multilateral,,,,,Far East Asia,Timor-Leste,,4808.56
2012,Multilateral,,,,,Far East Asia,Vietnam,,136711.88
2012,Multilateral,,,,,Far East Asia,Far East Asia (Country Unspecifed),,1496.72
2012,Multilateral,,,,,Latin America and the Caribbean,,,84954.48
2012,Multilateral,,,,,Latin America and the Caribbean,Anguilla,,263.39
2012,Multilateral,,,,,Latin America and the Caribbean,Antigua and Barbuda,,91.89
2012,Multilateral,,,,,Latin America and the Caribbean,Barbados,,0
2012,Multilateral,,,,,Latin America and the Caribbean,Belize,,1584.12
2012,Multilateral,,,,,Latin America and the Caribbean,Costa Rica,,657.46
2012,Multilateral,,,,,Latin America and the Caribbean,Cuba,,1086.43
2012,Multilateral,,,,,Latin America and the Caribbean,Dominica,,1574.05
2012,Multilateral,,,,,Latin America and the Caribbean,Dominican Republic,,4785.41
2012,Multilateral,,,,,Latin America and the Caribbean,El Salvador,,1843.31
2012,Multilateral,,,,,Latin America and the Caribbean,Grenada,,1192.54
2012,Multilateral,,,,,Latin America and the Caribbean,Guatemala,,2907.48
2012,Multilateral,,,,,Latin America and the Caribbean,Haiti,,23301.81
2012,Multilateral,,,,,Latin America and the Caribbean,Honduras,,13707.1
2012,Multilateral,,,,,Latin America and the Caribbean,Jamaica,,4079.69
2012,Multilateral,,,,,Latin America and the Caribbean,Mexico,,3406.14
2012,Multilateral,,,,,Latin America and the Caribbean,Montserrat,,430.49
2012,Multilateral,,,,,Latin America and the Caribbean,Nicaragua,,10087.61
2012,Multilateral,,,,,Latin America and the Caribbean,Panama,,453.91
2012,Multilateral,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,1069.53
2012,Multilateral,,,,,Latin America and the Caribbean,St. Lucia,,1631.91
2012,Multilateral,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,601.59
2012,Multilateral,,,,,Latin America and the Caribbean,Trinidad and Tobago,,0
2012,Multilateral,,,,,Latin America and the Caribbean,"West Indies, regional",,4365.9
2012,Multilateral,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,5832.73
2012,Multilateral,,,,,South America,,,59349.41
2012,Multilateral,,,,,South America,Argentina,,7695.46
2012,Multilateral,,,,,South America,Bolivia,,10622.12
2012,Multilateral,,,,,South America,Brazil,,14749.84
2012,Multilateral,,,,,South America,Chile,,747.02
2012,Multilateral,,,,,South America,Colombia,,3980.78
2012,Multilateral,,,,,South America,Ecuador,,3498.56
2012,Multilateral,,,,,South America,Guyana,,4380.29
2012,Multilateral,,,,,South America,Paraguay,,1938.36
2012,Multilateral,,,,,South America,Peru,,3189.4
2012,Multilateral,,,,,South America,Suriname,,551.09
2012,Multilateral,,,,,South America,Uruguay,,556.03
2012,Multilateral,,,,,South America,Venezuela,,1022.11
2012,Multilateral,,,,,South America,South America (Country Unspecifed),,6418.36
2012,Multilateral,,,,,Europe,,,373183.77
2012,Multilateral,,,,,Europe,Albania,,10266.93
2012,Multilateral,,,,,Europe,Belarus,,2156.74
2012,Multilateral,,,,,Europe,Bosnia-Herzegovina,,21017.5
2012,Multilateral,,,,,Europe,Croatia,,0
2012,Multilateral,,,,,Europe,Kosovo,,15038.09
2012,Multilateral,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,2518.27
2012,Multilateral,,,,,Europe,Moldova,,21898.25
2012,Multilateral,,,,,Europe,Montenegro,,3782.81
2012,Multilateral,,,,,Europe,Serbia,,59369.92
2012,Multilateral,,,,,Europe,Turkey,,192552.08
2012,Multilateral,,,,,Europe,Ukraine,,19504.72
2012,Multilateral,,,,,Europe,Yugoslavia - Ex-states unspecified,,22.47
2012,Multilateral,,,,,Europe,Europe (Country Unspecifed),,25055.98
2012,Multilateral,,,,,Pacific countries,,,24570.41
2012,Multilateral,,,,,Pacific countries,Cook Islands,,133.12
2012,Multilateral,,,,,Pacific countries,Fiji,,946.83
2012,Multilateral,,,,,Pacific countries,Kiribati,,385.82
2012,Multilateral,,,,,Pacific countries,Marshall Islands,,-71.59
2012,Multilateral,,,,,Pacific countries,Micronesia,,28.19
2012,Multilateral,,,,,Pacific countries,Nauru,,173.37
2012,Multilateral,,,,,Pacific countries,Niue,,44.08
2012,Multilateral,,,,,Pacific countries,Palau,,3.72
2012,Multilateral,,,,,Pacific countries,Papua New Guinea,,7575.56
2012,Multilateral,,,,,Pacific countries,Samoa,,1767.92
2012,Multilateral,,,,,Pacific countries,Solomon Islands,,2345.32
2012,Multilateral,,,,,Pacific countries,Tokelau,,3.27
2012,Multilateral,,,,,Pacific countries,Tonga,,881.68
2012,Multilateral,,,,,Pacific countries,Tuvalu,,202.06
2012,Multilateral,,,,,Pacific countries,Vanuatu,,271.71
2012,Multilateral,,,,,Pacific countries,Wallis and Futuna,,6513.88
2012,Multilateral,,,,,Pacific countries,Pacific (Country Unspecifed),,3365.47
2012,Multilateral,,,,,Unspecified Country/Region,,,737707.12
2012,Multilateral,,,,,Unspecified Country/Region,Unspecified Developing countries,,684430.57
2012,Multilateral,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,41723.54
2012,Multilateral,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,6790.49
2012,Multilateral,,,,,Unspecified Country/Region,America (Country Unspecifed),,4762.53
2013,,,,,,North Africa,,,266427.16
2013,,,,,,North Africa,Algeria,,7841.56
2013,,,,,,North Africa,Egypt,,13813.44
2013,,,,,,North Africa,Libya,,20818.26
2013,,,,,,North Africa,Morocco,,175758.46
2013,,,,,,North Africa,Tunisia,,40261.53
2013,,,,,,North Africa,North of Sahara (Country Unspecifed),,7933.91
2013,,,,,,Sub Saharan Africa,,,4377095.65
2013,,,,,,Sub Saharan Africa,Angola,,17008.47
2013,,,,,,Sub Saharan Africa,Benin,,43597.59
2013,,,,,,Sub Saharan Africa,Botswana,,2235.98
2013,,,,,,Sub Saharan Africa,Burkina Faso,,56345.78
2013,,,,,,Sub Saharan Africa,Burundi,,38748.71
2013,,,,,,Sub Saharan Africa,Cameroon,,44849.36
2013,,,,,,Sub Saharan Africa,Cape Verde,,2305.19
2013,,,,,,Sub Saharan Africa,Central African Republic,,10443.63
2013,,,,,,Sub Saharan Africa,Chad,,20498.81
2013,,,,,,Sub Saharan Africa,Comoros,,3850.49
2013,,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,307644.31
2013,,,,,,Sub Saharan Africa,"Congo, Republic",,8005.09
2013,,,,,,Sub Saharan Africa,Ivory Coast,,50010.95
2013,,,,,,Sub Saharan Africa,Djibouti,,4322.59
2013,,,,,,Sub Saharan Africa,Equatorial Guinea,,-214.94
2013,,,,,,Sub Saharan Africa,Eritrea,,11740.08
2013,,,,,,Sub Saharan Africa,Ethiopia,,571123.01
2013,,,,,,Sub Saharan Africa,Gabon,,906.85
2013,,,,,,Sub Saharan Africa,Gambia,,15456.94
2013,,,,,,Sub Saharan Africa,Ghana,,183372.85
2013,,,,,,Sub Saharan Africa,Guinea,,23443.31
2013,,,,,,Sub Saharan Africa,Guinea-Bissau,,6641.77
2013,,,,,,Sub Saharan Africa,Kenya,,294204.72
2013,,,,,,Sub Saharan Africa,Lesotho,,15690.29
2013,,,,,,Sub Saharan Africa,Liberia,,29885.9
2013,,,,,,Sub Saharan Africa,Madagascar,,30612.75
2013,,,,,,Sub Saharan Africa,Malawi,,169491.47
2013,,,,,,Sub Saharan Africa,Mali,,65073.77
2013,,,,,,Sub Saharan Africa,Mauritania,,10541.15
2013,,,,,,Sub Saharan Africa,Mauritius,,6781.81
2013,,,,,,Sub Saharan Africa,Mayotte,,0
2013,,,,,,Sub Saharan Africa,Mozambique,,158433.92
2013,,,,,,Sub Saharan Africa,Namibia,,5972.83
2013,,,,,,Sub Saharan Africa,Niger,,45515.76
2013,,,,,,Sub Saharan Africa,Nigeria,,424282.61
2013,,,,,,Sub Saharan Africa,Rwanda,,160442.31
2013,,,,,,Sub Saharan Africa,Sao Tome and Principe,,3265.55
2013,,,,,,Sub Saharan Africa,Senegal,,38524.48
2013,,,,,,Sub Saharan Africa,Seychelles,,1355.03
2013,,,,,,Sub Saharan Africa,Sierra Leone,,90882.57
2013,,,,,,Sub Saharan Africa,Somalia,,124505.53
2013,,,,,,Sub Saharan Africa,South Africa,,70741.62
2013,,,,,,Sub Saharan Africa,South Sudan,,155390.04
2013,,,,,,Sub Saharan Africa,St. Helena,,84390.69
2013,,,,,,Sub Saharan Africa,Sudan,,100088.06
2013,,,,,,Sub Saharan Africa,Swaziland,,7909.83
2013,,,,,,Sub Saharan Africa,Tanzania,,329608.62
2013,,,,,,Sub Saharan Africa,Togo,,15022.73
2013,,,,,,Sub Saharan Africa,Uganda,,143135.61
2013,,,,,,Sub Saharan Africa,Zambia,,107510.5
2013,,,,,,Sub Saharan Africa,Zimbabwe,,124857.59
2013,,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,140641.07
2013,,,,,,Middle East,,,680810.75
2013,,,,,,Middle East,Iran,,2716.58
2013,,,,,,Middle East,Iraq,,24221.69
2013,,,,,,Middle East,Jordan,,38475.99
2013,,,,,,Middle East,Lebanon,,26480.47
2013,,,,,,Middle East,Oman,,0
2013,,,,,,Middle East,Syria,,155646.99
2013,,,,,,Middle East,West Bank and Gaza Strip,,111656.16
2013,,,,,,Middle East,Yemen,,130990.9
2013,,,,,,Middle East,Middle East (Country Unspecifed),,190621.96
2013,,,,,,South and Central Asia,,,1820034.49
2013,,,,,,South and Central Asia,Afghanistan,,279940.27
2013,,,,,,South and Central Asia,Armenia,,15791.84
2013,,,,,,South and Central Asia,Azerbaijan,,-27435.12
2013,,,,,,South and Central Asia,Bangladesh,,395749.84
2013,,,,,,South and Central Asia,Bhutan,,4507.49
2013,,,,,,South and Central Asia,Burma,,134679.33
2013,,,,,,South and Central Asia,Georgia,,32793
2013,,,,,,South and Central Asia,India,,336622.81
2013,,,,,,South and Central Asia,Kazakhstan,,5708.49
2013,,,,,,South and Central Asia,Kyrgyz Republic,,22029.33
2013,,,,,,South and Central Asia,Maldives,,1485.54
2013,,,,,,South and Central Asia,Nepal,,136109.22
2013,,,,,,South and Central Asia,Pakistan,,400715.69
2013,,,,,,South and Central Asia,Sri Lanka,,27009.77
2013,,,,,,South and Central Asia,Tajikistan,,25637.38
2013,,,,,,South and Central Asia,Turkmenistan,,1588.65
2013,,,,,,South and Central Asia,Uzbekistan,,18776.92
2013,,,,,,South and Central Asia,Unspecified South Asia Region,,2857.9
2013,,,,,,South and Central Asia,Unspecified Central Asia Region,,3657.67
2013,,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,1808.48
2013,,,,,,Far East Asia,,,355806.13
2013,,,,,,Far East Asia,Cambodia,,33498.85
2013,,,,,,Far East Asia,China,,-104849.17
2013,,,,,,Far East Asia,Indonesia,,30252.81
2013,,,,,,Far East Asia,"Korea, Democratic Republic",,5414.67
2013,,,,,,Far East Asia,Laos,,13491.94
2013,,,,,,Far East Asia,Malaysia,,5517.05
2013,,,,,,Far East Asia,Mongolia,,5140.9
2013,,,,,,Far East Asia,Philippines,,36198.71
2013,,,,,,Far East Asia,Thailand,,88686.62
2013,,,,,,Far East Asia,Timor-Leste,,4699.27
2013,,,,,,Far East Asia,Vietnam,,234416.96
2013,,,,,,Far East Asia,Far East Asia (Country Unspecifed),,3337.51
2013,,,,,,Latin America and the Caribbean,,,252704.61
2013,,,,,,Latin America and the Caribbean,Anguilla,,2152.09
2013,,,,,,Latin America and the Caribbean,Antigua and Barbuda,,45.85
2013,,,,,,Latin America and the Caribbean,Barbados,,0
2013,,,,,,Latin America and the Caribbean,Belize,,3904.99
2013,,,,,,Latin America and the Caribbean,Costa Rica,,1372.23
2013,,,,,,Latin America and the Caribbean,Cuba,,4142.99
2013,,,,,,Latin America and the Caribbean,Dominica,,1235.85
2013,,,,,,Latin America and the Caribbean,Dominican Republic,,7070.6
2013,,,,,,Latin America and the Caribbean,El Salvador,,5181.65
2013,,,,,,Latin America and the Caribbean,Grenada,,2966.46
2013,,,,,,Latin America and the Caribbean,Guatemala,,53953.12
2013,,,,,,Latin America and the Caribbean,Haiti,,40504.53
2013,,,,,,Latin America and the Caribbean,Honduras,,22567.73
2013,,,,,,Latin America and the Caribbean,Jamaica,,22121.25
2013,,,,,,Latin America and the Caribbean,Mexico,,7290.95
2013,,,,,,Latin America and the Caribbean,Montserrat,,31678.39
2013,,,,,,Latin America and the Caribbean,Nicaragua,,15380.39
2013,,,,,,Latin America and the Caribbean,Panama,,418.67
2013,,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,3796.35
2013,,,,,,Latin America and the Caribbean,St. Lucia,,2599.19
2013,,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,1188.93
2013,,,,,,Latin America and the Caribbean,Trinidad and Tobago,,0
2013,,,,,,Latin America and the Caribbean,"West Indies, regional",,12480.1
2013,,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,10652.28
2013,,,,,,South America,,,88256.76
2013,,,,,,South America,Argentina,,1914.33
2013,,,,,,South America,Bolivia,,19431.15
2013,,,,,,South America,Brazil,,16255.06
2013,,,,,,South America,Chile,,3782.57
2013,,,,,,South America,Colombia,,15458.32
2013,,,,,,South America,Ecuador,,4649.3
2013,,,,,,South America,Guyana,,3472.9
2013,,,,,,South America,Paraguay,,2873.61
2013,,,,,,South America,Peru,,7486.92
2013,,,,,,South America,Suriname,,918.41
2013,,,,,,South America,Uruguay,,1559.27
2013,,,,,,South America,Venezuela,,3009.43
2013,,,,,,South America,South America (Country Unspecifed),,7445.48
2013,,,,,,Europe,,,420842.33
2013,,,,,,Europe,Albania,,7631.47
2013,,,,,,Europe,Belarus,,4444.25
2013,,,,,,Europe,Bosnia-Herzegovina,,25583.88
2013,,,,,,Europe,Croatia,,0
2013,,,,,,Europe,Kosovo,,25795.89
2013,,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,6500.59
2013,,,,,,Europe,Moldova,,16314.58
2013,,,,,,Europe,Montenegro,,5245.96
2013,,,,,,Europe,Serbia,,46988.68
2013,,,,,,Europe,Turkey,,200305.76
2013,,,,,,Europe,Ukraine,,41420.92
2013,,,,,,Europe,Yugoslavia - Ex-states unspecified,,22.85
2013,,,,,,Europe,Europe (Country Unspecifed),,40587.49
2013,,,,,,Pacific countries,,,48315
2013,,,,,,Pacific countries,Cook Islands,,38.71
2013,,,,,,Pacific countries,Fiji,,2668.59
2013,,,,,,Pacific countries,Kiribati,,1752.96
2013,,,,,,Pacific countries,Marshall Islands,,634.65
2013,,,,,,Pacific countries,Micronesia,,155.01
2013,,,,,,Pacific countries,Nauru,,95.09
2013,,,,,,Pacific countries,Niue,,48.63
2013,,,,,,Pacific countries,Palau,,39.81
2013,,,,,,Pacific countries,Papua New Guinea,,15064.96
2013,,,,,,Pacific countries,Samoa,,4280.56
2013,,,,,,Pacific countries,Solomon Islands,,3065.65
2013,,,,,,Pacific countries,Tokelau,,4.09
2013,,,,,,Pacific countries,Tonga,,3725.23
2013,,,,,,Pacific countries,Tuvalu,,633.36
2013,,,,,,Pacific countries,Vanuatu,,364.18
2013,,,,,,Pacific countries,Wallis and Futuna,,6272.36
2013,,,,,,Pacific countries,Pacific (Country Unspecifed),,9471.16
2013,,,,,,Unspecified Country/Region,,,3102599.87
2013,,,,,,Unspecified Country/Region,Unspecified Developing countries,,2870083.49
2013,,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,178347.31
2013,,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,44764.86
2013,,,,,,Unspecified Country/Region,America (Country Unspecifed),,9404.2
2013,Bilateral,,,,,North Africa,,,52578.9
2013,Bilateral,,,,,North Africa,Algeria,,3111.49131
2013,Bilateral,,,,,North Africa,Egypt,,20998.61545
2013,Bilateral,,,,,North Africa,Libya,,15801.10516
2013,Bilateral,,,,,North Africa,Morocco,,3832.037619
2013,Bilateral,,,,,North Africa,Tunisia,,4815.965448
2013,Bilateral,,,,,North Africa,North of Sahara (Country Unspecifed),,4019.680087
2013,Bilateral,,,,,Sub Saharan Africa,,,2307527.11
2013,Bilateral,,,,,Sub Saharan Africa,Angola,,358.557924
2013,Bilateral,,,,,Sub Saharan Africa,Benin,,0
2013,Bilateral,,,,,Sub Saharan Africa,Botswana,,787.994083
2013,Bilateral,,,,,Sub Saharan Africa,Burkina Faso,,541.90616
2013,Bilateral,,,,,Sub Saharan Africa,Burundi,,4176.652804
2013,Bilateral,,,,,Sub Saharan Africa,Cameroon,,841.9960289
2013,Bilateral,,,,,Sub Saharan Africa,Cape Verde,,40.89479
2013,Bilateral,,,,,Sub Saharan Africa,Central African Republic,,1666.114
2013,Bilateral,,,,,Sub Saharan Africa,Chad,,9.5393
2013,Bilateral,,,,,Sub Saharan Africa,Comoros,,0
2013,Bilateral,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,161640.3304
2013,Bilateral,,,,,Sub Saharan Africa,"Congo, Republic",,0
2013,Bilateral,,,,,Sub Saharan Africa,Ivory Coast,,-409.09787
2013,Bilateral,,,,,Sub Saharan Africa,Djibouti,,66.27712
2013,Bilateral,,,,,Sub Saharan Africa,Equatorial Guinea,,0
2013,Bilateral,,,,,Sub Saharan Africa,Eritrea,,4659.525857
2013,Bilateral,,,,,Sub Saharan Africa,Ethiopia,,329434.7471
2013,Bilateral,,,,,Sub Saharan Africa,Gabon,,0
2013,Bilateral,,,,,Sub Saharan Africa,Gambia,,8102.145268
2013,Bilateral,,,,,Sub Saharan Africa,Ghana,,103344.4799
2013,Bilateral,,,,,Sub Saharan Africa,Guinea,,3730.754614
2013,Bilateral,,,,,Sub Saharan Africa,Guinea-Bissau,,1.96771
2013,Bilateral,,,,,Sub Saharan Africa,Kenya,,159404.6382
2013,Bilateral,,,,,Sub Saharan Africa,Lesotho,,2725.262019
2013,Bilateral,,,,,Sub Saharan Africa,Liberia,,8724.465655
2013,Bilateral,,,,,Sub Saharan Africa,Madagascar,,366.309141
2013,Bilateral,,,,,Sub Saharan Africa,Malawi,,113297.0171
2013,Bilateral,,,,,Sub Saharan Africa,Mali,,1028.8891
2013,Bilateral,,,,,Sub Saharan Africa,Mauritania,,115.092768
2013,Bilateral,,,,,Sub Saharan Africa,Mauritius,,328.604622
2013,Bilateral,,,,,Sub Saharan Africa,Mayotte,,0
2013,Bilateral,,,,,Sub Saharan Africa,Mozambique,,78731.64921
2013,Bilateral,,,,,Sub Saharan Africa,Namibia,,250.380992
2013,Bilateral,,,,,Sub Saharan Africa,Niger,,0
2013,Bilateral,,,,,Sub Saharan Africa,Nigeria,,248733.6791
2013,Bilateral,,,,,Sub Saharan Africa,Rwanda,,103394.3165
2013,Bilateral,,,,,Sub Saharan Africa,Sao Tome and Principe,,0
2013,Bilateral,,,,,Sub Saharan Africa,Senegal,,959.912641
2013,Bilateral,,,,,Sub Saharan Africa,Seychelles,,307.2857112
2013,Bilateral,,,,,Sub Saharan Africa,Sierra Leone,,69990.34414
2013,Bilateral,,,,,Sub Saharan Africa,Somalia,,107273.8507
2013,Bilateral,,,,,Sub Saharan Africa,South Africa,,35605.04347
2013,Bilateral,,,,,Sub Saharan Africa,South Sudan,,136478.2757
2013,Bilateral,,,,,Sub Saharan Africa,St. Helena,,83783.36965
2013,Bilateral,,,,,Sub Saharan Africa,Sudan,,69206.2832
2013,Bilateral,,,,,Sub Saharan Africa,Swaziland,,1287.137292
2013,Bilateral,,,,,Sub Saharan Africa,Tanzania,,151896.0026
2013,Bilateral,,,,,Sub Saharan Africa,Togo,,0
2013,Bilateral,,,,,Sub Saharan Africa,Uganda,,56340.72667
2013,Bilateral,,,,,Sub Saharan Africa,Zambia,,59848.1574
2013,Bilateral,,,,,Sub Saharan Africa,Zimbabwe,,93836.15876
2013,Bilateral,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,104619.4739
2013,Bilateral,,,,,Middle East,,,517638.75
2013,Bilateral,,,,,Middle East,Iran,,357.41021
2013,Bilateral,,,,,Middle East,Iraq,,7008.472629
2013,Bilateral,,,,,Middle East,Jordan,,16692.03701
2013,Bilateral,,,,,Middle East,Lebanon,,8035.044528
2013,Bilateral,,,,,Middle East,Oman,,0
2013,Bilateral,,,,,Middle East,Syria,,138749.9259
2013,Bilateral,,,,,Middle East,West Bank and Gaza Strip,,69477.82513
2013,Bilateral,,,,,Middle East,Yemen,,95145.94472
2013,Bilateral,,,,,Middle East,Middle East (Country Unspecifed),,182172.0941
2013,Bilateral,,,,,South and Central Asia,,,1319209.66
2013,Bilateral,,,,,South and Central Asia,Afghanistan,,211851.8924
2013,Bilateral,,,,,South and Central Asia,Armenia,,827.468789
2013,Bilateral,,,,,South and Central Asia,Azerbaijan,,2649.903044
2013,Bilateral,,,,,South and Central Asia,Bangladesh,,272005.1132
2013,Bilateral,,,,,South and Central Asia,Bhutan,,1.009099
2013,Bilateral,,,,,South and Central Asia,Burma,,99659.37045
2013,Bilateral,,,,,South and Central Asia,Georgia,,4503.733679
2013,Bilateral,,,,,South and Central Asia,India,,268040.985
2013,Bilateral,,,,,South and Central Asia,Kazakhstan,,1787.944412
2013,Bilateral,,,,,South and Central Asia,Kyrgyz Republic,,5366.758344
2013,Bilateral,,,,,South and Central Asia,Maldives,,153.675928
2013,Bilateral,,,,,South and Central Asia,Nepal,,93329.62132
2013,Bilateral,,,,,South and Central Asia,Pakistan,,338219.5989
