Year,Flow of Overseas Development Assistance,Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy policy and administrative management (23110),37322.43
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy education/training (23181),537.15
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy research (23182),180.28
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy conservation and demand-side efficiency (23183),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",,24353.16
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",7020.23
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),9794.5
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),2607.3
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),3224.44
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),875.53
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),831.17
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",,12904.49
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",12272.88
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),469.92
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),122.91
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),38.78
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),,0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),,4805.84
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),4805.84
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",,44693.47
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),43980.62
2010,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),712.85
2010,Multilateral,Banking and Financial Services (240),,,38379.15
2010,Multilateral,Banking and Financial Services (240),,Financial policy and administrative management (24010),20459.31
2010,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),714.23
2010,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),7272.52
2010,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),9696.76
2010,Multilateral,Banking and Financial Services (240),,Education/training in banking and financial services (24081),236.32
2010,Multilateral,Business and Other Services,,,31023.66
2010,Multilateral,Business and Other Services,,Business support services and institutions (25010),27086.16
2010,Multilateral,Business and Other Services,,Privatisation (25020),3937.49
2011,Multilateral,,,,675651.23
2011,Multilateral,Transport and Storage (210),,,292763.09
2011,Multilateral,Transport and Storage (210),,Transport policy and administrative management (21010),23666.19
2011,Multilateral,Transport and Storage (210),,Road transport (21020),219087.34
2011,Multilateral,Transport and Storage (210),,Rail transport (21030),37207.47
2011,Multilateral,Transport and Storage (210),,Water transport (21040),5769.11
2011,Multilateral,Transport and Storage (210),,Air transport (21050),6954.19
2011,Multilateral,Transport and Storage (210),,Storage (21061),78.77
2011,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),0
2011,Multilateral,Communications (220),,,28041.52
2011,Multilateral,Communications (220),,Communications policy and administrative management (22010),1982.53
2011,Multilateral,Communications (220),,Telecommunications (22020),18594.46
2011,Multilateral,Communications (220),,Radio/television/print media (22030),363.07
2011,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),7101.46
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,204288.4
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",,28977.33
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy policy and administrative management (23110),28182.29
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy education/training (23181),729.27
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy research (23182),65.78
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy conservation and demand-side efficiency (23183),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",,73075.92
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",43181.3
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19894.21
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),5404.38
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),1227.26
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),1891.48
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1477.29
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",,31738.5
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",10028.78
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),690.41
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),71.74
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),20947.58
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),,0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),,2483.24
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2483.24
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",,68013.41
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),66440.47
2011,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),1572.93
2011,Multilateral,Banking and Financial Services (240),,,122969.49
2011,Multilateral,Banking and Financial Services (240),,Financial policy and administrative management (24010),11883.36
2011,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),480.66
2011,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),94755.73
2011,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),15716.67
2011,Multilateral,Banking and Financial Services (240),,Education/training in banking and financial services (24081),133.07
2011,Multilateral,Business and Other Services,,,27588.73
2011,Multilateral,Business and Other Services,,Business support services and institutions (25010),25437.66
2011,Multilateral,Business and Other Services,,Privatisation (25020),2151.08
2012,Multilateral,,,,641089.78
2012,Multilateral,Transport and Storage (210),,,289661.12
2012,Multilateral,Transport and Storage (210),,Transport policy and administrative management (21010),24794.9
2012,Multilateral,Transport and Storage (210),,Road transport (21020),202540.39
2012,Multilateral,Transport and Storage (210),,Rail transport (21030),46128.17
2012,Multilateral,Transport and Storage (210),,Water transport (21040),11336.35
2012,Multilateral,Transport and Storage (210),,Air transport (21050),4816.32
2012,Multilateral,Transport and Storage (210),,Storage (21061),0
2012,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),45
2012,Multilateral,Communications (220),,,18713.93
2012,Multilateral,Communications (220),,Communications policy and administrative management (22010),1641.53
2012,Multilateral,Communications (220),,Telecommunications (22020),12454.47
2012,Multilateral,Communications (220),,Radio/television/print media (22030),203.35
2012,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),4414.58
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,188405.16
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",,35845.51
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy policy and administrative management (23110),35434.97
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy education/training (23181),270.64
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy research (23182),139.91
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy conservation and demand-side efficiency (23183),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",,20406.04
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",6900.91
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),8918.92
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),1687.69
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),263.91
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),1466.33
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1168.28
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",,69548.03
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",67047.28
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),376.79
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),2123.96
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),,0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),,2016.83
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2016.83
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",,60588.74
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),58785.03
2012,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),1803.71
2012,Multilateral,Banking and Financial Services (240),,,128062.84
2012,Multilateral,Banking and Financial Services (240),,Financial policy and administrative management (24010),5518.78
2012,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),907.09
2012,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),115700.87
2012,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),5750.23
2012,Multilateral,Banking and Financial Services (240),,Education/training in banking and financial services (24081),185.87
2012,Multilateral,Business and Other Services,,,16246.73
2012,Multilateral,Business and Other Services,,Business support services and institutions (25010),15381.64
2012,Multilateral,Business and Other Services,,Privatisation (25020),865.09
2013,Multilateral,,,,1052651.21
2013,Multilateral,Transport and Storage (210),,,384960.18
2013,Multilateral,Transport and Storage (210),,Transport policy and administrative management (21010),40727.93
2013,Multilateral,Transport and Storage (210),,Road transport (21020),289491.23
2013,Multilateral,Transport and Storage (210),,Rail transport (21030),27658.95
2013,Multilateral,Transport and Storage (210),,Water transport (21040),18164.17
2013,Multilateral,Transport and Storage (210),,Air transport (21050),8845.38
2013,Multilateral,Transport and Storage (210),,Storage (21061),50.37
2013,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),22.15
2013,Multilateral,Communications (220),,,47358.08
2013,Multilateral,Communications (220),,Communications policy and administrative management (22010),3029.43
2013,Multilateral,Communications (220),,Telecommunications (22020),35756.13
2013,Multilateral,Communications (220),,Radio/television/print media (22030),317.47
2013,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),8255.05
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,409059.96
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",,60408.12
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy policy and administrative management (23110),59800.31
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy education/training (23181),582.56
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy research (23182),25.26
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy conservation and demand-side efficiency (23183),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",,199907.82
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",17570.59
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),18978.37
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),146538.09
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),7791.82
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),7802.68
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1226.28
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",,44770.69
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",43604.48
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),103.41
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),34.31
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),1028.49
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),,0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),,4222.3
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),4222.3
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",,99751.02
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),99100.63
2013,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),650.4
2013,Multilateral,Banking and Financial Services (240),,,165494.42
2013,Multilateral,Banking and Financial Services (240),,Financial policy and administrative management (24010),18004.29
2013,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),7080.78
2013,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),130553.42
2013,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),9672.25
2013,Multilateral,Banking and Financial Services (240),,Education/training in banking and financial services (24081),183.67
2013,Multilateral,Business and Other Services,,,45778.57
2013,Multilateral,Business and Other Services,,Business support services and institutions (25010),42440.22
2013,Multilateral,Business and Other Services,,Privatisation (25020),3338.36
2014,Multilateral,,,,1117086.31
2014,Multilateral,Transport and Storage (210),,,404643.65
2014,Multilateral,Transport and Storage (210),,Transport policy and administrative management (21010),39499.66
2014,Multilateral,Transport and Storage (210),,Road transport (21020),316331.61
2014,Multilateral,Transport and Storage (210),,Rail transport (21030),24206.76
2014,Multilateral,Transport and Storage (210),,Water transport (21040),13029.21
2014,Multilateral,Transport and Storage (210),,Air transport (21050),11352.42
2014,Multilateral,Transport and Storage (210),,Storage (21061),218.98
2014,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),5
2014,Multilateral,Communications (220),,,24300.95
2014,Multilateral,Communications (220),,Communications policy and administrative management (22010),5648.21
2014,Multilateral,Communications (220),,Telecommunications (22020),12351.15
2014,Multilateral,Communications (220),,Radio/television/print media (22030),174.74
2014,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),6126.86
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,460642.64
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",,151859.53
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy policy and administrative management (23110),148934.4
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy education/training (23181),2888.16
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy research (23182),36.97
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy conservation and demand-side efficiency (23183),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",,160501.39
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",12943.23
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),20647.1
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),116131.41
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),1862.08
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Marine energy (23250),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Geothermal energy (23260),8209.6
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),707.96
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",,40335.79
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",32214.9
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),76.9
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),833.38
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7210.61
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),,0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),,2815.26
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)",Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2815.26
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",,105130.67
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Heat plants (23610),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),102150.58
2014,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Heating, cooling and energy distribution (236)",Gas distribution (23640),2980.08
2014,Multilateral,Banking and Financial Services (240),,,185147.84
2014,Multilateral,Banking and Financial Services (240),,Financial policy and administrative management (24010),5075.73
2014,Multilateral,Banking and Financial Services (240),,Monetary institutions (24020),12136.73
2014,Multilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),161128.55
2014,Multilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),6399.2
2014,Multilateral,Banking and Financial Services (240),,Education/training in banking and financial services (24081),407.63
2014,Multilateral,Business and Other Services,,,42351.23
2014,Multilateral,Business and Other Services,,Business support services and institutions (25010),31360.44
2014,Multilateral,Business and Other Services,,Privatisation (25020),10990.79
2015,Multilateral,,,,1071773.86
2015,Multilateral,Transport and Storage (210),,,348091.86
2015,Multilateral,Transport and Storage (210),,Transport policy and administrative management (21010),28421.33
2015,Multilateral,Transport and Storage (210),,Road transport (21020),256562.54
2015,Multilateral,Transport and Storage (210),,Rail transport (21030),39696.85
2015,Multilateral,Transport and Storage (210),,Water transport (21040),12860.73
2015,Multilateral,Transport and Storage (210),,Air transport (21050),10427.63
2015,Multilateral,Transport and Storage (210),,Storage (21061),111.88
2015,Multilateral,Transport and Storage (210),,Education and training in transport and storage (21081),10.9
2015,Multilateral,Communications (220),,,13424.79
2015,Multilateral,Communications (220),,Communications policy and administrative management (22010),4758.92
2015,Multilateral,Communications (220),,Telecommunications (22020),2993.95
2015,Multilateral,Communications (220),,Radio/television/print media (22030),153.4
2015,Multilateral,Communications (220),,Information and communication technology (ICT) (22040),5518.52
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)",,,435458.52
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",,106912.94
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy policy and administrative management (23110),103663.49
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy education/training (23181),2716.82
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy research (23182),55.48
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy Generation, Distribution and Efficiency - General (231)",Energy conservation and demand-side efficiency (23183),477.15
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",,228291.23
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",25339.51
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.88
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Solar energy (23230),171469.25
2015,Multilateral,"Energy Generation, Distribution and Efficiency (230)","Energy generation, renewable sources (232)",Wind energy (23240),5774.36
