Year,Age,Sex,Type of account,Value
2014,16 to 24,Female,Endowment policy (not linked),0
2014,16 to 24,Female,Premium bonds,3
2014,16 to 24,Female,Company share scheme or profit sharing,1
2014,16 to 24,Female,Credit unions,1
2014,16 to 24,Female,,93
2014,16 to 24,Female,Any direct payment account (including POCAs),92
2014,16 to 24,Female,Any direct payment account (excluding POCAs),92
2014,25 to 34,Female,Current account,90
2014,25 to 34,Female,National Savings and Investments (NS&I) savings account,2
2014,25 to 34,Female,Basic bank account,6
2014,25 to 34,Female,Post Office Card Account (POCA),2
2014,25 to 34,Female,Individual Savings Account (ISA),27
2014,25 to 34,Female,Other bank or building society account,32
2014,25 to 34,Female,Stocks and shares or member of a share club,4
2014,25 to 34,Female,Premium bonds,4
2014,25 to 34,Female,National savings bonds,1
2014,25 to 34,Female,Company share scheme or profit sharing,2
2014,25 to 34,Female,Credit unions,1
2014,25 to 34,Female,,95
2014,25 to 34,Female,Any direct payment account (including POCAs),94
2014,25 to 34,Female,Any direct payment account (excluding POCAs),94
2014,35 to 44,Female,Current account,91
2014,35 to 44,Female,National Savings and Investments (NS&I) savings account,2
2014,35 to 44,Female,Basic bank account,5
2014,35 to 44,Female,Post Office Card Account (POCA),3
2014,35 to 44,Female,Individual Savings Account (ISA),28
2014,35 to 44,Female,Other bank or building society account,35
2014,35 to 44,Female,Stocks and shares or member of a share club,7
2014,35 to 44,Female,Unit trusts,1
2014,35 to 44,Female,Premium bonds,8
2014,35 to 44,Female,Company share scheme or profit sharing,2
2014,35 to 44,Female,Credit unions,1
2014,35 to 44,Female,Any other type of asset,1
2014,35 to 44,Female,,95
2014,35 to 44,Female,Any direct payment account (including POCAs),95
2014,35 to 44,Female,Any direct payment account (excluding POCAs),94
2014,45 to 54,Female,Current account,91
2014,45 to 54,Female,National Savings and Investments (NS&I) savings account,2
2014,45 to 54,Female,Basic bank account,6
2014,45 to 54,Female,Post Office Card Account (POCA),3
2014,45 to 54,Female,Individual Savings Account (ISA),33
2014,45 to 54,Female,Other bank or building society account,38
2014,45 to 54,Female,Stocks and shares or member of a share club,11
2014,45 to 54,Female,Unit trusts,2
2014,45 to 54,Female,Endowment policy (not linked),1
2014,45 to 54,Female,Premium bonds,13
2014,45 to 54,Female,National savings bonds,1
2014,45 to 54,Female,Company share scheme or profit sharing,2
2014,45 to 54,Female,Credit unions,2
2014,45 to 54,Female,,95
2014,45 to 54,Female,Any direct payment account (including POCAs),95
2014,45 to 54,Female,Any direct payment account (excluding POCAs),94
2014,55 to 59,Female,Current account,91
2014,55 to 59,Female,National Savings and Investments (NS&I) savings account,2
2014,55 to 59,Female,Basic bank account,4
2014,55 to 59,Female,Post Office Card Account (POCA),2
2014,55 to 59,Female,Individual Savings Account (ISA),39
2014,55 to 59,Female,Other bank or building society account,38
2014,55 to 59,Female,Stocks and shares or member of a share club,13
2014,55 to 59,Female,Unit trusts,3
2014,55 to 59,Female,Premium bonds,17
2014,55 to 59,Female,National savings bonds,3
2014,55 to 59,Female,Company share scheme or profit sharing,1
2014,55 to 59,Female,Credit unions,1
2014,55 to 59,Female,Any other type of asset,1
2014,55 to 59,Female,,95
2014,55 to 59,Female,Any direct payment account (including POCAs),94
2014,55 to 59,Female,Any direct payment account (excluding POCAs),93
2014,60 to 64,Female,Current account,92
2014,60 to 64,Female,National Savings and Investments (NS&I) savings account,2
2014,60 to 64,Female,Basic bank account,3
2014,60 to 64,Female,Post Office Card Account (POCA),3
2014,60 to 64,Female,Individual Savings Account (ISA),50
2014,60 to 64,Female,Other bank or building society account,46
2014,60 to 64,Female,Stocks and shares or member of a share club,17
2014,60 to 64,Female,Unit trusts,4
2014,60 to 64,Female,Premium bonds,26
2014,60 to 64,Female,National savings bonds,4
2014,60 to 64,Female,Company share scheme or profit sharing,1
2014,60 to 64,Female,Credit unions,1
2014,60 to 64,Female,,96
2014,60 to 64,Female,Any direct payment account (including POCAs),96
2014,60 to 64,Female,Any direct payment account (excluding POCAs),94
2014,65 to 74,Female,Current account,93
2014,65 to 74,Female,National Savings and Investments (NS&I) savings account,3
2014,65 to 74,Female,Basic bank account,3
2014,65 to 74,Female,Post Office Card Account (POCA),4
2014,65 to 74,Female,Individual Savings Account (ISA),51
2014,65 to 74,Female,Other bank or building society account,45
2014,65 to 74,Female,Stocks and shares or member of a share club,16
2014,65 to 74,Female,Unit trusts,4
2014,65 to 74,Female,Premium bonds,26
2014,65 to 74,Female,National savings bonds,5
2014,65 to 74,Female,Credit unions,1
2014,65 to 74,Female,Any other type of asset,1
2014,65 to 74,Female,,96
2014,65 to 74,Female,Any direct payment account (including POCAs),96
2014,65 to 74,Female,Any direct payment account (excluding POCAs),95
2014,75 to 84,Female,Current account,89
2014,75 to 84,Female,National Savings and Investments (NS&I) savings account,2
2014,75 to 84,Female,Basic bank account,2
2014,75 to 84,Female,Post Office Card Account (POCA),7
2014,75 to 84,Female,Individual Savings Account (ISA),42
2014,75 to 84,Female,Other bank or building society account,40
2014,75 to 84,Female,Stocks and shares or member of a share club,14
2014,75 to 84,Female,Unit trusts,3
2014,75 to 84,Female,Premium bonds,23
2014,75 to 84,Female,National savings bonds,5
2014,75 to 84,Female,Company share scheme or profit sharing,0
2014,75 to 84,Female,Any other type of asset,1
2014,75 to 84,Female,,95
2014,75 to 84,Female,Any direct payment account (including POCAs),94
2014,75 to 84,Female,Any direct payment account (excluding POCAs),92
2014,85 and over,Female,Current account,87
2014,85 and over,Female,National Savings and Investments (NS&I) savings account,2
2014,85 and over,Female,Basic bank account,2
2014,85 and over,Female,Post Office Card Account (POCA),6
2014,85 and over,Female,Individual Savings Account (ISA),32
2014,85 and over,Female,Other bank or building society account,43
2014,85 and over,Female,Stocks and shares or member of a share club,14
2014,85 and over,Female,Unit trusts,2
2014,85 and over,Female,Endowment policy (not linked),0
2014,85 and over,Female,Premium bonds,20
2014,85 and over,Female,National savings bonds,4
2014,85 and over,Female,Company share scheme or profit sharing,0
2014,85 and over,Female,Credit unions,0
2014,85 and over,Female,Any other type of asset,1
2014,85 and over,Female,,93
2014,85 and over,Female,Any direct payment account (including POCAs),93
2014,85 and over,Female,Any direct payment account (excluding POCAs),91
2014,,Male,Current account,90
2014,,Male,National Savings and Investments (NS&I) savings account,2
2014,,Male,Basic bank account,5
2014,,Male,Post Office Card Account (POCA),2
2014,,Male,Individual Savings Account (ISA),31
2014,,Male,Other bank or building society account,36
2014,,Male,Stocks and shares or member of a share club,12
2014,,Male,Unit trusts,2
2014,,Male,Premium bonds,13
2014,,Male,National savings bonds,2
2014,,Male,Company share scheme or profit sharing,2
2014,,Male,Credit unions,1
2014,,Male,Any other type of asset,1
2014,,Male,,94
2014,,Male,Any direct payment account (including POCAs),94
2014,,Male,Any direct payment account (excluding POCAs),93
2014,16 to 24,Male,Current account,80
2014,16 to 24,Male,National Savings and Investments (NS&I) savings account,1
2014,16 to 24,Male,Basic bank account,5
2014,16 to 24,Male,Post Office Card Account (POCA),2
2014,16 to 24,Male,Individual Savings Account (ISA),13
2014,16 to 24,Male,Other bank or building society account,21
2014,16 to 24,Male,Stocks and shares or member of a share club,2
2014,16 to 24,Male,Endowment policy (not linked),0
2014,16 to 24,Male,Premium bonds,4
2014,16 to 24,Male,National savings bonds,1
2014,16 to 24,Male,Company share scheme or profit sharing,1
2014,16 to 24,Male,,87
2014,16 to 24,Male,Any direct payment account (including POCAs),87
2014,16 to 24,Male,Any direct payment account (excluding POCAs),85
2014,25 to 34,Male,Current account,90
2014,25 to 34,Male,National Savings and Investments (NS&I) savings account,2
2014,25 to 34,Male,Basic bank account,5
2014,25 to 34,Male,Post Office Card Account (POCA),1
2014,25 to 34,Male,Individual Savings Account (ISA),23
2014,25 to 34,Male,Other bank or building society account,31
2014,25 to 34,Male,Stocks and shares or member of a share club,6
2014,25 to 34,Male,Premium bonds,5
2014,25 to 34,Male,Company share scheme or profit sharing,2
2014,25 to 34,Male,Credit unions,1
2014,25 to 34,Male,Any other type of asset,1
2014,25 to 34,Male,,94
2014,25 to 34,Male,Any direct payment account (including POCAs),94
2014,25 to 34,Male,Any direct payment account (excluding POCAs),93
2014,35 to 44,Male,Current account,91
2014,35 to 44,Male,National Savings and Investments (NS&I) savings account,3
2014,35 to 44,Male,Basic bank account,5
2014,35 to 44,Male,Post Office Card Account (POCA),1
2014,35 to 44,Male,Individual Savings Account (ISA),27
2014,35 to 44,Male,Other bank or building society account,36
2014,35 to 44,Male,Stocks and shares or member of a share club,9
2014,35 to 44,Male,Unit trusts,1
2014,35 to 44,Male,Premium bonds,8
2014,35 to 44,Male,Company share scheme or profit sharing,3
2014,35 to 44,Male,Credit unions,1
2014,35 to 44,Male,Any other type of asset,1
2014,35 to 44,Male,,95
2014,35 to 44,Male,Any direct payment account (including POCAs),95
2014,35 to 44,Male,Any direct payment account (excluding POCAs),94
2014,45 to 54,Male,Current account,91
2014,45 to 54,Male,National Savings and Investments (NS&I) savings account,2
2014,45 to 54,Male,Basic bank account,5
2014,45 to 54,Male,Post Office Card Account (POCA),2
2014,45 to 54,Male,Individual Savings Account (ISA),30
2014,45 to 54,Male,Other bank or building society account,37
2014,45 to 54,Male,Stocks and shares or member of a share club,14
2014,45 to 54,Male,Unit trusts,2
2014,45 to 54,Male,Endowment policy (not linked),1
2014,45 to 54,Male,Premium bonds,12
2014,45 to 54,Male,National savings bonds,1
2014,45 to 54,Male,Company share scheme or profit sharing,4
2014,45 to 54,Male,Credit unions,1
2014,45 to 54,Male,Any other type of asset,1
2014,45 to 54,Male,,95
2014,45 to 54,Male,Any direct payment account (including POCAs),95
2014,45 to 54,Male,Any direct payment account (excluding POCAs),94
2014,55 to 59,Male,Current account,91
2014,55 to 59,Male,National Savings and Investments (NS&I) savings account,3
2014,55 to 59,Male,Basic bank account,5
2014,55 to 59,Male,Post Office Card Account (POCA),2
2014,55 to 59,Male,Individual Savings Account (ISA),38
2014,55 to 59,Male,Other bank or building society account,37
2014,55 to 59,Male,Stocks and shares or member of a share club,18
2014,55 to 59,Male,Unit trusts,4
2014,55 to 59,Male,Premium bonds,17
2014,55 to 59,Male,National savings bonds,3
2014,55 to 59,Male,Company share scheme or profit sharing,2
2014,55 to 59,Male,Credit unions,1
2014,55 to 59,Male,Any other type of asset,1
2014,55 to 59,Male,,95
2014,55 to 59,Male,Any direct payment account (including POCAs),94
2014,55 to 59,Male,Any direct payment account (excluding POCAs),93
2014,60 to 64,Male,Current account,92
2014,60 to 64,Male,National Savings and Investments (NS&I) savings account,2
2014,60 to 64,Male,Basic bank account,4
2014,60 to 64,Male,Post Office Card Account (POCA),2
2014,60 to 64,Male,Individual Savings Account (ISA),42
2014,60 to 64,Male,Other bank or building society account,42
2014,60 to 64,Male,Stocks and shares or member of a share club,20
2014,60 to 64,Male,Unit trusts,5
2014,60 to 64,Male,Premium bonds,22
2014,60 to 64,Male,National savings bonds,4
2014,60 to 64,Male,Company share scheme or profit sharing,1
2014,60 to 64,Male,Credit unions,1
2014,60 to 64,Male,Any other type of asset,1
2014,60 to 64,Male,,95
2014,60 to 64,Male,Any direct payment account (including POCAs),95
2014,60 to 64,Male,Any direct payment account (excluding POCAs),94
2014,65 to 74,Male,Current account,94
2014,65 to 74,Male,National Savings and Investments (NS&I) savings account,2
2014,65 to 74,Male,Basic bank account,3
2014,65 to 74,Male,Post Office Card Account (POCA),3
2014,65 to 74,Male,Individual Savings Account (ISA),50
2014,65 to 74,Male,Other bank or building society account,44
2014,65 to 74,Male,Stocks and shares or member of a share club,22
2014,65 to 74,Male,Unit trusts,5
2014,65 to 74,Male,Premium bonds,27
2014,65 to 74,Male,National savings bonds,5
2014,65 to 74,Male,Company share scheme or profit sharing,1
2014,65 to 74,Male,Credit unions,1
2014,65 to 74,Male,Any other type of asset,1
2014,65 to 74,Male,,96
2014,65 to 74,Male,Any direct payment account (including POCAs),96
2014,65 to 74,Male,Any direct payment account (excluding POCAs),95
2014,75 to 84,Male,Current account,92
2014,75 to 84,Male,National Savings and Investments (NS&I) savings account,2
2014,75 to 84,Male,Basic bank account,3
2014,75 to 84,Male,Post Office Card Account (POCA),4
2014,75 to 84,Male,Individual Savings Account (ISA),46
2014,75 to 84,Male,Other bank or building society account,41
2014,75 to 84,Male,Stocks and shares or member of a share club,17
2014,75 to 84,Male,Unit trusts,5
2014,75 to 84,Male,Premium bonds,28
2014,75 to 84,Male,National savings bonds,5
2014,75 to 84,Male,Any other type of asset,1
2014,75 to 84,Male,,96
2014,75 to 84,Male,Any direct payment account (including POCAs),95
2014,75 to 84,Male,Any direct payment account (excluding POCAs),94
2014,85 and over,Male,Current account,89
2014,85 and over,Male,National Savings and Investments (NS&I) savings account,2
2014,85 and over,Male,Basic bank account,1
2014,85 and over,Male,Post Office Card Account (POCA),6
2014,85 and over,Male,Individual Savings Account (ISA),41
2014,85 and over,Male,Other bank or building society account,44
2014,85 and over,Male,Stocks and shares or member of a share club,17
2014,85 and over,Male,Unit trusts,6
2014,85 and over,Male,Endowment policy (not linked),0
2014,85 and over,Male,Premium bonds,23
2014,85 and over,Male,National savings bonds,7
2014,85 and over,Male,Any other type of asset,1
2014,85 and over,Male,,95
2014,85 and over,Male,Any direct payment account (including POCAs),94
2014,85 and over,Male,Any direct payment account (excluding POCAs),91
2015,,,Current account,91
2015,,,National Savings and Investments (NS&I) savings account,3
2015,,,Basic bank account,5
2015,,,Post Office Card Account (POCA),3
2015,,,Individual Savings Account (ISA),32
2015,,,Other bank or building society account,36
2015,,,Stocks and shares or member of a share club,11
2015,,,Unit trusts,2
2015,,,Premium bonds,14
2015,,,National savings bonds,3
2015,,,Company share scheme or profit sharing,2
2015,,,Credit unions,1
2015,,,,95
2015,,,Any direct payment account (including POCAs),94
2015,,,Any direct payment account (excluding POCAs),94
2015,16 to 24,,Current account,85
2015,16 to 24,,National Savings and Investments (NS&I) savings account,1
2015,16 to 24,,Basic bank account,6
2015,16 to 24,,Post Office Card Account (POCA),1
2015,16 to 24,,Individual Savings Account (ISA),14
2015,16 to 24,,Other bank or building society account,23
2015,16 to 24,,Stocks and shares or member of a share club,2
2015,16 to 24,,Endowment policy (not linked),0
2015,16 to 24,,Premium bonds,4
2015,16 to 24,,Company share scheme or profit sharing,1
2015,16 to 24,,,90
2015,16 to 24,,Any direct payment account (including POCAs),90
2015,16 to 24,,Any direct payment account (excluding POCAs),89
2015,25 to 34,,Current account,91
2015,25 to 34,,National Savings and Investments (NS&I) savings account,2
2015,25 to 34,,Basic bank account,6
2015,25 to 34,,Post Office Card Account (POCA),1
2015,25 to 34,,Individual Savings Account (ISA),24
2015,25 to 34,,Other bank or building society account,31
2015,25 to 34,,Stocks and shares or member of a share club,4
2015,25 to 34,,Unit trusts,1
2015,25 to 34,,Endowment policy (not linked),0
2015,25 to 34,,Premium bonds,5
2015,25 to 34,,Company share scheme or profit sharing,2
2015,25 to 34,,Credit unions,1
2015,25 to 34,,,95
2015,25 to 34,,Any direct payment account (including POCAs),95
2015,25 to 34,,Any direct payment account (excluding POCAs),94
2015,35 to 44,,Current account,92
2015,35 to 44,,National Savings and Investments (NS&I) savings account,2
2015,35 to 44,,Basic bank account,7
2015,35 to 44,,Post Office Card Account (POCA),2
2015,35 to 44,,Individual Savings Account (ISA),28
2015,35 to 44,,Other bank or building society account,36
2015,35 to 44,,Stocks and shares or member of a share club,7
2015,35 to 44,,Unit trusts,1
2015,35 to 44,,Premium bonds,8
2015,35 to 44,,National savings bonds,1
2015,35 to 44,,Company share scheme or profit sharing,3
2015,35 to 44,,Credit unions,2
2015,35 to 44,,,96
2015,35 to 44,,Any direct payment account (including POCAs),95
2015,35 to 44,,Any direct payment account (excluding POCAs),95
2015,45 to 54,,Current account,92
2015,45 to 54,,National Savings and Investments (NS&I) savings account,2
2015,45 to 54,,Basic bank account,6
2015,45 to 54,,Post Office Card Account (POCA),2
2015,45 to 54,,Individual Savings Account (ISA),31
2015,45 to 54,,Other bank or building society account,38
2015,45 to 54,,Stocks and shares or member of a share club,12
2015,45 to 54,,Unit trusts,2
2015,45 to 54,,Endowment policy (not linked),1
2015,45 to 54,,Premium bonds,14
2015,45 to 54,,National savings bonds,1
2015,45 to 54,,Company share scheme or profit sharing,3
2015,45 to 54,,Credit unions,2
2015,45 to 54,,Any other type of asset,1
2015,45 to 54,,,96
2015,45 to 54,,Any direct payment account (including POCAs),95
2015,45 to 54,,Any direct payment account (excluding POCAs),94
2015,55 to 59,,Current account,92
2015,55 to 59,,National Savings and Investments (NS&I) savings account,3
2015,55 to 59,,Basic bank account,5
2015,55 to 59,,Post Office Card Account (POCA),3
2015,55 to 59,,Individual Savings Account (ISA),40
2015,55 to 59,,Other bank or building society account,40
2015,55 to 59,,Stocks and shares or member of a share club,16
2015,55 to 59,,Unit trusts,3
2015,55 to 59,,Endowment policy (not linked),1
2015,55 to 59,,Premium bonds,19
2015,55 to 59,,National savings bonds,2
2015,55 to 59,,Company share scheme or profit sharing,2
2015,55 to 59,,Credit unions,2
2015,55 to 59,,Any other type of asset,1
2015,55 to 59,,,96
2015,55 to 59,,Any direct payment account (including POCAs),96
2015,55 to 59,,Any direct payment account (excluding POCAs),95
2015,60 to 64,,Current account,91
2015,60 to 64,,National Savings and Investments (NS&I) savings account,2
2015,60 to 64,,Basic bank account,5
2015,60 to 64,,Post Office Card Account (POCA),3
2015,60 to 64,,Individual Savings Account (ISA),43
2015,60 to 64,,Other bank or building society account,42
2015,60 to 64,,Stocks and shares or member of a share club,7
2015,60 to 64,,Unit trusts,5
2015,60 to 64,,Endowment policy (not linked),1
2015,60 to 64,,Premium bonds,22
2015,60 to 64,,National savings bonds,3
2015,60 to 64,,Company share scheme or profit sharing,1
2015,60 to 64,,Credit unions,1
2015,60 to 64,,Any other type of asset,1
2015,60 to 64,,,95
2015,60 to 64,,Any direct payment account (including POCAs),94
2015,60 to 64,,Any direct payment account (excluding POCAs),93
2015,65 to 74,,Current account,92
2015,65 to 74,,National Savings and Investments (NS&I) savings account,4
2015,65 to 74,,Basic bank account,4
2015,65 to 74,,Post Office Card Account (POCA),4
2015,65 to 74,,Individual Savings Account (ISA),50
2015,65 to 74,,Other bank or building society account,45
2015,65 to 74,,Stocks and shares or member of a share club,20
2015,65 to 74,,Unit trusts,5
2015,65 to 74,,Premium bonds,26
2015,65 to 74,,National savings bonds,10
2015,65 to 74,,Company share scheme or profit sharing,1
2015,65 to 74,,Credit unions,1
2015,65 to 74,,Any other type of asset,1
2015,65 to 74,,,96
2015,65 to 74,,Any direct payment account (including POCAs),95
2015,65 to 74,,Any direct payment account (excluding POCAs),94
2015,75 to 84,,Current account,91
2015,75 to 84,,National Savings and Investments (NS&I) savings account,3
2015,75 to 84,,Basic bank account,3
2015,75 to 84,,Post Office Card Account (POCA),5
2015,75 to 84,,Individual Savings Account (ISA),43
2015,75 to 84,,Other bank or building society account,38
2015,75 to 84,,Stocks and shares or member of a share club,17
2015,75 to 84,,Unit trusts,4
2015,75 to 84,,Endowment policy (not linked),0
2015,75 to 84,,Premium bonds,24
2015,75 to 84,,National savings bonds,8
2015,75 to 84,,Any other type of asset,1
2015,75 to 84,,,95
2015,75 to 84,,Any direct payment account (including POCAs),94
2015,75 to 84,,Any direct payment account (excluding POCAs),93
2015,85 and over,,Current account,88
2015,85 and over,,National Savings and Investments (NS&I) savings account,2
2015,85 and over,,Basic bank account,1
2015,85 and over,,Post Office Card Account (POCA),8
2015,85 and over,,Individual Savings Account (ISA),36
2015,85 and over,,Other bank or building society account,38
2015,85 and over,,Stocks and shares or member of a share club,18
2015,85 and over,,Unit trusts,4
2015,85 and over,,Endowment policy (not linked),0
2015,85 and over,,Premium bonds,23
2015,85 and over,,National savings bonds,6
2015,85 and over,,Any other type of asset,1
2015,85 and over,,,93
2015,85 and over,,Any direct payment account (including POCAs),93
2015,85 and over,,Any direct payment account (excluding POCAs),91
2015,,Female,Current account,91
2015,,Female,National Savings and Investments (NS&I) savings account,2
2015,,Female,Basic bank account,5
2015,,Female,Post Office Card Account (POCA),3
2015,,Female,Individual Savings Account (ISA),33
2015,,Female,Other bank or building society account,37
2015,,Female,Stocks and shares or member of a share club,10
2015,,Female,Unit trusts,2
2015,,Female,Premium bonds,14
2015,,Female,National savings bonds,3
2015,,Female,Company share scheme or profit sharing,1
2015,,Female,Credit unions,1
2015,,Female,,95
2015,,Female,Any direct payment account (including POCAs),95
2015,,Female,Any direct payment account (excluding POCAs),94
2015,16 to 24,Female,Current account,87
2015,16 to 24,Female,National Savings and Investments (NS&I) savings account,1
2015,16 to 24,Female,Basic bank account,5
2015,16 to 24,Female,Post Office Card Account (POCA),1
2015,16 to 24,Female,Individual Savings Account (ISA),15
2015,16 to 24,Female,Other bank or building society account,25
2015,16 to 24,Female,Stocks and shares or member of a share club,2
2015,16 to 24,Female,Unit trusts,0
2015,16 to 24,Female,Endowment policy (not linked),0
2015,16 to 24,Female,Premium bonds,4
2015,16 to 24,Female,Company share scheme or profit sharing,1
2015,16 to 24,Female,,91
2015,16 to 24,Female,Any direct payment account (including POCAs),91
2015,16 to 24,Female,Any direct payment account (excluding POCAs),91
2015,25 to 34,Female,Current account,91
2015,25 to 34,Female,National Savings and Investments (NS&I) savings account,2
2015,25 to 34,Female,Basic bank account,6
2015,25 to 34,Female,Post Office Card Account (POCA),1
2015,25 to 34,Female,Individual Savings Account (ISA),25
2015,25 to 34,Female,Other bank or building society account,32
2015,25 to 34,Female,Stocks and shares or member of a share club,3
2015,25 to 34,Female,Endowment policy (not linked),0
2015,25 to 34,Female,Premium bonds,4
2015,25 to 34,Female,Company share scheme or profit sharing,1
2015,25 to 34,Female,Credit unions,2
2015,25 to 34,Female,,95
2015,25 to 34,Female,Any direct payment account (including POCAs),95
2015,25 to 34,Female,Any direct payment account (excluding POCAs),95
2015,35 to 44,Female,Current account,91
2015,35 to 44,Female,National Savings and Investments (NS&I) savings account,2
2015,35 to 44,Female,Basic bank account,7
2015,35 to 44,Female,Post Office Card Account (POCA),2
2015,35 to 44,Female,Individual Savings Account (ISA),28
2015,35 to 44,Female,Other bank or building society account,36
2015,35 to 44,Female,Stocks and shares or member of a share club,6
2015,35 to 44,Female,Unit trusts,1
2015,35 to 44,Female,Premium bonds,8
2015,35 to 44,Female,National savings bonds,1
2015,35 to 44,Female,Company share scheme or profit sharing,2
2015,35 to 44,Female,Credit unions,2
2015,35 to 44,Female,,96
2015,35 to 44,Female,Any direct payment account (including POCAs),95
2015,35 to 44,Female,Any direct payment account (excluding POCAs),95
2015,45 to 54,Female,Current account,92
2015,45 to 54,Female,National Savings and Investments (NS&I) savings account,3
2015,45 to 54,Female,Basic bank account,6
2015,45 to 54,Female,Post Office Card Account (POCA),3
2015,45 to 54,Female,Individual Savings Account (ISA),33
2015,45 to 54,Female,Other bank or building society account,39
2015,45 to 54,Female,Stocks and shares or member of a share club,11
2015,45 to 54,Female,Unit trusts,2
2015,45 to 54,Female,Endowment policy (not linked),1
2015,45 to 54,Female,Premium bonds,15
2015,45 to 54,Female,National savings bonds,1
2015,45 to 54,Female,Company share scheme or profit sharing,2
2015,45 to 54,Female,Credit unions,2
2015,45 to 54,Female,Any other type of asset,1
2015,45 to 54,Female,,96
2015,45 to 54,Female,Any direct payment account (including POCAs),96
2015,45 to 54,Female,Any direct payment account (excluding POCAs),94
2015,55 to 59,Female,Current account,94
2015,55 to 59,Female,National Savings and Investments (NS&I) savings account,2
2015,55 to 59,Female,Basic bank account,4
2015,55 to 59,Female,Post Office Card Account (POCA),3
2015,55 to 59,Female,Individual Savings Account (ISA),42
2015,55 to 59,Female,Other bank or building society account,40
2015,55 to 59,Female,Stocks and shares or member of a share club,14
2015,55 to 59,Female,Unit trusts,3
2015,55 to 59,Female,Endowment policy (not linked),1
2015,55 to 59,Female,Premium bonds,21
2015,55 to 59,Female,National savings bonds,2
2015,55 to 59,Female,Company share scheme or profit sharing,2
2015,55 to 59,Female,Credit unions,2
2015,55 to 59,Female,Any other type of asset,1
2015,55 to 59,Female,,96
2015,55 to 59,Female,Any direct payment account (including POCAs),96
2015,55 to 59,Female,Any direct payment account (excluding POCAs),95
2015,60 to 64,Female,Current account,91
2015,60 to 64,Female,National Savings and Investments (NS&I) savings account,3
2015,60 to 64,Female,Basic bank account,5
2015,60 to 64,Female,Post Office Card Account (POCA),3
2015,60 to 64,Female,Individual Savings Account (ISA),44
2015,60 to 64,Female,Other bank or building society account,42
2015,60 to 64,Female,Stocks and shares or member of a share club,16
2015,60 to 64,Female,Unit trusts,4
2015,60 to 64,Female,Premium bonds,23
2015,60 to 64,Female,National savings bonds,4
2015,60 to 64,Female,Company share scheme or profit sharing,1
2015,60 to 64,Female,Credit unions,1
2015,60 to 64,Female,Any other type of asset,1
2015,60 to 64,Female,,96
2015,60 to 64,Female,Any direct payment account (including POCAs),95
2015,60 to 64,Female,Any direct payment account (excluding POCAs),93
2015,65 to 74,Female,Current account,92
2015,65 to 74,Female,National Savings and Investments (NS&I) savings account,4
2015,65 to 74,Female,Basic bank account,3
2015,65 to 74,Female,Post Office Card Account (POCA),4
2015,65 to 74,Female,Individual Savings Account (ISA),51
2015,65 to 74,Female,Other bank or building society account,43
2015,65 to 74,Female,Stocks and shares or member of a share club,18
2015,65 to 74,Female,Unit trusts,5
2015,65 to 74,Female,Premium bonds,25
2015,65 to 74,Female,National savings bonds,10
2015,65 to 74,Female,Credit unions,1
2015,65 to 74,Female,Any other type of asset,1
2015,65 to 74,Female,,96
2015,65 to 74,Female,Any direct payment account (including POCAs),95
2015,65 to 74,Female,Any direct payment account (excluding POCAs),94
2015,75 to 84,Female,Current account,90
2015,75 to 84,Female,National Savings and Investments (NS&I) savings account,3
2015,75 to 84,Female,Basic bank account,3
2015,75 to 84,Female,Post Office Card Account (POCA),6
2015,75 to 84,Female,Individual Savings Account (ISA),42
2015,75 to 84,Female,Other bank or building society account,39
2015,75 to 84,Female,Stocks and shares or member of a share club,16
2015,75 to 84,Female,Unit trusts,3
2015,75 to 84,Female,Endowment policy (not linked),0
2015,75 to 84,Female,Premium bonds,23
2015,75 to 84,Female,National savings bonds,9
2015,75 to 84,Female,,94
2015,75 to 84,Female,Any direct payment account (including POCAs),94
2015,75 to 84,Female,Any direct payment account (excluding POCAs),93
2015,85 and over,Female,Current account,87
2015,85 and over,Female,National Savings and Investments (NS&I) savings account,2
2015,85 and over,Female,Basic bank account,1
2015,85 and over,Female,Post Office Card Account (POCA),9
2015,85 and over,Female,Individual Savings Account (ISA),32
2015,85 and over,Female,Other bank or building society account,38
2015,85 and over,Female,Stocks and shares or member of a share club,14
2015,85 and over,Female,Unit trusts,3
2015,85 and over,Female,Endowment policy (not linked),0
2015,85 and over,Female,Premium bonds,20
2015,85 and over,Female,National savings bonds,4
2015,85 and over,Female,Any other type of asset,1
2015,85 and over,Female,,92
2015,85 and over,Female,Any direct payment account (including POCAs),92
2015,85 and over,Female,Any direct payment account (excluding POCAs),89
2015,,Male,Current account,91
2015,,Male,National Savings and Investments (NS&I) savings account,3
2015,,Male,Basic bank account,5
2015,,Male,Post Office Card Account (POCA),2
2015,,Male,Individual Savings Account (ISA),32
2015,,Male,Other bank or building society account,36
2015,,Male,Stocks and shares or member of a share club,12
2015,,Male,Unit trusts,3
2015,,Male,Premium bonds,14
2015,,Male,National savings bonds,3
2015,,Male,Company share scheme or profit sharing,2
2015,,Male,Credit unions,1
2015,,Male,Any other type of asset,1
2015,,Male,,95
2015,,Male,Any direct payment account (including POCAs),94
2015,,Male,Any direct payment account (excluding POCAs),93
2015,16 to 24,Male,Current account,83
2015,16 to 24,Male,National Savings and Investments (NS&I) savings account,1
2015,16 to 24,Male,Basic bank account,6
2015,16 to 24,Male,Post Office Card Account (POCA),1
2015,16 to 24,Male,Individual Savings Account (ISA),12
