Year,Sex,Age,Occupation category,Occupation sub-category,Value
2006,,18 to 21,"Process, plant and machine operatives",,7.11
2006,,22 to 29,"Process, plant and machine operatives",,8.6
2006,,30 to 39,"Process, plant and machine operatives",,9.53
2006,,30 to 49,"Process, plant and machine operatives",,9.76
2006,,50 to 59,"Process, plant and machine operatives",,9.26
2006,,60 and over,"Process, plant and machine operatives",,8.7
2006,,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",7.04
2006,,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",8.67
2006,,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",9.96
2006,,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",10.32
2006,,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",9.78
2006,,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",9.28
2006,,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.42
2006,,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.46
2006,,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.01
2006,,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.09
2006,,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.76
2006,,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.31
2006,,18 to 21,Elementary occupations,,6.05
2006,,22 to 29,Elementary occupations,,6.93
2006,,30 to 39,Elementary occupations,,7.87
2006,,30 to 49,Elementary occupations,,7.86
2006,,50 to 59,Elementary occupations,,7.51
2006,,60 and over,Elementary occupations,,7.19
2006,,18 to 21,Elementary occupations,Elementary trades and related occupations,6.54
2006,,22 to 29,Elementary occupations,Elementary trades and related occupations,7.45
2006,,30 to 39,Elementary occupations,Elementary trades and related occupations,8.42
2006,,30 to 49,Elementary occupations,Elementary trades and related occupations,8.51
2006,,50 to 59,Elementary occupations,Elementary trades and related occupations,8.19
2006,,60 and over,Elementary occupations,Elementary trades and related occupations,7.88
2006,,18 to 21,Elementary occupations,Elementary administration and service occupations,5.76
2006,,22 to 29,Elementary occupations,Elementary administration and service occupations,6.52
2006,,30 to 39,Elementary occupations,Elementary administration and service occupations,7.4
2006,,30 to 49,Elementary occupations,Elementary administration and service occupations,7.38
2006,,50 to 59,Elementary occupations,Elementary administration and service occupations,7.12
2006,,60 and over,Elementary occupations,Elementary administration and service occupations,6.88
2006,Male,,,,14.29
2006,Male,18 to 21,,,6.89
2006,Male,22 to 29,,,10.75
2006,Male,30 to 39,,,15.02
2006,Male,30 to 49,,,16.69
2006,Male,50 to 59,,,15.49
2006,Male,60 and over,,,12.85
2006,Male,18 to 21,"Managers, directors and senior officials",,8.48
2006,Male,22 to 29,"Managers, directors and senior officials",,14.21
2006,Male,30 to 39,"Managers, directors and senior officials",,21.65
2006,Male,30 to 49,"Managers, directors and senior officials",,24.96
2006,Male,50 to 59,"Managers, directors and senior officials",,24.54
2006,Male,60 and over,"Managers, directors and senior officials",,21.1
2006,Male,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,8.76
2006,Male,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,15.15
2006,Male,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,22.59
2006,Male,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,25.99
2006,Male,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,25.52
2006,Male,60 and over,"Managers, directors and senior officials",Corporate managers and directors,21.81
2006,Male,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,7.85
2006,Male,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.62
2006,Male,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,14.81
2006,Male,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,17.86
2006,Male,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,18
2006,Male,60 and over,"Managers, directors and senior officials",Other managers and proprietors,17.94
2006,Male,18 to 21,Professional occupations,,7.8
2006,Male,22 to 29,Professional occupations,,15.47
2006,Male,30 to 39,Professional occupations,,20.47
2006,Male,30 to 49,Professional occupations,,22.98
2006,Male,50 to 59,Professional occupations,,22.56
2006,Male,60 and over,Professional occupations,,20.86
2006,Male,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",7.35
2006,Male,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",14.26
2006,Male,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",18.88
2006,Male,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",19.71
2006,Male,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",19.47
2006,Male,60 and over,Professional occupations,"Science, research, engineering and technology professionals",15.67
2006,Male,22 to 29,Professional occupations,Health professionals,19.18
2006,Male,30 to 39,Professional occupations,Health professionals,28.36
2006,Male,30 to 49,Professional occupations,Health professionals,43.37
2006,Male,50 to 59,Professional occupations,Health professionals,42.66
2006,Male,60 and over,Professional occupations,Health professionals,42.42
2006,Male,18 to 21,Professional occupations,Teaching and educational professionals,9.66
2006,Male,22 to 29,Professional occupations,Teaching and educational professionals,14.68
2006,Male,30 to 39,Professional occupations,Teaching and educational professionals,18.54
2006,Male,30 to 49,Professional occupations,Teaching and educational professionals,21.55
2006,Male,50 to 59,Professional occupations,Teaching and educational professionals,23.82
2006,Male,60 and over,Professional occupations,Teaching and educational professionals,23.53
2006,Male,18 to 21,Professional occupations,"Business, media and public service professionals",7.32
2006,Male,22 to 29,Professional occupations,"Business, media and public service professionals",17.3
2006,Male,30 to 39,Professional occupations,"Business, media and public service professionals",22.81
2006,Male,30 to 49,Professional occupations,"Business, media and public service professionals",23.56
2006,Male,50 to 59,Professional occupations,"Business, media and public service professionals",20.03
2006,Male,60 and over,Professional occupations,"Business, media and public service professionals",17.94
2006,Male,18 to 21,Associate professional and technical occupations,,9.24
2006,Male,22 to 29,Associate professional and technical occupations,,12.83
2006,Male,30 to 39,Associate professional and technical occupations,,15.39
2006,Male,30 to 49,Associate professional and technical occupations,,16.74
2006,Male,50 to 59,Associate professional and technical occupations,,16.08
2006,Male,60 and over,Associate professional and technical occupations,,14
2006,Male,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",8.05
2006,Male,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.22
2006,Male,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",14.06
2006,Male,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",14.74
2006,Male,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.85
2006,Male,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.54
2006,Male,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,8.13
2006,Male,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,11.11
2006,Male,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,13.14
2006,Male,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,13.9
2006,Male,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,13.62
2006,Male,60 and over,Associate professional and technical occupations,Health and social care associate professionals,13.39
2006,Male,18 to 21,Associate professional and technical occupations,Protective service occupations,11.49
2006,Male,22 to 29,Associate professional and technical occupations,Protective service occupations,12.59
2006,Male,30 to 39,Associate professional and technical occupations,Protective service occupations,14.63
2006,Male,30 to 49,Associate professional and technical occupations,Protective service occupations,17.1
2006,Male,50 to 59,Associate professional and technical occupations,Protective service occupations,15.97
2006,Male,60 and over,Associate professional and technical occupations,Protective service occupations,11.76
2006,Male,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",14.71
2006,Male,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.27
2006,Male,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",18.83
2006,Male,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",18.27
2006,Male,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,8.38
2006,Male,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,13.69
2006,Male,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,17.44
2006,Male,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,18.26
2006,Male,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,17.72
2006,Male,60 and over,Associate professional and technical occupations,Business and public service associate professionals,14.44
2006,Male,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,7.06
2006,Male,22 to 29,Administrative and secretarial occupations,,9.27
2006,Male,30 to 39,Administrative and secretarial occupations,,11.04
2006,Male,30 to 49,Administrative and secretarial occupations,,11.38
2006,Male,50 to 59,Administrative and secretarial occupations,,11.05
2006,Male,60 and over,Administrative and secretarial occupations,,10.04
2006,Male,18 to 21,Administrative and secretarial occupations,Administrative occupations,7.08
2006,Male,22 to 29,Administrative and secretarial occupations,Administrative occupations,9.29
2006,Male,30 to 39,Administrative and secretarial occupations,Administrative occupations,11.07
2006,Male,30 to 49,Administrative and secretarial occupations,Administrative occupations,11.41
2006,Male,50 to 59,Administrative and secretarial occupations,Administrative occupations,10.89
2006,Male,60 and over,Administrative and secretarial occupations,Administrative occupations,10.01
2006,Male,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,6.61
2006,Male,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,8.48
2006,Male,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,10.39
2006,Male,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,10.41
2006,Male,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,14.2
2006,Male,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,10.47
2006,Male,18 to 21,Skilled trades occupations,,7.14
2006,Male,22 to 29,Skilled trades occupations,,9.56
2006,Male,30 to 39,Skilled trades occupations,,11.1
2006,Male,30 to 49,Skilled trades occupations,,11.6
2006,Male,50 to 59,Skilled trades occupations,,11.17
2006,Male,60 and over,Skilled trades occupations,,10.59
2006,Male,18 to 21,Skilled trades occupations,Skilled agricultural and related trades,6.57
2006,Male,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,7.89
2006,Male,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,8.58
2006,Male,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,8.52
2006,Male,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,7.87
2006,Male,60 and over,Skilled trades occupations,Skilled agricultural and related trades,8.09
2006,Male,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",7.45
2006,Male,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.46
2006,Male,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.82
2006,Male,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",12.26
2006,Male,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.72
2006,Male,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.95
2006,Male,18 to 21,Skilled trades occupations,Skilled construction and building trades,7.28
2006,Male,22 to 29,Skilled trades occupations,Skilled construction and building trades,9.76
2006,Male,30 to 39,Skilled trades occupations,Skilled construction and building trades,11.09
2006,Male,30 to 49,Skilled trades occupations,Skilled construction and building trades,11.31
2006,Male,50 to 59,Skilled trades occupations,Skilled construction and building trades,11.06
2006,Male,60 and over,Skilled trades occupations,Skilled construction and building trades,11.18
2006,Male,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",6.04
2006,Male,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",7.53
2006,Male,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",9.39
2006,Male,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",9.98
2006,Male,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",9.73
2006,Male,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",9.88
2006,Male,18 to 21,"Caring, leisure and other service occupations",,7.05
2006,Male,22 to 29,"Caring, leisure and other service occupations",,8.16
2006,Male,30 to 39,"Caring, leisure and other service occupations",,9.27
2006,Male,30 to 49,"Caring, leisure and other service occupations",,9.5
2006,Male,50 to 59,"Caring, leisure and other service occupations",,8.91
2006,Male,60 and over,"Caring, leisure and other service occupations",,8.26
2006,Male,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,7.14
2006,Male,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,8.1
2006,Male,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,8.32
2006,Male,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,8.91
2006,Male,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,8.92
2006,Male,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,8.54
2006,Male,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7
2006,Male,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.25
2006,Male,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.5
2006,Male,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.24
2006,Male,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.9
2006,Male,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.08
2006,Male,18 to 21,Sales and customer service occupations,,6.15
2006,Male,22 to 29,Sales and customer service occupations,,7.45
2006,Male,30 to 39,Sales and customer service occupations,,8.68
2006,Male,30 to 49,Sales and customer service occupations,,8.81
2006,Male,50 to 59,Sales and customer service occupations,,8.16
2006,Male,60 and over,Sales and customer service occupations,,7.68
2006,Male,18 to 21,Sales and customer service occupations,Sales occupations,6.02
2006,Male,22 to 29,Sales and customer service occupations,Sales occupations,7.2
2006,Male,30 to 39,Sales and customer service occupations,Sales occupations,8.57
2006,Male,30 to 49,Sales and customer service occupations,Sales occupations,8.49
2006,Male,50 to 59,Sales and customer service occupations,Sales occupations,7.97
2006,Male,60 and over,Sales and customer service occupations,Sales occupations,7.72
2006,Male,18 to 21,Sales and customer service occupations,Customer service occupations,6.73
2006,Male,22 to 29,Sales and customer service occupations,Customer service occupations,8.11
2006,Male,30 to 39,Sales and customer service occupations,Customer service occupations,9.04
2006,Male,30 to 49,Sales and customer service occupations,Customer service occupations,10.09
2006,Male,50 to 59,Sales and customer service occupations,Customer service occupations,9.03
2006,Male,60 and over,Sales and customer service occupations,Customer service occupations,7.36
2006,Male,18 to 21,"Process, plant and machine operatives",,7.17
2006,Male,22 to 29,"Process, plant and machine operatives",,8.77
2006,Male,30 to 39,"Process, plant and machine operatives",,9.72
2006,Male,30 to 49,"Process, plant and machine operatives",,10.05
2006,Male,50 to 59,"Process, plant and machine operatives",,9.52
2006,Male,60 and over,"Process, plant and machine operatives",,8.81
2006,Male,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",7.1
2006,Male,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",8.92
2006,Male,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",10.35
2006,Male,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",10.93
2006,Male,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",10.46
2006,Male,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",9.66
2006,Male,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.49
2006,Male,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.51
2006,Male,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.04
2006,Male,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.16
2006,Male,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.79
2006,Male,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.32
2006,Male,18 to 21,Elementary occupations,,6.26
2006,Male,22 to 29,Elementary occupations,,7.21
2006,Male,30 to 39,Elementary occupations,,8.32
2006,Male,30 to 49,Elementary occupations,,8.62
2006,Male,50 to 59,Elementary occupations,,8.22
2006,Male,60 and over,Elementary occupations,,7.71
2006,Male,18 to 21,Elementary occupations,Elementary trades and related occupations,6.6
2006,Male,22 to 29,Elementary occupations,Elementary trades and related occupations,7.6
2006,Male,30 to 39,Elementary occupations,Elementary trades and related occupations,8.57
2006,Male,30 to 49,Elementary occupations,Elementary trades and related occupations,8.84
2006,Male,50 to 59,Elementary occupations,Elementary trades and related occupations,8.5
2006,Male,60 and over,Elementary occupations,Elementary trades and related occupations,8.04
2006,Male,18 to 21,Elementary occupations,Elementary administration and service occupations,5.92
2006,Male,22 to 29,Elementary occupations,Elementary administration and service occupations,6.76
2006,Male,30 to 39,Elementary occupations,Elementary administration and service occupations,7.98
2006,Male,30 to 49,Elementary occupations,Elementary administration and service occupations,8.36
2006,Male,50 to 59,Elementary occupations,Elementary administration and service occupations,7.94
2006,Male,60 and over,Elementary occupations,Elementary administration and service occupations,7.47
2006,Female,,,,11.24
2006,Female,18 to 21,,,6.4
2006,Female,22 to 29,,,10.11
2006,Female,30 to 39,,,12.67
2006,Female,30 to 49,,,12.05
2006,Female,50 to 59,,,11.51
2006,Female,60 and over,,,9.74
2006,Female,18 to 21,"Managers, directors and senior officials",,7.58
2006,Female,22 to 29,"Managers, directors and senior officials",,12.55
2006,Female,30 to 39,"Managers, directors and senior officials",,17.81
2006,Female,30 to 49,"Managers, directors and senior officials",,17.62
2006,Female,50 to 59,"Managers, directors and senior officials",,15.83
2006,Female,60 and over,"Managers, directors and senior officials",,13.58
2006,Female,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,7.59
2006,Female,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,13.39
2006,Female,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,18.49
2006,Female,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,18.43
2006,Female,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,16.59
2006,Female,60 and over,"Managers, directors and senior officials",Corporate managers and directors,14.14
2006,Female,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,7.56
2006,Female,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,9.63
2006,Female,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,13.41
2006,Female,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,13.23
2006,Female,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,12.3
2006,Female,60 and over,"Managers, directors and senior officials",Other managers and proprietors,11.18
2006,Female,18 to 21,Professional occupations,,13.24
2006,Female,22 to 29,Professional occupations,,15.22
2006,Female,30 to 39,Professional occupations,,19.01
2006,Female,30 to 49,Professional occupations,,20.14
2006,Female,50 to 59,Professional occupations,,20.62
2006,Female,60 and over,Professional occupations,,19.84
2006,Female,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",10.9
2006,Female,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",13.91
2006,Female,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",17.01
2006,Female,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",19.66
2006,Female,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",18.03
2006,Female,60 and over,Professional occupations,"Science, research, engineering and technology professionals",14.47
2006,Female,22 to 29,Professional occupations,Health professionals,17.02
2006,Female,30 to 39,Professional occupations,Health professionals,24.99
2006,Female,30 to 49,Professional occupations,Health professionals,32.02
2006,Female,50 to 59,Professional occupations,Health professionals,30.38
2006,Female,60 and over,Professional occupations,Health professionals,25.16
2006,Female,18 to 21,Professional occupations,Teaching and educational professionals,12.96
2006,Female,22 to 29,Professional occupations,Teaching and educational professionals,14.77
2006,Female,30 to 39,Professional occupations,Teaching and educational professionals,18.07
2006,Female,30 to 49,Professional occupations,Teaching and educational professionals,19.61
2006,Female,50 to 59,Professional occupations,Teaching and educational professionals,21.11
2006,Female,60 and over,Professional occupations,Teaching and educational professionals,21.01
2006,Female,18 to 21,Professional occupations,"Business, media and public service professionals",9.12
2006,Female,22 to 29,Professional occupations,"Business, media and public service professionals",15.94
2006,Female,30 to 39,Professional occupations,"Business, media and public service professionals",19.61
2006,Female,30 to 49,Professional occupations,"Business, media and public service professionals",17.5
2006,Female,50 to 59,Professional occupations,"Business, media and public service professionals",16.08
2006,Female,60 and over,Professional occupations,"Business, media and public service professionals",15.79
2006,Female,18 to 21,Associate professional and technical occupations,,7.5
2006,Female,22 to 29,Associate professional and technical occupations,,11.6
2006,Female,30 to 39,Associate professional and technical occupations,,13.64
2006,Female,30 to 49,Associate professional and technical occupations,,13.76
2006,Female,50 to 59,Associate professional and technical occupations,,13.52
2006,Female,60 and over,Associate professional and technical occupations,,12.94
2006,Female,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",7.18
2006,Female,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.07
2006,Female,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.1
2006,Female,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.08
2006,Female,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.96
2006,Female,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.16
2006,Female,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,7.21
2006,Female,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,11.82
2006,Female,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,13.18
2006,Female,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,13.6
2006,Female,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,13.71
2006,Female,60 and over,Associate professional and technical occupations,Health and social care associate professionals,13.01
2006,Female,18 to 21,Associate professional and technical occupations,Protective service occupations,9.56
2006,Female,22 to 29,Associate professional and technical occupations,Protective service occupations,12.12
2006,Female,30 to 39,Associate professional and technical occupations,Protective service occupations,14.37
2006,Female,30 to 49,Associate professional and technical occupations,Protective service occupations,15.47
2006,Female,50 to 59,Associate professional and technical occupations,Protective service occupations,14.19
2006,Female,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",7.62
2006,Female,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",10.99
2006,Female,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",16.71
2006,Female,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",15.59
2006,Female,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",16.68
2006,Female,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,7.47
2006,Female,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,11.58
2006,Female,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,13.81
2006,Female,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,13.94
2006,Female,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,13.26
2006,Female,60 and over,Associate professional and technical occupations,Business and public service associate professionals,12.86
2006,Female,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,6.95
2006,Female,22 to 29,Administrative and secretarial occupations,,8.8
2006,Female,30 to 39,Administrative and secretarial occupations,,9.88
2006,Female,30 to 49,Administrative and secretarial occupations,,9.61
2006,Female,50 to 59,Administrative and secretarial occupations,,9.35
2006,Female,60 and over,Administrative and secretarial occupations,,8.92
2006,Female,18 to 21,Administrative and secretarial occupations,Administrative occupations,7.06
2006,Female,22 to 29,Administrative and secretarial occupations,Administrative occupations,8.8
2006,Female,30 to 39,Administrative and secretarial occupations,Administrative occupations,9.79
2006,Female,30 to 49,Administrative and secretarial occupations,Administrative occupations,9.55
2006,Female,50 to 59,Administrative and secretarial occupations,Administrative occupations,9.21
2006,Female,60 and over,Administrative and secretarial occupations,Administrative occupations,8.81
2006,Female,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,6.41
2006,Female,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,8.8
2006,Female,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,10.17
2006,Female,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,9.77
2006,Female,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,9.66
2006,Female,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,9.11
2006,Female,18 to 21,Skilled trades occupations,,6.54
2006,Female,22 to 29,Skilled trades occupations,,8.62
2006,Female,30 to 39,Skilled trades occupations,,8.38
2006,Female,30 to 49,Skilled trades occupations,,7.79
2006,Female,50 to 59,Skilled trades occupations,,7.15
2006,Female,60 and over,Skilled trades occupations,,7.02
2006,Female,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,7.95
2006,Female,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,8.61
2006,Female,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,7.24
2006,Female,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,7.38
2006,Female,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",7.4
2006,Female,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",12.94
2006,Female,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.54
2006,Female,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.86
2006,Female,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.16
2006,Female,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",8.66
2006,Female,22 to 29,Skilled trades occupations,Skilled construction and building trades,8.95
2006,Female,30 to 39,Skilled trades occupations,Skilled construction and building trades,11.93
2006,Female,30 to 49,Skilled trades occupations,Skilled construction and building trades,8.49
2006,Female,50 to 59,Skilled trades occupations,Skilled construction and building trades,9.48
2006,Female,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",6.38
2006,Female,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",7.12
2006,Female,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",7.54
2006,Female,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",7.24
2006,Female,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",6.73
2006,Female,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",6.84
2006,Female,18 to 21,"Caring, leisure and other service occupations",,6.32
2006,Female,22 to 29,"Caring, leisure and other service occupations",,7.43
2006,Female,30 to 39,"Caring, leisure and other service occupations",,8.01
2006,Female,30 to 49,"Caring, leisure and other service occupations",,8.07
2006,Female,50 to 59,"Caring, leisure and other service occupations",,7.93
2006,Female,60 and over,"Caring, leisure and other service occupations",,7.86
2006,Female,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,6.33
2006,Female,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,7.35
2006,Female,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,7.76
2006,Female,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,7.93
2006,Female,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,7.96
2006,Female,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,7.92
2006,Female,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",6.3
2006,Female,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.73
2006,Female,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.54
2006,Female,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.51
2006,Female,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.66
2006,Female,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.56
2006,Female,18 to 21,Sales and customer service occupations,,6.08
2006,Female,22 to 29,Sales and customer service occupations,,7.19
2006,Female,30 to 39,Sales and customer service occupations,,7.58
