Year,Units,Broad category area of spending,Lower level categories area of spending,Value
2004,Percentage of GDP,Health,Outpatient services,0.507023088
2005,Percentage of GDP,Health,Outpatient services,0.539293608
2006,Percentage of GDP,Health,Outpatient services,0.597360015
2007,Percentage of GDP,Health,Outpatient services,0.598513474
2008,Percentage of GDP,Health,Outpatient services,0.626966595
2009,Percentage of GDP,Health,Outpatient services,0.796377963
2010,Percentage of GDP,Health,Outpatient services,0.790500151
2011,Percentage of GDP,Health,Outpatient services,0.808850277
2012,Percentage of GDP,Health,Outpatient services,0.82924155
2013,Percentage of GDP,Health,Outpatient services,0.790897669
2014,Percentage of GDP,Health,Outpatient services,0.828906214
2015,Percentage of GDP,Health,Outpatient services,0.781209877
2000,Percentage of GDP,Health,Hospital services,2.884842817
2001,Percentage of GDP,Health,Hospital services,3.075196962
2002,Percentage of GDP,Health,Hospital services,3.270928614
2003,Percentage of GDP,Health,Hospital services,3.478232943
2004,Percentage of GDP,Health,Hospital services,3.823281354
2005,Percentage of GDP,Health,Hospital services,4.010571062
2006,Percentage of GDP,Health,Hospital services,4.263288013
2007,Percentage of GDP,Health,Hospital services,4.431298403
2008,Percentage of GDP,Health,Hospital services,4.89899475
2009,Percentage of GDP,Health,Hospital services,5.496720393
2010,Percentage of GDP,Health,Hospital services,5.566885947
2011,Percentage of GDP,Health,Hospital services,5.543221093
2012,Percentage of GDP,Health,Hospital services,5.496667305
2013,Percentage of GDP,Health,Hospital services,5.569565824
2014,Percentage of GDP,Health,Hospital services,5.603746307
2015,Percentage of GDP,Health,Hospital services,5.678874295
2000,Percentage of GDP,Health,Public health services,0.009912375
2001,Percentage of GDP,Health,Public health services,0.011133081
2002,Percentage of GDP,Health,Public health services,0.011516667
2003,Percentage of GDP,Health,Public health services,0.012531336
2004,Percentage of GDP,Health,Public health services,0.013656773
2005,Percentage of GDP,Health,Public health services,0.018676577
2006,Percentage of GDP,Health,Public health services,0.016306991
2007,Percentage of GDP,Health,Public health services,0.014565971
2008,Percentage of GDP,Health,Public health services,0.016350182
2009,Percentage of GDP,Health,Public health services,0.023926543
2010,Percentage of GDP,Health,Public health services,0.031507354
2011,Percentage of GDP,Health,Public health services,0.029205591
2012,Percentage of GDP,Health,Public health services,0.030146985
2013,Percentage of GDP,Health,Public health services,0.15552143
2014,Percentage of GDP,Health,Public health services,0.204720382
2015,Percentage of GDP,Health,Public health services,0.219829442
2000,Percentage of GDP,Health,R&D Health,0.057970301
2001,Percentage of GDP,Health,R&D Health,0.078998209
2002,Percentage of GDP,Health,R&D Health,0.089856029
2003,Percentage of GDP,Health,R&D Health,0.097731828
2004,Percentage of GDP,Health,R&D Health,0.091537291
2005,Percentage of GDP,Health,R&D Health,0.095829335
2006,Percentage of GDP,Health,R&D Health,0.103840588
2007,Percentage of GDP,Health,R&D Health,0.110724139
2008,Percentage of GDP,Health,R&D Health,0.138176189
2009,Percentage of GDP,Health,R&D Health,0.154120348
2010,Percentage of GDP,Health,R&D Health,0.190100237
2011,Percentage of GDP,Health,R&D Health,0.11069208
2012,Percentage of GDP,Health,R&D Health,0.080638911
2013,Percentage of GDP,Health,R&D Health,0.072204384
2014,Percentage of GDP,Health,R&D Health,0.083340378
2015,Percentage of GDP,Health,R&D Health,0.16047761
2000,Percentage of GDP,Health,Health - not elsewhere classified.,0.046280535
2001,Percentage of GDP,Health,Health - not elsewhere classified.,0.048665564
2002,Percentage of GDP,Health,Health - not elsewhere classified.,0.043594163
2003,Percentage of GDP,Health,Health - not elsewhere classified.,0.049873459
2004,Percentage of GDP,Health,Health - not elsewhere classified.,0.059179351
2005,Percentage of GDP,Health,Health - not elsewhere classified.,0.068082984
2006,Percentage of GDP,Health,Health - not elsewhere classified.,0.059753473
2007,Percentage of GDP,Health,Health - not elsewhere classified.,0.059401851
2008,Percentage of GDP,Health,Health - not elsewhere classified.,0.046763807
2009,Percentage of GDP,Health,Health - not elsewhere classified.,0.088009103
2010,Percentage of GDP,Health,Health - not elsewhere classified.,0.067532522
2011,Percentage of GDP,Health,Health - not elsewhere classified.,0.0762237
2012,Percentage of GDP,Health,Health - not elsewhere classified.,0.186580773
2013,Percentage of GDP,Health,Health - not elsewhere classified.,0.224766159
2014,Percentage of GDP,Health,Health - not elsewhere classified.,0.271045884
2015,Percentage of GDP,Health,Health - not elsewhere classified.,0.282834508
2000,Percentage of GDP,Education,,3.451215394
2001,Percentage of GDP,Education,,3.761181413
2002,Percentage of GDP,Education,,4.25726282
2003,Percentage of GDP,Education,,4.234898953
2004,Percentage of GDP,Education,,4.376134604
2005,Percentage of GDP,Education,,4.607863495
2006,Percentage of GDP,Education,,4.912073288
2007,Percentage of GDP,Education,,5.022699587
2008,Percentage of GDP,Education,,5.357657373
2009,Percentage of GDP,Education,,5.865165281
2010,Percentage of GDP,Education,,6.0199581779999995
2011,Percentage of GDP,Education,,5.659407294
2012,Percentage of GDP,Education,,5.469540717
2013,Percentage of GDP,Education,,5.2215552139999994
2014,Percentage of GDP,Education,,5.292222359
2015,Percentage of GDP,Education,,5.071960786
2000,Percentage of GDP,Education,Pre-primary and primary education,1.07012629
2001,Percentage of GDP,Education,Pre-primary and primary education,1.200772782
2002,Percentage of GDP,Education,Pre-primary and primary education,1.350117737
2003,Percentage of GDP,Education,Pre-primary and primary education,1.268183819
2004,Percentage of GDP,Education,Pre-primary and primary education,1.330366574
2005,Percentage of GDP,Education,Pre-primary and primary education,1.399430514
2006,Percentage of GDP,Education,Pre-primary and primary education,1.511308607
2007,Percentage of GDP,Education,Pre-primary and primary education,1.510195326
2008,Percentage of GDP,Education,Pre-primary and primary education,1.594257084
2009,Percentage of GDP,Education,Pre-primary and primary education,1.741923897
2010,Percentage of GDP,Education,Pre-primary and primary education,1.79245748
2011,Percentage of GDP,Education,Pre-primary and primary education,1.684266168
2012,Percentage of GDP,Education,Pre-primary and primary education,1.535102716
2013,Percentage of GDP,Education,Pre-primary and primary education,1.443975988
2014,Percentage of GDP,Education,Pre-primary and primary education,1.380697545
2015,Percentage of GDP,Education,Pre-primary and primary education,1.350638019
2000,Percentage of GDP,Education,Secondary education,0.939488029
2001,Percentage of GDP,Education,Secondary education,1.037776477
2002,Percentage of GDP,Education,Secondary education,1.167282516
2003,Percentage of GDP,Education,Secondary education,1.153260761
2004,Percentage of GDP,Education,Secondary education,1.244673397
2005,Percentage of GDP,Education,Secondary education,1.322576103
2006,Percentage of GDP,Education,Secondary education,1.471414719
2007,Percentage of GDP,Education,Secondary education,1.506496935
2008,Percentage of GDP,Education,Secondary education,1.619182537
2009,Percentage of GDP,Education,Secondary education,1.822116598
2010,Percentage of GDP,Education,Secondary education,1.914379792
2011,Percentage of GDP,Education,Secondary education,1.923694178
2012,Percentage of GDP,Education,Secondary education,1.987706413
2013,Percentage of GDP,Education,Secondary education,2.104034622
2014,Percentage of GDP,Education,Secondary education,2.31499845
2015,Percentage of GDP,Education,Secondary education,2.197394343
2000,Percentage of GDP,Education,Post-secondary non-tertiary education,0.390137392
2001,Percentage of GDP,Education,Post-secondary non-tertiary education,0.44338995
2002,Percentage of GDP,Education,Post-secondary non-tertiary education,0.476152366
2003,Percentage of GDP,Education,Post-secondary non-tertiary education,0.47757615
2004,Percentage of GDP,Education,Post-secondary non-tertiary education,0.498656776
2005,Percentage of GDP,Education,Post-secondary non-tertiary education,0.62301002
2006,Percentage of GDP,Education,Post-secondary non-tertiary education,0.55251579
2007,Percentage of GDP,Education,Post-secondary non-tertiary education,0.575014466
2008,Percentage of GDP,Education,Post-secondary non-tertiary education,0.519890054
2009,Percentage of GDP,Education,Post-secondary non-tertiary education,0.604428618
2010,Percentage of GDP,Education,Post-secondary non-tertiary education,0.657899369
2011,Percentage of GDP,Education,Post-secondary non-tertiary education,0.601866497
2012,Percentage of GDP,Education,Post-secondary non-tertiary education,0.609892314
2013,Percentage of GDP,Education,Post-secondary non-tertiary education,0.536032389
2014,Percentage of GDP,Education,Post-secondary non-tertiary education,0.480101266
2015,Percentage of GDP,Education,Post-secondary non-tertiary education,0.453054078
2000,Percentage of GDP,Education,Tertiary education,0.396905152
2001,Percentage of GDP,Education,Tertiary education,0.417257209
2002,Percentage of GDP,Education,Tertiary education,0.452533439
2003,Percentage of GDP,Education,Tertiary education,0.465359671
2004,Percentage of GDP,Education,Tertiary education,0.495580927
2005,Percentage of GDP,Education,Tertiary education,0.538159886
2006,Percentage of GDP,Education,Tertiary education,0.524036796
2007,Percentage of GDP,Education,Tertiary education,0.552596527
2008,Percentage of GDP,Education,Tertiary education,0.651320363
2009,Percentage of GDP,Education,Tertiary education,0.73384675
2010,Percentage of GDP,Education,Tertiary education,0.719916638
2011,Percentage of GDP,Education,Tertiary education,0.589663766
2012,Percentage of GDP,Education,Tertiary education,0.624709358
2013,Percentage of GDP,Education,Tertiary education,0.491023314
2014,Percentage of GDP,Education,Tertiary education,0.47240664
2015,Percentage of GDP,Education,Tertiary education,0.342504012
2000,Percentage of GDP,Education,Education not definable by level,0.289988228
2001,Percentage of GDP,Education,Education not definable by level,0.310526295
2002,Percentage of GDP,Education,Education not definable by level,0.377122043
2003,Percentage of GDP,Education,Education not definable by level,0.406733169
2004,Percentage of GDP,Education,Education not definable by level,0.417392824
2005,Percentage of GDP,Education,Education not definable by level,0.402709953
2006,Percentage of GDP,Education,Education not definable by level,0.460090096
2007,Percentage of GDP,Education,Education not definable by level,0.48591169
2008,Percentage of GDP,Education,Education not definable by level,0.507884675
2009,Percentage of GDP,Education,Education not definable by level,0.486287585
2010,Percentage of GDP,Education,Education not definable by level,0.45506711
2011,Percentage of GDP,Education,Education not definable by level,0.425476297
2012,Percentage of GDP,Education,Education not definable by level,0.367120752
2013,Percentage of GDP,Education,Education not definable by level,0.322267206
2014,Percentage of GDP,Education,Education not definable by level,0.314395885
2015,Percentage of GDP,Education,Education not definable by level,0.31481355
2000,Percentage of GDP,Education,Subsidiary services to education,0.01476602
2001,Percentage of GDP,Education,Subsidiary services to education,0.014266343
2002,Percentage of GDP,Education,Subsidiary services to education,0.026091432
2003,Percentage of GDP,Education,Subsidiary services to education,0.027707477
2004,Percentage of GDP,Education,Subsidiary services to education,0.026206241
2005,Percentage of GDP,Education,Subsidiary services to education,0.032758596
2006,Percentage of GDP,Education,Subsidiary services to education,0.034069963
2007,Percentage of GDP,Education,Subsidiary services to education,0.02412489
2008,Percentage of GDP,Education,Subsidiary services to education,0.047163987
2009,Percentage of GDP,Education,Subsidiary services to education,0.072734303
2010,Percentage of GDP,Education,Subsidiary services to education,0.07756559
2011,Percentage of GDP,Education,Subsidiary services to education,0.053842386
2012,Percentage of GDP,Education,Subsidiary services to education,0.032768462
2013,Percentage of GDP,Education,Subsidiary services to education,0.028926427
2014,Percentage of GDP,Education,Subsidiary services to education,0.032620876
2015,Percentage of GDP,Education,Subsidiary services to education,0.029967116
2000,Percentage of GDP,Education,R&D Education,0.004716923
2001,Percentage of GDP,Education,R&D Education,0.006866511
2002,Percentage of GDP,Education,R&D Education,0.006506592
2003,Percentage of GDP,Education,R&D Education,0.004470979
2004,Percentage of GDP,Education,R&D Education,0.004429224
2005,Percentage of GDP,Education,R&D Education,0.003997861
2006,Percentage of GDP,Education,R&D Education,0.004542662
2007,Percentage of GDP,Education,R&D Education,0.004210476
2008,Percentage of GDP,Education,R&D Education,0.001943728
2009,Percentage of GDP,Education,R&D Education,0.001432013
2010,Percentage of GDP,Education,R&D Education,0.000938767
2011,Percentage of GDP,Education,R&D Education,0.000578329
2012,Percentage of GDP,Education,R&D Education,0.000854829
2013,Percentage of GDP,Education,R&D Education,0.001061008
2014,Percentage of GDP,Education,R&D Education,0.001029563
2015,Percentage of GDP,Education,R&D Education,0.063005066
2000,Percentage of GDP,Education,Education - not elsewhere classified.,0.345087359
2001,Percentage of GDP,Education,Education - not elsewhere classified.,0.330325846
2002,Percentage of GDP,Education,Education - not elsewhere classified.,0.401456696
2003,Percentage of GDP,Education,Education - not elsewhere classified.,0.431606927
2004,Percentage of GDP,Education,Education - not elsewhere classified.,0.358828643
2005,Percentage of GDP,Education,Education - not elsewhere classified.,0.285220563
2006,Percentage of GDP,Education,Education - not elsewhere classified.,0.354094656
2007,Percentage of GDP,Education,Education - not elsewhere classified.,0.364149276
2008,Percentage of GDP,Education,Education - not elsewhere classified.,0.416014946
2009,Percentage of GDP,Education,Education - not elsewhere classified.,0.402395518
2010,Percentage of GDP,Education,Education - not elsewhere classified.,0.401733433
2011,Percentage of GDP,Education,Education - not elsewhere classified.,0.380019675
2012,Percentage of GDP,Education,Education - not elsewhere classified.,0.311385872
2013,Percentage of GDP,Education,Education - not elsewhere classified.,0.294234259
2014,Percentage of GDP,Education,Education - not elsewhere classified.,0.295972135
2015,Percentage of GDP,Education,Education - not elsewhere classified.,0.320584602
2000,Percentage of GDP,Social protection,,9.974104776
2001,Percentage of GDP,Social protection,,10.41563058
2002,Percentage of GDP,Social protection,,10.80992099
2003,Percentage of GDP,Social protection,,11.39747069
2004,Percentage of GDP,Social protection,,11.90969059
2005,Percentage of GDP,Social protection,,12.11352017
2006,Percentage of GDP,Social protection,,12.17322683
2007,Percentage of GDP,Social protection,,12.56844157
2008,Percentage of GDP,Social protection,,13.48158261
2009,Percentage of GDP,Social protection,,15.42528087
2010,Percentage of GDP,Social protection,,15.79521745
2011,Percentage of GDP,Social protection,,15.93404973
2012,Percentage of GDP,Social protection,,16.53696055
2013,Percentage of GDP,Social protection,,16.45439062
2014,Percentage of GDP,Social protection,,16.31639866
2015,Percentage of GDP,Social protection,,16.28903336
2000,Percentage of GDP,Social protection,Sickness and disability,1.641010707
2001,Percentage of GDP,Social protection,Sickness and disability,1.761693402
2002,Percentage of GDP,Social protection,Sickness and disability,1.799137616
2003,Percentage of GDP,Social protection,Sickness and disability,1.814398946
2004,Percentage of GDP,Social protection,Sickness and disability,1.852891945
2005,Percentage of GDP,Social protection,Sickness and disability,1.881620339
2006,Percentage of GDP,Social protection,Sickness and disability,1.828479577
2007,Percentage of GDP,Social protection,Sickness and disability,1.863477022
2008,Percentage of GDP,Social protection,Sickness and disability,2.046230997
2009,Percentage of GDP,Social protection,Sickness and disability,2.285312981
2010,Percentage of GDP,Social protection,Sickness and disability,2.278503888
2011,Percentage of GDP,Social protection,Sickness and disability,2.203547352
2012,Percentage of GDP,Social protection,Sickness and disability,2.400646023
2013,Percentage of GDP,Social protection,Sickness and disability,2.469412257
2014,Percentage of GDP,Social protection,Sickness and disability,2.510073457
2015,Percentage of GDP,Social protection,Sickness and disability,2.626728867
2000,Percentage of GDP,Social protection,Old age,4.850569244
2001,Percentage of GDP,Social protection,Old age,5.131883677
2002,Percentage of GDP,Social protection,Old age,5.310419721
2003,Percentage of GDP,Social protection,Old age,5.480853818
2004,Percentage of GDP,Social protection,Old age,5.707546967
2005,Percentage of GDP,Social protection,Old age,5.921310153
2006,Percentage of GDP,Social protection,Old age,5.993983885
2007,Percentage of GDP,Social protection,Old age,6.257734616
2008,Percentage of GDP,Social protection,Old age,6.735703309
2009,Percentage of GDP,Social protection,Old age,7.570393857
2010,Percentage of GDP,Social protection,Old age,7.816053378
2011,Percentage of GDP,Social protection,Old age,8.042988316
2012,Percentage of GDP,Social protection,Old age,8.56926626
2013,Percentage of GDP,Social protection,Old age,8.749127461
2014,Percentage of GDP,Social protection,Old age,8.76591216
2015,Percentage of GDP,Social protection,Old age,8.751138989
2000,Percentage of GDP,Social protection,Survivors,0.110745151
2001,Percentage of GDP,Social protection,Survivors,0.119597289
2002,Percentage of GDP,Social protection,Survivors,0.123690304
2003,Percentage of GDP,Social protection,Survivors,0.117001119
2004,Percentage of GDP,Social protection,Survivors,0.114052512
2005,Percentage of GDP,Social protection,Survivors,0.09242817
2006,Percentage of GDP,Social protection,Survivors,0.099123208
2007,Percentage of GDP,Social protection,Survivors,0.103384255
2008,Percentage of GDP,Social protection,Survivors,0.10416095
2009,Percentage of GDP,Social protection,Survivors,0.159609729
2010,Percentage of GDP,Social protection,Survivors,0.125618706
2011,Percentage of GDP,Social protection,Survivors,0.073621221
2012,Percentage of GDP,Social protection,Survivors,0.061319765
2013,Percentage of GDP,Social protection,Survivors,0.062487784
2014,Percentage of GDP,Social protection,Survivors,0.06182794
2015,Percentage of GDP,Social protection,Survivors,0.059987177
2000,Percentage of GDP,Social protection,Family and children,1.227425421
2001,Percentage of GDP,Social protection,Family and children,1.299970534
2002,Percentage of GDP,Social protection,Family and children,1.397030262
2003,Percentage of GDP,Social protection,Family and children,1.784172608
2004,Percentage of GDP,Social protection,Family and children,2.086410465
2005,Percentage of GDP,Social protection,Family and children,2.126683279
2006,Percentage of GDP,Social protection,Family and children,2.227476697
2007,Percentage of GDP,Social protection,Family and children,2.074854298
2008,Percentage of GDP,Social protection,Family and children,1.983345682
2009,Percentage of GDP,Social protection,Family and children,2.189487477
2010,Percentage of GDP,Social protection,Family and children,2.131117531
2011,Percentage of GDP,Social protection,Family and children,2.07053179
2012,Percentage of GDP,Social protection,Family and children,1.823465182
2013,Percentage of GDP,Social protection,Family and children,1.610721765
2014,Percentage of GDP,Social protection,Family and children,1.563580363
2015,Percentage of GDP,Social protection,Family and children,1.471406554
2000,Percentage of GDP,Social protection,Unemployment,0.296004014
2001,Percentage of GDP,Social protection,Unemployment,0.219795018
2002,Percentage of GDP,Social protection,Unemployment,0.247315543
2003,Percentage of GDP,Social protection,Unemployment,0.265362064
2004,Percentage of GDP,Social protection,Unemployment,0.246375572
2005,Percentage of GDP,Social protection,Unemployment,0.252163619
2006,Percentage of GDP,Social protection,Unemployment,0.270346611
2007,Percentage of GDP,Social protection,Unemployment,0.260708122
2008,Percentage of GDP,Social protection,Unemployment,0.281440371
2009,Percentage of GDP,Social protection,Unemployment,0.411166595
2010,Percentage of GDP,Social protection,Unemployment,0.39563145
2011,Percentage of GDP,Social protection,Unemployment,0.336182372
2012,Percentage of GDP,Social protection,Unemployment,0.338341494
2013,Percentage of GDP,Social protection,Unemployment,0.279826888
2014,Percentage of GDP,Social protection,Unemployment,0.220543132
2015,Percentage of GDP,Social protection,Unemployment,0.151159214
2000,Percentage of GDP,Social protection,Housing,0.858411641
2001,Percentage of GDP,Social protection,Housing,0.810314966
2002,Percentage of GDP,Social protection,Housing,0.849110191
2003,Percentage of GDP,Social protection,Housing,0.81560737
2004,Percentage of GDP,Social protection,Housing,0.824758377
2005,Percentage of GDP,Social protection,Housing,0.849873739
2006,Percentage of GDP,Social protection,Housing,0.879703912
2007,Percentage of GDP,Social protection,Housing,0.909405919
2008,Percentage of GDP,Social protection,Housing,0.986899274
2009,Percentage of GDP,Social protection,Housing,1.186422373
2010,Percentage of GDP,Social protection,Housing,1.281475084
2011,Percentage of GDP,Social protection,Housing,1.325355484
2012,Percentage of GDP,Social protection,Housing,1.363566941
2013,Percentage of GDP,Social protection,Housing,1.362222532
2014,Percentage of GDP,Social protection,Housing,1.328948481
2015,Percentage of GDP,Social protection,Housing,1.295998331
2000,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.759698062
2001,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.766582624
2002,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.765305293
2003,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.769890033
2004,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.747123927
2005,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.683693976
2006,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.625140138
2007,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,0.894384761
2008,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.147485502
2009,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.408443981
2010,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.526023784
2011,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.590287782
2012,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.651587475
2013,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.652156917
2014,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.592787427
2015,Percentage of GDP,Social protection,Social exclusion - not elsewhere classified.,1.613353262
2000,Percentage of GDP,Social protection,R&D Social protection,0.000615251
2001,Percentage of GDP,Social protection,R&D Social protection,0.002133285
2002,Percentage of GDP,Social protection,R&D Social protection,0.001106121
2003,Percentage of GDP,Social protection,R&D Social protection,0.000377829
2004,Percentage of GDP,Social protection,R&D Social protection,0.000369102
2005,Percentage of GDP,Social protection,R&D Social protection,0.000596696
2006,Percentage of GDP,Social protection,R&D Social protection,0.000174718
2007,Percentage of GDP,Social protection,R&D Social protection,0.000227593
2008,Percentage of GDP,Social protection,R&D Social protection,0.00074319
2009,Percentage of GDP,Social protection,R&D Social protection,0.000119334
2010,Percentage of GDP,Social protection,R&D Social protection,0.000117346
2011,Percentage of GDP,Social protection,R&D Social protection,0.000462663
2012,Percentage of GDP,Social protection,R&D Social protection,0.000284943
2013,Percentage of GDP,Social protection,R&D Social protection,0.000111685
2014,Percentage of GDP,Social protection,R&D Social protection,0
2015,Percentage of GDP,Social protection,R&D Social protection,0
2000,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.229625285
2001,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.303659784
2002,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.31680594
2003,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.349806898
2004,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.330161722
2005,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.3051502
2006,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.248798087
2007,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.204264985
2008,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.195573331
2009,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.214324541
2010,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.240676287
2011,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.291072747
2012,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.328482461
2013,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.268323328
2014,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.272725696
2015,Percentage of GDP,Social protection,Social protection - not elsewhere classified.,0.319260966
