Year,Units,Government,Area of spending category,Area of spending sub-category,Value
2008,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.279072969
2008,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.945929963
2008,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.56918324
2008,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2008,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2008,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2008,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.236040234
2009,Percentage (%),,Environmental protection,,1.776607654
2009,Percentage (%),,Environmental protection,Waste management,1.361651257
2009,Percentage (%),,Environmental protection,Waste water management,0.002994412
2009,Percentage (%),,Environmental protection,Pollution abatement,0.032938532
2009,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.059312391
2009,Percentage (%),,Environmental protection,Research and development environmental protection,0.062767482
2009,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.256943581
2009,Percentage (%),,"Recreation, culture and religion",,1.773613242
2009,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.699771043
2009,Percentage (%),,"Recreation, culture and religion",Cultural services,0.642071027
2009,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.456302316
2009,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.001842715
2009,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.016008587
2009,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.042382446
2009,Percentage (%),Central government,Environmental protection,,1.103559734
2009,Percentage (%),Central government,Environmental protection,Waste management,0.56037316
2009,Percentage (%),Central government,Environmental protection,Waste water management,0.003919748
2009,Percentage (%),Central government,Environmental protection,Pollution abatement,0.043117225
2009,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.077641156
2009,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.082163942
2009,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.336344504
2009,Percentage (%),Central government,"Recreation, culture and religion",,1.320351933
2009,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.321117791
2009,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.361219825
2009,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.597309244
2009,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002412152
2009,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.020955574
2009,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.017337346
2009,Percentage (%),Local governemnt,Environmental protection,,3.95460932
2009,Percentage (%),Local governemnt,Environmental protection,Waste management,3.95460932
2009,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2009,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2009,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2009,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2009,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2009,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.240379361
2009,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.925103427
2009,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.550913278
2009,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2009,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2009,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2009,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.235637343
2010,Percentage (%),,Environmental protection,,1.738900441
2010,Percentage (%),,Environmental protection,Waste management,1.294021693
2010,Percentage (%),,Environmental protection,Waste water management,0.001881328
2010,Percentage (%),,Environmental protection,Pollution abatement,0.056439841
2010,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.071933131
2010,Percentage (%),,Environmental protection,Research and development environmental protection,0.086209091
2010,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.228415357
2010,Percentage (%),,"Recreation, culture and religion",,1.725067147
2010,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.675507433
2010,Percentage (%),,"Recreation, culture and religion",Cultural services,0.637438207
2010,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.437685435
2010,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.005201319
2010,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.018259949
2010,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.049025195
2010,Percentage (%),Central government,Environmental protection,,1.077623366
2010,Percentage (%),Central government,Environmental protection,Waste management,0.500017242
2010,Percentage (%),Central government,Environmental protection,Waste water management,0.002442613
2010,Percentage (%),Central government,Environmental protection,Pollution abatement,0.073278389
2010,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.093394025
2010,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.111929147
2010,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.29656195
2010,Percentage (%),Central government,"Recreation, culture and religion",,1.301194294
2010,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.315528122
2010,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.373001368
2010,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.568266722
2010,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.006753106
2010,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.023707714
2010,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.013937262
2010,Percentage (%),Local governemnt,Environmental protection,,3.955384534
2010,Percentage (%),Local governemnt,Environmental protection,Waste management,3.955384534
2010,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2010,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2010,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2010,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2010,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2010,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.14581417
2010,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.882094577
2010,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.523783838
2010,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2010,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2010,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2010,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.260064246
2011,Percentage (%),,Environmental protection,,1.642823473
2011,Percentage (%),,Environmental protection,Waste management,1.270167028
2011,Percentage (%),,Environmental protection,Waste water management,0.001222918
2011,Percentage (%),,Environmental protection,Pollution abatement,0.02935003
2011,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.062479989
2011,Percentage (%),,Environmental protection,Research and development environmental protection,0.064925824
2011,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.214677683
2011,Percentage (%),,"Recreation, culture and religion",,1.668949447
2011,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.650481163
2011,Percentage (%),,"Recreation, culture and religion",Cultural services,0.605344374
2011,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.451145541
2011,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.005558718
2011,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.016009107
2011,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.059589455
2011,Percentage (%),Central government,Environmental protection,,0.940180647
2011,Percentage (%),Central government,Environmental protection,Waste management,0.458302126
2011,Percentage (%),Central government,Environmental protection,Waste water management,0.001581344
2011,Percentage (%),Central government,Environmental protection,Pollution abatement,0.037952246
2011,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.080792282
2011,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.083954969
2011,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.27759768
2011,Percentage (%),Central government,"Recreation, culture and religion",,1.278300659
2011,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.305199314
2011,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.348470625
2011,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.583372028
2011,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.007187925
2011,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.020701225
2011,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.013369541
2011,Percentage (%),Local governemnt,Environmental protection,,4.04018109
2011,Percentage (%),Local governemnt,Environmental protection,Waste management,4.04018109
2011,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2011,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2011,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2011,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2011,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2011,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.001809915
2011,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.828553491
2011,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.481775777
2011,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2011,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2011,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2011,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.308519352
2012,Percentage (%),,Environmental protection,,1.515903332
2012,Percentage (%),,Environmental protection,Waste management,1.167182876
2012,Percentage (%),,Environmental protection,Waste water management,0.001487534
2012,Percentage (%),,Environmental protection,Pollution abatement,0.018169164
2012,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.048557358
2012,Percentage (%),,Environmental protection,Research and development environmental protection,0.070976619
2012,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.20952978
2012,Percentage (%),,"Recreation, culture and religion",,1.572854631
2012,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.605001302
2012,Percentage (%),,"Recreation, culture and religion",Cultural services,0.568131711
2012,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.434253656
2012,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.006162641
2012,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.01445033
2012,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.055145008
2012,Percentage (%),Central government,Environmental protection,,0.919425218
2012,Percentage (%),Central government,Environmental protection,Waste management,0.467086204
2012,Percentage (%),Central government,Environmental protection,Waste water management,0.001929539
2012,Percentage (%),Central government,Environmental protection,Pollution abatement,0.023567938
2012,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.062985658
2012,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.092066564
2012,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.271789316
2012,Percentage (%),Central government,"Recreation, culture and religion",,1.256818852
2012,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.295770727
2012,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.340977063
2012,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.563287493
2012,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.007993803
2012,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.018744091
2012,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.030045675
2012,Percentage (%),Local governemnt,Environmental protection,,3.523305488
2012,Percentage (%),Local governemnt,Environmental protection,Waste management,3.523305488
2012,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2012,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2012,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2012,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2012,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2012,Percentage (%),Local governemnt,"Recreation, culture and religion",,2.636449235
2012,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.645693506
2012,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.332603563
2012,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2012,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2012,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2012,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.341847834
2013,Percentage (%),,Environmental protection,,1.510258858
2013,Percentage (%),,Environmental protection,Waste management,1.186905617
2013,Percentage (%),,Environmental protection,Waste water management,0
2013,Percentage (%),,Environmental protection,Pollution abatement,0.019155998
2013,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.056373365
2013,Percentage (%),,Environmental protection,Research and development environmental protection,0.0677575
2013,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.180066378
2013,Percentage (%),,"Recreation, culture and religion",,1.425096765
2013,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.470033452
2013,Percentage (%),,"Recreation, culture and religion",Cultural services,0.562857943
2013,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.430517365
2013,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.006567771
2013,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.012916616
2013,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.057796382
2013,Percentage (%),Central government,Environmental protection,,0.879907472
2013,Percentage (%),Central government,Environmental protection,Waste management,0.466278148
2013,Percentage (%),Central government,Environmental protection,Waste water management,0
2013,Percentage (%),Central government,Environmental protection,Pollution abatement,0.024504107
2013,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.072112086
2013,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.086674527
2013,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.230338605
2013,Percentage (%),Central government,"Recreation, culture and religion",,1.093443261
2013,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.140723585
2013,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.346698107
2013,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.550712299
2013,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.008401408
2013,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.016522769
2013,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.030385093
2013,Percentage (%),Local governemnt,Environmental protection,,3.768067969
2013,Percentage (%),Local governemnt,Environmental protection,Waste management,3.768067969
2013,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2013,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2013,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2013,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2013,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2013,Percentage (%),Local governemnt,"Recreation, culture and religion",,2.613021977
2013,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.649564162
2013,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.337104912
2013,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2013,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2013,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2013,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.373647097
2014,Percentage (%),,Environmental protection,,1.636192142
2014,Percentage (%),,Environmental protection,Waste management,1.242650503
2014,Percentage (%),,Environmental protection,Waste water management,0
2014,Percentage (%),,Environmental protection,Pollution abatement,0.052721747
2014,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.054325857
2014,Percentage (%),,Environmental protection,Research and development environmental protection,0.064057457
2014,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.222436579
2014,Percentage (%),,"Recreation, culture and religion",,1.344564955
2014,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.387446022
2014,Percentage (%),,"Recreation, culture and religion",Cultural services,0.528286875
2014,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.481232983
2014,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.007485846
2014,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.014330049
2014,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.07421682
2014,Percentage (%),Central government,Environmental protection,,1.032764066
2014,Percentage (%),Central government,Environmental protection,Waste management,0.532029973
2014,Percentage (%),Central government,Environmental protection,Waste water management,0
2014,Percentage (%),Central government,Environmental protection,Pollution abatement,0.06708204
2014,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.069123076
2014,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.081505359
2014,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.283023618
2014,Percentage (%),Central government,"Recreation, culture and religion",,1.083109613
2014,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.081097152
2014,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.339220134
2014,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.612310711
2014,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.009524833
2014,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.018233252
2014,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.022723531
2014,Percentage (%),Local governemnt,Environmental protection,,3.851591342
2014,Percentage (%),Local governemnt,Environmental protection,Waste management,3.851591342
2014,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2014,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2014,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2014,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2014,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2014,Percentage (%),Local governemnt,"Recreation, culture and religion",,2.304460552
2014,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.512161737
2014,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.22241816
2014,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2014,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2014,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2014,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.430119344
2015,Percentage (%),,Environmental protection,,1.6035018
2015,Percentage (%),,Environmental protection,Waste management,1.212816521
2015,Percentage (%),,Environmental protection,Waste water management,0
2015,Percentage (%),,Environmental protection,Pollution abatement,0.048955388
2015,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.06087496
2015,Percentage (%),,Environmental protection,Research and development environmental protection,0.081308514
2015,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.199546418
2015,Percentage (%),,"Recreation, culture and religion",,1.339142706
2015,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.374827991
2015,Percentage (%),,"Recreation, culture and religion",Cultural services,0.529356737
2015,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.509029608
2015,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.009897502
2015,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.014154493
2015,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.098123625
2015,Percentage (%),Central government,Environmental protection,,0.973409242
2015,Percentage (%),Central government,Environmental protection,Waste management,0.474611737
2015,Percentage (%),Central government,Environmental protection,Waste water management,0
2015,Percentage (%),Central government,Environmental protection,Pollution abatement,0.062502548
2015,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.077720559
2015,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.103808579
2015,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.254765819
2015,Percentage (%),Central government,"Recreation, culture and religion",,1.175319646
2015,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.104487955
2015,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.361835401
2015,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.649890621
2015,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.012636385
2015,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.018071389
2015,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.028397897
2015,Percentage (%),Local governemnt,Environmental protection,,3.880468033
2015,Percentage (%),Local governemnt,Environmental protection,Waste management,3.880468033
2015,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2015,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2015,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2015,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2015,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2015,Percentage (%),Local governemnt,"Recreation, culture and religion",,1.931150294
2015,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,1.351756105
2015,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.13472879
2015,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2015,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2015,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2015,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.5553346
2000,GBP(£) per capita,,Environmental protection,,111.5713216
2000,GBP(£) per capita,,Environmental protection,Waste management,83.68698216
2000,GBP(£) per capita,,Environmental protection,Waste water management,0
2000,GBP(£) per capita,,Environmental protection,Pollution abatement,4.160574397
2000,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,4.636068614
2000,GBP(£) per capita,,Environmental protection,Research and development environmental protection,4.024718906
2000,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,15.06297751
2000,GBP(£) per capita,,"Recreation, culture and religion",,206.3135443
2000,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,59.23299386
2000,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,78.13388898
2000,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,49.9438747
2000,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0
2000,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",0.050945809
2000,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",18.95184093
2000,GBP(£) per capita,Central government,Environmental protection,,39.02448965
2000,GBP(£) per capita,Central government,Environmental protection,Waste management,11.14015022
2000,GBP(£) per capita,Central government,Environmental protection,Waste water management,0
2000,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,4.160574397
2000,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,4.636068614
2000,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,4.024718906
2000,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,15.06297751
2000,GBP(£) per capita,Central government,"Recreation, culture and religion",,87.06638748
2000,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,5.213454449
2000,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,31.56941961
2000,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,49.9438747
2000,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0
2000,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.050945809
2000,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.288692917
2000,GBP(£) per capita,Local governemnt,Environmental protection,,72.54683193
2000,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,72.54683193
2000,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2000,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2000,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2000,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2000,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,119.2471568
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,54.01953942
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,46.56446937
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2000,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",18.66314801
2001,GBP(£) per capita,,Environmental protection,,120.9716983
2001,GBP(£) per capita,,Environmental protection,Waste management,91.5872989
2001,GBP(£) per capita,,Environmental protection,Waste water management,0.101500516
2001,GBP(£) per capita,,Environmental protection,Pollution abatement,6.749784311
2001,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,5.311860335
2001,GBP(£) per capita,,Environmental protection,Research and development environmental protection,4.990442035
2001,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,12.23081217
2001,GBP(£) per capita,,"Recreation, culture and religion",,167.4420178
2001,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,52.52651701
2001,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,72.13303334
2001,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,48.22966183
2001,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.016916753
2001,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",0.016916753
2001,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-5.481027862
2001,GBP(£) per capita,Central government,Environmental protection,,42.90088475
2001,GBP(£) per capita,Central government,Environmental protection,Waste management,13.51648538
2001,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.101500516
2001,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,6.749784311
2001,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,5.311860335
2001,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,4.990442035
2001,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,12.23081217
2001,GBP(£) per capita,Central government,"Recreation, culture and religion",,90.18320843
2001,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,7.849373234
